,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:54.451000,LEC,16,,1.0,1.0,0 days 00:19:27.798000,,,39.427,29.005,,0 days 00:20:25.477000,0 days 00:20:54.780000,285.0,212.0,295.0,180.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:19:27.798000,2019-06-29 13:04:30.054,1,,False,,False,False,,
1,0 days 00:21:58.755000,LEC,16,0 days 00:01:04.304000,2.0,1.0,,,16.086,28.697,19.521,0 days 00:21:10.537000,0 days 00:21:39.234000,0 days 00:21:58.755000,329.0,249.0,297.0,325.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:20:54.451000,2019-06-29 13:05:56.707,1,,False,,False,True,64.304,64.304
2,0 days 00:23:31.978000,LEC,16,0 days 00:01:33.223000,3.0,1.0,,,22.522,44.823,25.878,0 days 00:22:21.277000,0 days 00:23:06.100000,0 days 00:23:31.978000,206.0,163.0,288.0,244.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:21:58.755000,2019-06-29 13:07:01.011,1,,False,,False,True,93.223,93.223
3,0 days 00:24:36.116000,LEC,16,0 days 00:01:04.138000,4.0,1.0,,,16.275,28.523,19.34,0 days 00:23:48.253000,0 days 00:24:16.776000,0 days 00:24:36.116000,322.0,253.0,293.0,317.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:23:31.978000,2019-06-29 13:08:34.234,1,,False,,False,True,64.138,64.138
4,0 days 00:26:01.216000,LEC,16,0 days 00:01:25.100000,5.0,1.0,,,19.127,40.13,25.843,0 days 00:24:55.243000,0 days 00:25:35.373000,0 days 00:26:01.216000,238.0,175.0,291.0,232.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:24:36.116000,2019-06-29 13:09:38.372,1,,False,,False,True,85.1,85.10000000000001
5,0 days 00:27:19.629000,LEC,16,0 days 00:01:18.413000,6.0,1.0,,0 days 00:27:16.271000,16.124,36.365,25.924,0 days 00:26:17.340000,0 days 00:26:53.705000,0 days 00:27:19.629000,322.0,223.0,,265.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:26:01.216000,2019-06-29 13:11:03.472,1,,False,,False,False,78.413,78.41300000000001
6,0 days 00:43:06.572000,LEC,16,,7.0,2.0,0 days 00:41:46.532000,,,35.979,24.661,,0 days 00:42:41.911000,0 days 00:43:06.600000,283.0,186.0,290.0,283.0,False,SOFT,1.0,True,Ferrari,0 days 00:27:19.629000,2019-06-29 13:12:21.885,1,,False,,False,False,,
7,0 days 00:44:10.031000,LEC,16,0 days 00:01:03.459000,8.0,2.0,,,16.074,28.12,19.265,0 days 00:43:22.646000,0 days 00:43:50.766000,0 days 00:44:10.031000,320.0,254.0,294.0,317.0,True,SOFT,2.0,True,Ferrari,0 days 00:43:06.572000,2019-06-29 13:28:08.828,1,,False,,False,True,63.459,63.459
8,0 days 00:46:08.692000,LEC,16,0 days 00:01:58.661000,9.0,2.0,,0 days 00:45:36.611000,20.097,41.696,56.868,0 days 00:44:30.128000,0 days 00:45:11.824000,0 days 00:46:08.692000,247.0,153.0,,216.0,False,SOFT,3.0,True,Ferrari,0 days 00:44:10.031000,2019-06-29 13:29:12.287,1,,False,,False,False,118.661,118.661
9,0 days 00:53:59.261000,LEC,16,,10.0,3.0,0 days 00:52:37.427000,,,35.401,27.879,,0 days 00:53:31.398000,0 days 00:53:59.298000,281.0,190.0,292.0,263.0,False,SOFT,1.0,True,Ferrari,0 days 00:46:08.692000,2019-06-29 13:31:10.948,1,,False,,False,False,,
