,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,-1 days +23:59:01.403000,PIA,81,,1.0,,,,,,,,,,242.0,284.0,,316.0,False,nan,,True,McLaren,,,,,False,,False,False,,
1,0 days 00:00:28.146000,PIA,81,0 days 00:01:26.743000,2.0,1.0,0 days 00:00:04.568000,,,,25.189,,,0 days 00:00:28.146000,242.0,284.0,283.0,316.0,True,MEDIUM,1.0,True,McLaren,-1 days +23:59:01.403000,2023-10-07 13:23:00.406,1,,False,,False,False,86.743,
2,0 days 00:02:24.815000,PIA,81,0 days 00:01:56.669000,3.0,1.0,,,44.491,40.55,31.628,0 days 00:01:12.637000,0 days 00:01:53.187000,0 days 00:02:24.815000,193.0,244.0,285.0,209.0,False,MEDIUM,2.0,True,McLaren,0 days 00:00:28.146000,2023-10-07 13:24:27.149,1,,False,,False,True,116.669,116.669
3,0 days 00:03:51.134000,PIA,81,0 days 00:01:26.319000,4.0,1.0,,,31.629,29.398,25.292,0 days 00:02:56.444000,0 days 00:03:25.842000,0 days 00:03:51.134000,241.0,286.0,283.0,318.0,True,MEDIUM,3.0,True,McLaren,0 days 00:02:24.815000,2023-10-07 13:26:23.818,1,,False,,False,True,86.319,86.319
4,0 days 00:05:47.515000,PIA,81,0 days 00:01:56.381000,5.0,1.0,,,40.976,41.547,33.858,0 days 00:04:32.110000,0 days 00:05:13.657000,0 days 00:05:47.515000,145.0,242.0,286.0,275.0,False,MEDIUM,4.0,True,McLaren,0 days 00:03:51.134000,2023-10-07 13:27:50.137,1,,False,,False,True,116.381,116.381
5,0 days 00:07:13.494000,PIA,81,0 days 00:01:25.979000,6.0,1.0,,,31.374,29.49,25.115,0 days 00:06:18.889000,0 days 00:06:48.379000,0 days 00:07:13.494000,241.0,285.0,284.0,318.0,True,MEDIUM,5.0,True,McLaren,0 days 00:05:47.515000,2023-10-07 13:29:46.518,1,,False,,False,True,85.979,85.979
6,0 days 00:09:13.257000,PIA,81,0 days 00:01:59.763000,7.0,1.0,,0 days 00:09:09.090000,42.103,38.964,38.696,0 days 00:07:55.597000,0 days 00:08:34.561000,0 days 00:09:13.257000,208.0,227.0,,297.0,False,MEDIUM,6.0,True,McLaren,0 days 00:07:13.494000,2023-10-07 13:31:12.497,12,,False,,False,False,119.763,119.763
7,0 days 00:17:28.622000,PIA,81,,8.0,2.0,0 days 00:15:43.380000,,,34.267,31.915,,0 days 00:16:56.722000,0 days 00:17:28.628000,215.0,264.0,284.0,89.0,False,MEDIUM,1.0,True,McLaren,0 days 00:09:13.257000,2023-10-07 13:33:12.260,1,,False,,False,False,,
8,0 days 00:18:54.314000,PIA,81,0 days 00:01:25.692000,9.0,2.0,,,31.502,29.161,25.029,0 days 00:18:00.124000,0 days 00:18:29.285000,0 days 00:18:54.314000,243.0,285.0,284.0,317.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:28.622000,2023-10-07 13:41:27.625,1,,False,,False,True,85.692,85.692
9,0 days 00:20:52.345000,PIA,81,0 days 00:01:58.031000,10.0,2.0,,,45.305,39.324,33.402,0 days 00:19:39.619000,0 days 00:20:18.943000,0 days 00:20:52.345000,158.0,257.0,284.0,197.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:54.314000,2023-10-07 13:42:53.317,1,,False,,False,True,118.031,118.03099999999999
10,0 days 00:22:17.841000,PIA,81,0 days 00:01:25.496000,11.0,2.0,,,31.136,29.331,25.029,0 days 00:21:23.481000,0 days 00:21:52.812000,0 days 00:22:17.841000,244.0,285.0,284.0,317.0,True,MEDIUM,4.0,True,McLaren,0 days 00:20:52.345000,2023-10-07 13:44:51.348,1,,False,,False,True,85.496,85.496
11,0 days 00:24:13.051000,PIA,81,0 days 00:01:55.210000,12.0,2.0,,,45.793,35.533,33.884,0 days 00:23:03.634000,0 days 00:23:39.167000,0 days 00:24:13.051000,192.0,228.0,286.0,225.0,False,MEDIUM,5.0,True,McLaren,0 days 00:22:17.841000,2023-10-07 13:46:16.844,1,,False,,False,True,115.21,115.21
12,0 days 00:25:58.869000,PIA,81,0 days 00:01:45.818000,13.0,2.0,,0 days 00:25:54.776000,30.975,32.205,42.638,0 days 00:24:44.026000,0 days 00:25:16.231000,0 days 00:25:58.869000,247.0,80.0,,320.0,False,MEDIUM,6.0,True,McLaren,0 days 00:24:13.051000,2023-10-07 13:48:12.054,1,,False,,False,False,105.818,105.818
13,0 days 00:35:51.740000,PIA,81,,14.0,3.0,0 days 00:34:03.955000,,,32.608,33.181,,0 days 00:35:18.594000,0 days 00:35:51.750000,214.0,268.0,285.0,81.0,False,SOFT,1.0,True,McLaren,0 days 00:25:58.869000,2023-10-07 13:49:57.872,1,,False,,False,False,,
14,0 days 00:37:16.315000,PIA,81,0 days 00:01:24.575000,15.0,3.0,,,30.88,28.937,24.758,0 days 00:36:22.620000,0 days 00:36:51.557000,0 days 00:37:16.315000,247.0,287.0,283.0,315.0,True,SOFT,2.0,True,McLaren,0 days 00:35:51.740000,2023-10-07 13:59:50.743,1,,False,,False,True,84.575,84.575
15,0 days 00:39:18.102000,PIA,81,0 days 00:02:01.787000,16.0,3.0,,,50.205,39.88,31.702,0 days 00:38:06.520000,0 days 00:38:46.400000,0 days 00:39:18.102000,157.0,243.0,285.0,169.0,False,SOFT,3.0,True,McLaren,0 days 00:37:16.315000,2023-10-07 14:01:15.318,1,,False,,False,True,121.787,121.787
16,0 days 00:40:42.556000,PIA,81,0 days 00:01:24.454000,17.0,3.0,,,30.678,28.983,24.793,0 days 00:39:48.780000,0 days 00:40:17.763000,0 days 00:40:42.556000,247.0,286.0,283.0,316.0,True,SOFT,4.0,True,McLaren,0 days 00:39:18.102000,2023-10-07 14:03:17.105,1,,False,,False,True,84.454,84.45400000000001
17,0 days 00:42:46.690000,PIA,81,0 days 00:02:04.134000,18.0,3.0,,0 days 00:42:39.430000,42.782,39.232,42.12,0 days 00:41:25.338000,0 days 00:42:04.570000,0 days 00:42:46.690000,150.0,228.0,,258.0,False,SOFT,5.0,True,McLaren,0 days 00:40:42.556000,2023-10-07 14:04:41.559,1,,False,,False,False,124.134,124.13399999999999
18,-1 days +23:59:52.561000,SAI,55,0 days 00:01:29.047000,1.0,,,,,,,,,,239.0,285.0,284.0,71.0,True,nan,,True,Ferrari,,,,,False,,False,False,89.047,
19,0 days 00:01:57.431000,SAI,55,0 days 00:02:04.870000,2.0,1.0,0 days 00:00:04.568000,,49.971,39.66,35.239,0 days 00:00:42.532000,0 days 00:01:22.192000,0 days 00:01:57.431000,167.0,183.0,282.0,71.0,False,MEDIUM,1.0,True,Ferrari,-1 days +23:59:52.561000,2023-10-07 13:23:51.564,1,,False,,False,False,124.87,124.87
20,0 days 00:03:23.934000,SAI,55,0 days 00:01:26.503000,3.0,1.0,,,31.735,29.437,25.331,0 days 00:02:29.166000,0 days 00:02:58.603000,0 days 00:03:23.934000,242.0,285.0,286.0,318.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:01:57.431000,2023-10-07 13:25:56.434,1,,False,,False,True,86.503,86.503
21,0 days 00:05:24.367000,SAI,55,0 days 00:02:00.433000,4.0,1.0,,,46.736,38.309,35.388,0 days 00:04:10.670000,0 days 00:04:48.979000,0 days 00:05:24.367000,167.0,195.0,160.0,154.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:03:23.934000,2023-10-07 13:27:22.937,1,,False,,False,True,120.433,120.43299999999999
22,0 days 00:07:32.623000,SAI,55,0 days 00:02:08.256000,5.0,1.0,,,52.979,39.86,35.417,0 days 00:06:17.346000,0 days 00:06:57.206000,0 days 00:07:32.623000,133.0,254.0,282.0,116.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:05:24.367000,2023-10-07 13:29:23.370,1,,False,,False,True,128.256,128.256
23,0 days 00:08:58.495000,SAI,55,0 days 00:01:25.872000,6.0,1.0,,,31.531,29.273,25.068,0 days 00:08:04.154000,0 days 00:08:33.427000,0 days 00:08:58.495000,243.0,286.0,281.0,318.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:07:32.623000,2023-10-07 13:31:31.626,12,,False,,False,True,85.872,85.872
24,0 days 00:10:53.407000,SAI,55,0 days 00:01:54.912000,7.0,1.0,,0 days 00:10:49.260000,43.615,35.015,36.282,0 days 00:09:42.110000,0 days 00:10:17.125000,0 days 00:10:53.407000,170.0,230.0,,191.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:08:58.495000,2023-10-07 13:32:57.498,1,,False,,False,False,114.912,114.91199999999999
25,0 days 00:17:02.014000,SAI,55,,8.0,2.0,0 days 00:15:15.505000,,,36.026,29.437,,0 days 00:16:32.598000,0 days 00:17:02.082000,197.0,247.0,281.0,80.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:10:53.407000,2023-10-07 13:34:52.410,1,,False,,False,False,,
26,0 days 00:18:30.633000,SAI,55,0 days 00:01:28.619000,9.0,2.0,,,32.35,30.125,26.144,0 days 00:17:34.364000,0 days 00:18:04.489000,0 days 00:18:30.633000,241.0,285.0,283.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:02.014000,2023-10-07 13:41:01.017,1,,False,,False,True,88.619,88.619
27,0 days 00:20:38.287000,SAI,55,0 days 00:02:07.654000,10.0,2.0,,,54.399,40.732,32.523,0 days 00:19:25.032000,0 days 00:20:05.764000,0 days 00:20:38.287000,166.0,212.0,284.0,89.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:18:30.633000,2023-10-07 13:42:29.636,1,,False,,False,True,127.654,127.654
28,0 days 00:22:04.335000,SAI,55,0 days 00:01:26.048000,11.0,2.0,,,31.543,29.205,25.3,0 days 00:21:09.830000,0 days 00:21:39.035000,0 days 00:22:04.335000,239.0,285.0,283.0,319.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:20:38.287000,2023-10-07 13:44:37.290,1,,True,TRACK LIMITS AT TURN 13 LAP 13 ,False,True,86.048,86.048
29,0 days 00:24:09.448000,SAI,55,0 days 00:02:05.113000,12.0,2.0,,,52.918,40.125,32.07,0 days 00:22:57.253000,0 days 00:23:37.378000,0 days 00:24:09.448000,153.0,198.0,284.0,79.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:22:04.335000,2023-10-07 13:46:03.338,1,,False,,False,True,125.113,125.113
30,0 days 00:25:34.881000,SAI,55,0 days 00:01:25.433000,13.0,2.0,,,31.249,29.063,25.121,0 days 00:24:40.697000,0 days 00:25:09.760000,0 days 00:25:34.881000,245.0,286.0,276.0,319.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:24:09.448000,2023-10-07 13:48:08.451,1,,False,,False,True,85.433,85.43299999999999
31,0 days 00:27:32.594000,SAI,55,0 days 00:01:57.713000,14.0,2.0,,0 days 00:27:28.290000,43.965,35.407,38.341,0 days 00:26:18.846000,0 days 00:26:54.253000,0 days 00:27:32.594000,177.0,213.0,,193.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:25:34.881000,2023-10-07 13:49:33.884,1,,False,,False,False,117.713,117.713
32,0 days 00:33:49.559000,SAI,55,,15.0,3.0,0 days 00:32:06.004000,,,34.003,29.445,,0 days 00:33:21.455000,0 days 00:33:49.627000,198.0,252.0,282.0,89.0,False,SOFT,1.0,True,Ferrari,0 days 00:27:32.594000,2023-10-07 13:51:31.597,1,,False,,False,False,,
33,0 days 00:35:16.520000,SAI,55,0 days 00:01:26.961000,16.0,3.0,,,31.936,29.578,25.447,0 days 00:34:21.495000,0 days 00:34:51.073000,0 days 00:35:16.520000,240.0,286.0,282.0,317.0,True,SOFT,2.0,True,Ferrari,0 days 00:33:49.559000,2023-10-07 13:57:48.562,1,,False,,False,True,86.961,86.961
34,0 days 00:37:19.897000,SAI,55,0 days 00:02:03.377000,17.0,3.0,,,48.229,41.233,33.915,0 days 00:36:04.749000,0 days 00:36:45.982000,0 days 00:37:19.897000,158.0,151.0,191.0,92.0,False,SOFT,3.0,True,Ferrari,0 days 00:35:16.520000,2023-10-07 13:59:15.523,1,,False,,False,True,123.377,123.37699999999998
