,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:23:02.404000,ANT,12,,1.0,1.0,0 days 00:21:11.543000,,,31.796,52.366,,0 days 00:22:10.070000,0 days 00:23:02.570000,223.0,262.0,276.0,227.0,False,SOFT,1.0,True,Mercedes,0 days 00:21:11.543000,2026-03-14 07:06:20.855,1,,False,,False,False,,
1,0 days 00:24:35.709000,ANT,12,0 days 00:01:33.305000,2.0,1.0,,,24.288,28.048,40.969,0 days 00:23:26.692000,0 days 00:23:54.740000,0 days 00:24:35.709000,283.0,276.0,260.0,311.0,True,SOFT,2.0,True,Mercedes,0 days 00:23:02.404000,2026-03-14 07:08:11.716,1,,False,,False,True,93.305,93.305
2,0 days 00:26:38.179000,ANT,12,0 days 00:02:02.470000,3.0,1.0,,0 days 00:26:36.396000,35.87,33.268,53.332,0 days 00:25:11.579000,0 days 00:25:44.847000,0 days 00:26:38.179000,168.0,243.0,,202.0,False,SOFT,3.0,True,Mercedes,0 days 00:24:35.709000,2026-03-14 07:09:45.021,1,,False,,False,False,122.47,122.47
3,0 days 00:41:38.394000,ANT,12,,4.0,2.0,0 days 00:39:54.384000,,,30.815,45.794,,0 days 00:40:52.726000,0 days 00:41:38.394000,241.0,260.0,278.0,243.0,False,SOFT,4.0,False,Mercedes,0 days 00:26:38.179000,2026-03-14 07:11:47.491,1,,False,,False,False,,
4,0 days 00:43:11.344000,ANT,12,0 days 00:01:32.950000,5.0,2.0,,,24.156,27.861,40.933,0 days 00:42:02.550000,0 days 00:42:30.411000,0 days 00:43:11.344000,285.0,272.0,251.0,311.0,True,SOFT,5.0,False,Mercedes,0 days 00:41:38.394000,2026-03-14 07:26:47.706,1,,False,,False,True,92.95,92.94999999999999
5,0 days 00:45:36.628000,ANT,12,0 days 00:02:25.284000,6.0,2.0,,0 days 00:45:33.957000,29.606,56.034,59.644,0 days 00:43:40.950000,0 days 00:44:36.984000,0 days 00:45:36.628000,118.0,240.0,,101.0,False,SOFT,6.0,False,Mercedes,0 days 00:43:11.344000,2026-03-14 07:28:20.656,1,,False,,False,False,145.284,145.284
6,0 days 00:52:08.325000,ANT,12,,7.0,3.0,0 days 00:50:16.034000,,,36.839,45.507,,0 days 00:51:22.840000,0 days 00:52:08.617000,253.0,261.0,280.0,249.0,False,SOFT,1.0,True,Mercedes,0 days 00:45:36.628000,2026-03-14 07:30:45.940,1,,False,,False,False,,
7,0 days 00:53:40.768000,ANT,12,0 days 00:01:32.443000,8.0,3.0,,,24.141,27.726,40.576,0 days 00:52:32.466000,0 days 00:53:00.192000,0 days 00:53:40.768000,286.0,279.0,256.0,314.0,True,SOFT,2.0,True,Mercedes,0 days 00:52:08.325000,2026-03-14 07:37:17.637,1,,False,,False,True,92.443,92.443
8,0 days 00:55:42.041000,ANT,12,0 days 00:02:01.273000,9.0,3.0,,0 days 00:55:40.144000,30.445,37.844,52.984,0 days 00:54:11.213000,0 days 00:54:49.057000,0 days 00:55:42.041000,228.0,255.0,,293.0,False,SOFT,3.0,True,Mercedes,0 days 00:53:40.768000,2026-03-14 07:38:50.080,12,,False,,False,False,121.273,121.273
9,0 days 01:03:36.133000,ANT,12,,10.0,4.0,0 days 01:01:53.555000,,,30.145,45.507,,0 days 01:02:50.806000,0 days 01:03:36.442000,243.0,263.0,278.0,240.0,False,SOFT,1.0,True,Mercedes,0 days 00:55:42.041000,2026-03-14 07:40:51.353,12,,False,,False,False,,
10,0 days 01:05:08.455000,ANT,12,0 days 00:01:32.322000,11.0,4.0,,,24.003,27.714,40.605,0 days 01:04:00.136000,0 days 01:04:27.850000,0 days 01:05:08.455000,285.0,273.0,251.0,310.0,True,SOFT,2.0,True,Mercedes,0 days 01:03:36.133000,2026-03-14 07:48:45.445,1,,False,,False,True,92.322,92.322
11,0 days 01:06:56.711000,ANT,12,0 days 00:01:48.256000,12.0,4.0,,0 days 01:06:55.066000,27.758,31.08,49.418,0 days 01:05:36.213000,0 days 01:06:07.293000,0 days 01:06:56.711000,244.0,249.0,,290.0,False,SOFT,3.0,True,Mercedes,0 days 01:05:08.455000,2026-03-14 07:50:17.767,1,,False,,False,False,108.256,108.256
12,0 days 01:12:31.323000,ANT,12,,13.0,5.0,0 days 01:10:50.568000,,,30.303,44.716,,0 days 01:11:46.665000,0 days 01:12:31.529000,223.0,255.0,279.0,250.0,False,SOFT,1.0,True,Mercedes,0 days 01:06:56.711000,2026-03-14 07:52:06.023,1,,False,,False,False,,
13,0 days 01:14:03.387000,ANT,12,0 days 00:01:32.064000,14.0,5.0,,,24.013,27.664,40.387,0 days 01:12:55.336000,0 days 01:13:23,0 days 01:14:03.387000,286.0,276.0,253.0,308.0,True,SOFT,2.0,True,Mercedes,0 days 01:12:31.323000,2026-03-14 07:57:40.635,1,,False,,False,True,92.064,92.06400000000001
14,0 days 01:16:01.449000,ANT,12,0 days 00:01:58.062000,15.0,5.0,,0 days 01:15:57.507000,28.716,31.585,57.761,0 days 01:14:32.103000,0 days 01:15:03.688000,0 days 01:16:01.449000,229.0,233.0,,278.0,False,SOFT,3.0,True,Mercedes,0 days 01:14:03.387000,2026-03-14 07:59:12.699,1,,False,,False,False,118.062,118.06200000000001
15,0 days 00:23:17.101000,RUS,63,,1.0,1.0,0 days 00:21:28.268000,,,31.251,50.605,,0 days 00:22:26.523000,0 days 00:23:17.339000,253.0,261.0,279.0,249.0,False,SOFT,1.0,True,Mercedes,0 days 00:21:28.268000,2026-03-14 07:06:37.580,1,,False,,False,False,,
16,0 days 00:24:50.363000,RUS,63,0 days 00:01:33.262000,2.0,1.0,,,24.208,28.109,40.945,0 days 00:23:41.309000,0 days 00:24:09.418000,0 days 00:24:50.363000,289.0,278.0,256.0,311.0,True,SOFT,2.0,True,Mercedes,0 days 00:23:17.101000,2026-03-14 07:08:26.413,1,,False,,False,True,93.262,93.262
17,0 days 00:27:01.837000,RUS,63,0 days 00:02:11.474000,3.0,1.0,,0 days 00:26:59.861000,38.378,37.882,55.214,0 days 00:25:28.741000,0 days 00:26:06.623000,0 days 00:27:01.837000,180.0,263.0,,293.0,False,SOFT,3.0,True,Mercedes,0 days 00:24:50.363000,2026-03-14 07:09:59.675,1,,False,,False,False,131.474,131.474
18,0 days 00:41:47.671000,RUS,63,,4.0,2.0,0 days 00:40:00.447000,,,30.505,46.921,,0 days 00:41:00.844000,0 days 00:41:47.677000,256.0,263.0,279.0,253.0,False,SOFT,4.0,False,Mercedes,0 days 00:27:01.837000,2026-03-14 07:12:11.149,1,,False,,False,False,,
19,0 days 00:43:20.194000,RUS,63,0 days 00:01:32.523000,5.0,2.0,,,24.085,27.868,40.57,0 days 00:42:11.756000,0 days 00:42:39.624000,0 days 00:43:20.194000,285.0,270.0,258.0,317.0,True,SOFT,5.0,False,Mercedes,0 days 00:41:47.671000,2026-03-14 07:26:56.983,1,,False,,False,True,92.523,92.523
20,0 days 00:45:16.439000,RUS,63,0 days 00:01:56.245000,6.0,2.0,,0 days 00:45:14.617000,29.371,34.46,52.414,0 days 00:43:49.565000,0 days 00:44:24.025000,0 days 00:45:16.439000,190.0,266.0,,296.0,False,SOFT,6.0,False,Mercedes,0 days 00:43:20.194000,2026-03-14 07:28:29.506,1,,False,,False,False,116.245,116.245
21,0 days 00:52:16.267000,RUS,63,,7.0,3.0,0 days 00:50:26.193000,,,30.502,49.316,,0 days 00:51:27.090000,0 days 00:52:16.514000,222.0,253.0,280.0,252.0,False,SOFT,1.0,True,Mercedes,0 days 00:45:16.439000,2026-03-14 07:30:25.751,1,,False,,False,False,,
22,0 days 00:54:14.204000,RUS,63,0 days 00:01:57.937000,8.0,3.0,,,26.726,41.01,50.201,0 days 00:52:42.993000,0 days 00:53:24.003000,0 days 00:54:14.204000,202.0,203.0,256.0,281.0,False,SOFT,2.0,True,Mercedes,0 days 00:52:16.267000,2026-03-14 07:37:25.579,12,,True,DOUBLE YELLOW AT TURN 16,False,True,117.937,117.93699999999998
23,0 days 00:55:59.821000,RUS,63,0 days 00:01:45.617000,9.0,3.0,,0 days 00:55:58.010000,24.539,29.898,51.18,0 days 00:54:38.743000,0 days 00:55:08.641000,0 days 00:55:59.821000,285.0,273.0,,292.0,False,SOFT,3.0,True,Mercedes,0 days 00:54:14.204000,2026-03-14 07:39:23.516,21,,False,,False,False,105.617,105.61699999999999
24,0 days 01:05:56.668000,RUS,63,,10.0,4.0,0 days 01:01:57.563000,0 days 01:05:54.683000,,58.848,94.919,,0 days 01:04:21.750000,0 days 01:05:56.668000,98.0,102.0,,100.0,False,SOFT,1.0,True,Mercedes,0 days 00:55:59.821000,2026-03-14 07:41:09.133,12,,False,,False,False,,
25,0 days 01:14:28.585000,RUS,63,,11.0,5.0,0 days 01:12:44.613000,,,29.114,47.818,,0 days 01:13:40.784000,0 days 01:14:28.804000,258.0,264.0,281.0,236.0,False,SOFT,1.0,True,Mercedes,0 days 01:05:56.668000,2026-03-14 07:51:05.980,1,,False,,False,False,,
26,0 days 01:16:00.871000,RUS,63,0 days 00:01:32.286000,12.0,5.0,,,24.012,27.783,40.491,0 days 01:14:52.597000,0 days 01:15:20.380000,0 days 01:16:00.871000,282.0,272.0,256.0,309.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:28.585000,2026-03-14 07:59:37.897,1,,False,,False,True,92.286,92.286
27,0 days 01:18:13.627000,RUS,63,0 days 00:02:12.756000,13.0,5.0,,0 days 01:18:11.210000,35.643,35.242,61.871,0 days 01:16:36.514000,0 days 01:17:11.756000,0 days 01:18:13.627000,195.0,215.0,,219.0,False,SOFT,3.0,True,Mercedes,0 days 01:16:00.871000,2026-03-14 08:01:10.183,1,,False,,False,False,132.756,132.756
28,0 days 00:18:25.150000,HAM,44,,1.0,1.0,0 days 00:16:31.545000,,,30.734,53.902,,0 days 00:17:31.430000,0 days 00:18:25.332000,269.0,230.0,270.0,200.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:16:31.545000,2026-03-14 07:01:40.857,1,,False,,False,False,,
29,0 days 00:20:01.042000,HAM,44,0 days 00:01:35.892000,2.0,1.0,,,24.728,29.555,41.609,0 days 00:18:49.878000,0 days 00:19:19.433000,0 days 00:20:01.042000,276.0,259.0,258.0,307.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:18:25.150000,2026-03-14 07:03:34.462,1,,False,,False,True,95.892,95.892
30,0 days 00:21:59.840000,HAM,44,0 days 00:01:58.798000,3.0,1.0,,0 days 00:21:56.465000,29.407,31.384,58.007,0 days 00:20:30.449000,0 days 00:21:01.833000,0 days 00:21:59.840000,270.0,263.0,,259.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:20:01.042000,2026-03-14 07:05:10.354,1,,False,,False,False,118.798,118.798
31,0 days 00:24:45.896000,HAM,44,,4.0,2.0,0 days 00:22:50.179000,,84.688,32.719,48.64,0 days 00:23:24.658000,0 days 00:23:57.392000,0 days 00:24:46.159000,274.0,268.0,276.0,252.0,False,SOFT,1.0,True,Ferrari,0 days 00:21:59.840000,2026-03-14 07:07:09.152,1,,False,,False,False,,166.04700000000003
32,0 days 00:26:19.418000,HAM,44,0 days 00:01:33.522000,5.0,2.0,,,24.336,28.133,41.053,0 days 00:25:10.232000,0 days 00:25:38.365000,0 days 00:26:19.418000,271.0,275.0,252.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 00:24:45.896000,2026-03-14 07:09:55.208,1,,False,,False,True,93.522,93.52199999999999
33,0 days 00:28:31.384000,HAM,44,0 days 00:02:11.966000,6.0,2.0,,0 days 00:28:29.665000,35.543,37.622,58.801,0 days 00:26:54.961000,0 days 00:27:32.583000,0 days 00:28:31.384000,190.0,229.0,,250.0,False,SOFT,3.0,True,Ferrari,0 days 00:26:19.418000,2026-03-14 07:11:28.730,1,,False,,False,False,131.966,131.966
34,0 days 00:42:10.447000,HAM,44,,7.0,3.0,0 days 00:40:16.702000,,,31.127,51.44,,0 days 00:41:19.049000,0 days 00:42:10.477000,263.0,174.0,276.0,246.0,False,SOFT,4.0,False,Ferrari,0 days 00:28:31.384000,2026-03-14 07:13:40.696,1,,False,,False,False,,
35,0 days 00:43:43.281000,HAM,44,0 days 00:01:32.834000,8.0,3.0,,,24.21,27.771,40.853,0 days 00:42:34.657000,0 days 00:43:02.428000,0 days 00:43:43.281000,270.0,272.0,255.0,307.0,True,SOFT,5.0,False,Ferrari,0 days 00:42:10.447000,2026-03-14 07:27:19.759,1,,False,,False,True,92.834,92.834
36,0 days 00:45:39.248000,HAM,44,0 days 00:01:55.967000,9.0,3.0,,0 days 00:45:37.530000,30.675,33.993,51.299,0 days 00:44:13.956000,0 days 00:44:47.949000,0 days 00:45:39.248000,231.0,251.0,,259.0,False,SOFT,6.0,False,Ferrari,0 days 00:43:43.281000,2026-03-14 07:28:52.593,1,,False,,False,False,115.967,115.96700000000001
37,0 days 00:50:14.575000,HAM,44,,10.0,4.0,0 days 00:48:23.728000,,,30.359,49.481,,0 days 00:49:25.195000,0 days 00:50:14.763000,269.0,266.0,277.0,220.0,False,SOFT,1.0,True,Ferrari,0 days 00:45:39.248000,2026-03-14 07:30:48.560,1,,False,,False,False,,
38,0 days 00:51:47.142000,HAM,44,0 days 00:01:32.567000,11.0,4.0,,,24.156,27.807,40.604,0 days 00:50:38.731000,0 days 00:51:06.538000,0 days 00:51:47.142000,270.0,273.0,255.0,306.0,True,SOFT,2.0,True,Ferrari,0 days 00:50:14.575000,2026-03-14 07:35:23.887,1,,False,,False,True,92.567,92.567
39,0 days 00:53:54.005000,HAM,44,0 days 00:02:06.863000,12.0,4.0,,,30.666,36.637,59.56,0 days 00:52:17.808000,0 days 00:52:54.445000,0 days 00:53:54.005000,228.0,205.0,276.0,253.0,False,SOFT,3.0,True,Ferrari,0 days 00:51:47.142000,2026-03-14 07:36:56.454,1,,False,,False,True,126.863,126.863
40,0 days 00:55:40.810000,HAM,44,0 days 00:01:46.805000,13.0,4.0,,0 days 00:55:38.783000,24.28,27.827,54.698,0 days 00:54:18.285000,0 days 00:54:46.112000,0 days 00:55:40.810000,269.0,271.0,,310.0,False,SOFT,4.0,True,Ferrari,0 days 00:53:54.005000,2026-03-14 07:39:03.317,12,,False,,False,False,106.805,106.805
41,0 days 01:04:02.679000,HAM,44,,14.0,5.0,0 days 01:02:12.713000,,,32.91,46.685,,0 days 01:03:16.072000,0 days 01:04:02.793000,267.0,252.0,277.0,244.0,False,SOFT,1.0,True,Ferrari,0 days 00:55:40.810000,2026-03-14 07:40:50.122,12,,False,,False,False,,
