,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:52.971000,25.6,63.0,1019.7,False,31.8,309,0.4
1,0 days 00:01:52.985000,25.6,63.6,1019.7,False,31.9,342,0.5
2,0 days 00:02:52.985000,25.6,63.2,1019.6,False,31.9,300,0.6
3,0 days 00:03:53.001000,25.6,64.7,1019.7,False,31.5,280,0.5
4,0 days 00:04:53.017000,25.6,65.1,1019.7,False,31.5,293,0.5
5,0 days 00:05:53.024000,25.7,64.6,1019.7,False,31.6,277,0.4
6,0 days 00:06:53.030000,25.7,64.3,1019.8,False,31.6,311,0.5
7,0 days 00:07:53.023000,25.6,65.1,1019.7,False,31.3,356,0.5
8,0 days 00:08:53.019000,25.6,65.0,1019.7,False,31.3,287,0.6
9,0 days 00:09:53.020000,25.5,65.9,1019.7,False,31.3,279,0.6
10,0 days 00:10:53.017000,25.5,66.1,1019.7,False,31.2,303,0.7
11,0 days 00:11:53.019000,25.5,66.5,1019.8,False,31.2,340,0.5
12,0 days 00:12:53.025000,25.5,66.4,1019.7,False,31.2,286,0.3
13,0 days 00:13:53.018000,25.4,66.1,1019.7,False,31.0,277,0.6
14,0 days 00:14:53.028000,25.4,66.3,1019.7,False,30.9,306,0.5
15,0 days 00:15:53.021000,25.3,66.8,1019.7,False,30.7,299,0.6
16,0 days 00:16:53.021000,25.3,67.2,1019.7,False,30.7,300,0.7
17,0 days 00:17:53.024000,25.2,67.7,1019.8,False,30.6,278,0.5
18,0 days 00:18:53.035000,25.2,67.4,1019.8,False,30.6,316,0.5
19,0 days 00:19:53.030000,25.2,68.1,1019.6,False,30.6,300,0.5
20,0 days 00:20:53.042000,25.2,68.2,1019.8,False,30.6,283,0.6
21,0 days 00:21:53.052000,25.3,68.0,1019.7,False,30.6,273,0.6
22,0 days 00:22:53.066000,25.3,67.6,1019.6,False,30.7,287,0.5
23,0 days 00:23:53.066000,25.3,67.4,1019.8,False,30.7,280,0.6
24,0 days 00:24:53.083000,25.3,67.7,1019.8,False,30.6,292,0.5
25,0 days 00:25:53.067000,25.3,67.7,1019.8,False,30.7,291,0.5
26,0 days 00:26:53.074000,25.3,67.9,1019.8,False,30.6,277,0.5
27,0 days 00:27:53.083000,25.2,67.8,1019.8,False,30.4,323,0.6
28,0 days 00:28:53.084000,25.2,68.2,1019.9,False,30.2,282,0.6
29,0 days 00:29:53.099000,25.1,68.8,1019.9,False,30.0,286,0.6
30,0 days 00:30:53.085000,25.1,69.3,1019.8,False,29.9,289,0.5
31,0 days 00:31:53.097000,25.0,69.7,1019.8,False,30.0,348,0.4
32,0 days 00:32:53.115000,25.0,69.7,1019.9,False,30.0,283,0.4
33,0 days 00:33:53.113000,25.0,70.1,1019.9,False,30.0,34,0.5
34,0 days 00:34:53.116000,24.9,70.4,1019.8,False,29.9,339,0.3
35,0 days 00:35:53.116000,24.9,70.6,1019.8,False,29.8,278,0.2
36,0 days 00:36:53.116000,24.9,70.4,1019.8,False,29.9,308,0.3
37,0 days 00:37:53.139000,24.8,70.5,1019.8,False,29.6,282,0.4
38,0 days 00:38:53.147000,24.8,70.6,1019.9,False,29.8,274,0.4
39,0 days 00:39:53.161000,24.8,70.5,1019.9,False,29.8,281,0.3
40,0 days 00:40:53.153000,24.8,70.0,1019.8,False,29.9,283,0.5
41,0 days 00:41:53.145000,24.7,70.0,1019.8,False,29.9,289,0.5
