,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:48.621000,HAM,44,,1.0,1.0,0 days 00:18:50.088000,,,49.161,27.695,,0 days 00:20:20.926000,0 days 00:20:48.921000,210.0,179.0,256.0,,False,SOFT,1.0,True,Mercedes,0 days 00:18:50.088000,2021-07-31 13:03:51.763,1,,False,,False,False,,
1,0 days 00:22:05.045000,HAM,44,0 days 00:01:16.424000,2.0,1.0,,,27.741,27.118,21.565,0 days 00:21:16.362000,0 days 00:21:43.480000,0 days 00:22:05.045000,283.0,253.0,256.0,300.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:48.621000,2021-07-31 13:05:50.296,1,,False,,False,True,76.424,76.42399999999999
2,0 days 00:23:48.158000,HAM,44,0 days 00:01:43.113000,3.0,1.0,,0 days 00:23:46.466000,37.008,31.775,34.33,0 days 00:22:42.053000,0 days 00:23:13.828000,0 days 00:23:48.158000,257.0,207.0,,280.0,False,SOFT,3.0,True,Mercedes,0 days 00:22:05.045000,2021-07-31 13:07:06.720,1,,False,,False,False,103.113,103.113
3,0 days 00:32:23.730000,HAM,44,,4.0,2.0,0 days 00:29:57.090000,,,54.907,44.042,,0 days 00:31:39.689000,0 days 00:32:23.978000,188.0,162.0,256.0,280.0,False,SOFT,4.0,False,Mercedes,0 days 00:23:48.158000,2021-07-31 13:08:49.833,1,,False,,False,False,,
4,0 days 00:33:40.350000,HAM,44,0 days 00:01:16.620000,5.0,2.0,,,27.815,27.268,21.537,0 days 00:32:51.545000,0 days 00:33:18.813000,0 days 00:33:40.350000,283.0,252.0,259.0,300.0,False,SOFT,5.0,False,Mercedes,0 days 00:32:23.730000,2021-07-31 13:17:25.405,1,,False,,False,True,76.62,76.62
5,0 days 00:35:18.381000,HAM,44,0 days 00:01:38.031000,6.0,2.0,,0 days 00:35:16.714000,31.053,33.578,33.4,0 days 00:34:11.403000,0 days 00:34:44.981000,0 days 00:35:18.381000,251.0,219.0,,286.0,False,SOFT,6.0,False,Mercedes,0 days 00:33:40.350000,2021-07-31 13:18:42.025,1,,False,,False,False,98.031,98.031
6,0 days 00:43:06.308000,HAM,44,,7.0,3.0,0 days 00:41:19.714000,,,42.525,26.658,,0 days 00:42:39.683000,0 days 00:43:06.346000,230.0,201.0,257.0,286.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:35:18.381000,2021-07-31 13:20:20.056,1,,False,,False,False,,
7,0 days 00:44:22.861000,HAM,44,0 days 00:01:16.553000,8.0,3.0,,,27.95,27.169,21.434,0 days 00:43:34.258000,0 days 00:44:01.427000,0 days 00:44:22.861000,283.0,251.0,260.0,301.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:43:06.308000,2021-07-31 13:28:07.983,1,,False,,False,True,76.553,76.553
8,0 days 00:46:06.592000,HAM,44,0 days 00:01:43.731000,9.0,3.0,,0 days 00:46:03.652000,36.638,35.852,31.241,0 days 00:44:59.499000,0 days 00:45:35.351000,0 days 00:46:06.592000,221.0,199.0,,280.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:44:22.861000,2021-07-31 13:29:24.536,1,,False,,False,False,103.731,103.731
9,0 days 01:02:26.156000,HAM,44,,10.0,4.0,0 days 01:00:09.297000,,,44.248,55.53,,0 days 01:01:30.652000,0 days 01:02:26.192000,229.0,174.0,258.0,280.0,False,SOFT,1.0,True,Mercedes,0 days 01:00:09.297000,2021-07-31 13:45:10.972,1,,False,,False,False,,
10,0 days 01:03:46.760000,HAM,44,0 days 00:01:20.604000,11.0,4.0,,,27.608,26.886,26.11,0 days 01:02:53.764000,0 days 01:03:20.650000,0 days 01:03:46.760000,284.0,254.0,152.0,305.0,False,SOFT,2.0,True,Mercedes,0 days 01:02:26.156000,2021-07-31 13:47:27.831,1,,False,,False,True,80.604,80.604
11,0 days 01:05:21.471000,HAM,44,0 days 00:01:34.711000,12.0,4.0,,0 days 01:05:19.682000,32.511,30.775,31.425,0 days 01:04:19.271000,0 days 01:04:50.046000,0 days 01:05:21.471000,255.0,239.0,,246.0,False,SOFT,3.0,True,Mercedes,0 days 01:03:46.760000,2021-07-31 13:48:48.435,1,,False,,False,False,94.711,94.711
12,0 days 01:14:56.209000,HAM,44,,13.0,5.0,0 days 01:12:41.852000,,,52.157,43.994,,0 days 01:14:12.248000,0 days 01:14:56.261000,199.0,66.0,258.0,246.0,False,SOFT,1.0,True,Mercedes,0 days 01:05:21.471000,2021-07-31 13:50:23.146,1,,False,,False,False,,
13,0 days 01:16:11.628000,HAM,44,0 days 00:01:15.419000,14.0,5.0,,,27.355,26.702,21.362,0 days 01:15:23.564000,0 days 01:15:50.266000,0 days 01:16:11.628000,284.0,256.0,259.0,303.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:56.209000,2021-07-31 13:59:57.884,1,,False,,False,True,75.419,75.419
14,0 days 01:17:41.217000,HAM,44,0 days 00:01:29.589000,15.0,5.0,,0 days 01:17:39.510000,30.679,31.979,26.931,0 days 01:16:42.307000,0 days 01:17:14.286000,0 days 01:17:41.217000,249.0,226.0,,283.0,False,SOFT,3.0,True,Mercedes,0 days 01:16:11.628000,2021-07-31 14:01:13.303,1,,False,,False,False,89.589,89.589
15,0 days 01:22:52.792000,HAM,44,,16.0,6.0,0 days 01:20:42.606000,,,45.601,41.955,,0 days 01:22:10.854000,0 days 01:22:52.832000,218.0,205.0,257.0,283.0,False,SOFT,1.0,True,Mercedes,0 days 01:17:41.217000,2021-07-31 14:02:42.892,1,,False,,False,False,,
16,0 days 01:24:10.546000,HAM,44,0 days 00:01:17.754000,17.0,6.0,,,27.64,27.643,22.471,0 days 01:23:20.432000,0 days 01:23:48.075000,0 days 01:24:10.546000,284.0,248.0,253.0,302.0,False,SOFT,2.0,True,Mercedes,0 days 01:22:52.792000,2021-07-31 14:07:54.467,1,,False,,False,True,77.754,77.754
17,0 days 01:26:07.902000,HAM,44,0 days 00:01:57.356000,18.0,6.0,,0 days 01:26:07.652000,36.442,34.993,45.921,0 days 01:24:46.988000,0 days 01:25:21.981000,0 days 01:26:07.902000,205.0,189.0,23.0,218.0,False,SOFT,3.0,True,Mercedes,0 days 01:24:10.546000,2021-07-31 14:09:12.221,1,,False,,False,False,117.356,117.356
18,0 days 00:20:31.526000,BOT,77,,1.0,1.0,0 days 00:18:46.610000,,,40.618,27.025,,0 days 00:20:04.501000,0 days 00:20:31.601000,217.0,195.0,258.0,,False,SOFT,1.0,True,Mercedes,0 days 00:18:46.610000,2021-07-31 13:03:48.285,1,,False,,False,False,,
19,0 days 00:21:48.136000,BOT,77,0 days 00:01:16.610000,2.0,1.0,,,27.816,27.171,21.623,0 days 00:20:59.342000,0 days 00:21:26.513000,0 days 00:21:48.136000,280.0,253.0,259.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:31.526000,2021-07-31 13:05:33.201,1,,False,,False,True,76.61,76.61
20,0 days 00:23:33.398000,BOT,77,0 days 00:01:45.262000,3.0,1.0,,0 days 00:23:30.142000,35.131,35.545,34.586,0 days 00:22:23.267000,0 days 00:22:58.812000,0 days 00:23:33.398000,231.0,191.0,,277.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:48.136000,2021-07-31 13:06:49.811,1,,False,,False,False,105.262,105.262
21,0 days 00:32:05.684000,BOT,77,,4.0,2.0,0 days 00:29:45.565000,,,50.277,47.236,,0 days 00:31:18.452000,0 days 00:32:05.924000,158.0,113.0,256.0,277.0,False,SOFT,4.0,False,Mercedes,0 days 00:23:33.398000,2021-07-31 13:08:35.073,1,,False,,False,False,,
22,0 days 00:33:22.253000,BOT,77,0 days 00:01:16.569000,5.0,2.0,,,27.746,27.225,21.598,0 days 00:32:33.430000,0 days 00:33:00.655000,0 days 00:33:22.253000,283.0,253.0,258.0,299.0,True,SOFT,5.0,False,Mercedes,0 days 00:32:05.684000,2021-07-31 13:17:07.359,1,,False,,False,True,76.569,76.569
23,0 days 00:35:05.024000,BOT,77,0 days 00:01:42.771000,6.0,2.0,,0 days 00:35:03.339000,34.427,36.21,32.134,0 days 00:33:56.680000,0 days 00:34:32.890000,0 days 00:35:05.024000,224.0,214.0,,254.0,False,SOFT,6.0,False,Mercedes,0 days 00:33:22.253000,2021-07-31 13:18:23.928,1,,False,,False,False,102.771,102.771
24,0 days 00:42:55.198000,BOT,77,,7.0,3.0,0 days 00:41:17.411000,,,37.878,24.333,,0 days 00:42:30.901000,0 days 00:42:55.246000,225.0,212.0,258.0,254.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:35:05.024000,2021-07-31 13:20:06.699,1,,False,,False,False,,
25,0 days 00:44:12.281000,BOT,77,0 days 00:01:17.083000,8.0,3.0,,,27.943,27.44,21.7,0 days 00:43:23.141000,0 days 00:43:50.581000,0 days 00:44:12.281000,283.0,251.0,261.0,300.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:42:55.198000,2021-07-31 13:27:56.873,1,,False,,False,True,77.083,77.083
26,0 days 00:45:52.735000,BOT,77,0 days 00:01:40.454000,9.0,3.0,,0 days 00:45:50.917000,37.147,36.058,27.249,0 days 00:44:49.428000,0 days 00:45:25.486000,0 days 00:45:52.735000,252.0,222.0,,286.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:44:12.281000,2021-07-31 13:29:13.956,1,,False,,False,False,100.454,100.454
27,0 days 01:00:41.533000,BOT,77,,10.0,4.0,0 days 00:59:08.107000,,,34.029,23.753,,0 days 01:00:17.795000,0 days 01:00:41.547000,234.0,220.0,258.0,286.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:59:08.107000,2021-07-31 13:44:09.782,1,,False,,False,False,,
28,0 days 01:01:58.235000,BOT,77,0 days 00:01:16.702000,11.0,4.0,,,27.83,27.396,21.476,0 days 01:01:09.363000,0 days 01:01:36.759000,0 days 01:01:58.235000,282.0,253.0,261.0,300.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:00:41.533000,2021-07-31 13:45:43.208,1,,False,,False,True,76.702,76.702
29,0 days 01:03:48.060000,BOT,77,0 days 00:01:49.825000,12.0,4.0,,0 days 01:03:46.230000,37.523,41.757,30.545,0 days 01:02:35.758000,0 days 01:03:17.515000,0 days 01:03:48.060000,75.0,226.0,,215.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:01:58.235000,2021-07-31 13:46:59.910,1,,False,,False,False,109.825,109.825
30,0 days 01:14:47.569000,BOT,77,,13.0,5.0,0 days 01:12:38.381000,,,49.702,39.84,,0 days 01:14:07.778000,0 days 01:14:47.594000,215.0,91.0,259.0,215.0,False,SOFT,1.0,True,Mercedes,0 days 01:03:48.060000,2021-07-31 13:48:49.735,1,,False,,False,False,,
31,0 days 01:16:03.303000,BOT,77,0 days 00:01:15.734000,14.0,5.0,,,27.369,26.882,21.483,0 days 01:15:14.938000,0 days 01:15:41.820000,0 days 01:16:03.303000,282.0,255.0,261.0,302.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:47.569000,2021-07-31 13:59:49.244,1,,False,,False,True,75.734,75.73400000000001
32,0 days 01:17:38.049000,BOT,77,0 days 00:01:34.746000,15.0,5.0,,0 days 01:17:36.230000,32.309,32.331,30.106,0 days 01:16:35.612000,0 days 01:17:07.943000,0 days 01:17:38.049000,250.0,213.0,,286.0,False,SOFT,3.0,True,Mercedes,0 days 01:16:03.303000,2021-07-31 14:01:04.978,1,,False,,False,False,94.746,94.74600000000001
33,0 days 01:22:45.299000,BOT,77,,16.0,6.0,0 days 01:20:31.814000,,,46.146,37.79,,0 days 01:22:07.509000,0 days 01:22:45.309000,214.0,184.0,259.0,286.0,False,SOFT,1.0,True,Mercedes,0 days 01:17:38.049000,2021-07-31 14:02:39.724,1,,False,,False,False,,
34,0 days 01:24:01.251000,BOT,77,0 days 00:01:15.952000,17.0,6.0,,,27.562,27.021,21.369,0 days 01:23:12.861000,0 days 01:23:39.882000,0 days 01:24:01.251000,282.0,253.0,259.0,303.0,False,SOFT,2.0,True,Mercedes,0 days 01:22:45.299000,2021-07-31 14:07:46.974,1,,False,,False,True,75.952,75.952
35,0 days 01:26:09.201000,BOT,77,,18.0,6.0,,0 days 01:26:09.201000,37.49,35.724,,0 days 01:24:38.700000,0 days 01:25:14.417000,,177.0,184.0,,209.0,False,SOFT,3.0,True,Mercedes,0 days 01:24:01.251000,2021-07-31 14:09:02.926,1,,False,,False,False,,
36,0 days 00:21:25.686000,VER,33,,1.0,1.0,0 days 00:19:26.159000,,,54.614,33.128,,0 days 00:20:52.678000,0 days 00:21:25.968000,269.0,99.0,260.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:19:26.159000,2021-07-31 13:04:27.834,1,,False,,False,False,,
37,0 days 00:22:41.900000,VER,33,0 days 00:01:16.214000,2.0,1.0,,,27.6,27.066,21.548,0 days 00:21:53.286000,0 days 00:22:20.352000,0 days 00:22:41.900000,281.0,251.0,258.0,299.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:21:25.686000,2021-07-31 13:06:27.361,1,,False,,False,True,76.214,76.214
38,0 days 00:24:31.781000,VER,33,0 days 00:01:49.881000,3.0,1.0,,0 days 00:24:29.322000,34.763,36.606,38.512,0 days 00:23:16.663000,0 days 00:23:53.269000,0 days 00:24:31.781000,208.0,169.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:22:41.900000,2021-07-31 13:07:43.575,1,,False,,False,False,109.881,109.881
39,0 days 00:43:12.248000,VER,33,,4.0,2.0,0 days 00:41:25.961000,,,43.072,27.57,,0 days 00:42:44.753000,0 days 00:43:12.308000,238.0,159.0,260.0,212.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:24:31.781000,2021-07-31 13:09:33.456,1,,False,,False,False,,
40,0 days 00:44:29.017000,VER,33,0 days 00:01:16.769000,5.0,2.0,,,27.822,27.32,21.627,0 days 00:43:40.070000,0 days 00:44:07.390000,0 days 00:44:29.017000,280.0,251.0,261.0,300.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:43:12.248000,2021-07-31 13:28:13.923,1,,False,,False,True,76.769,76.76899999999999
41,0 days 00:46:30.295000,VER,33,0 days 00:02:01.278000,6.0,2.0,,,44.777,47.677,28.824,0 days 00:45:13.794000,0 days 00:46:01.471000,0 days 00:46:30.295000,147.0,179.0,261.0,245.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:44:29.017000,2021-07-31 13:29:30.692,1,,False,,False,True,121.278,121.278
42,0 days 00:47:47.174000,VER,33,0 days 00:01:16.879000,7.0,2.0,,,27.8,27.467,21.612,0 days 00:46:58.095000,0 days 00:47:25.562000,0 days 00:47:47.174000,281.0,251.0,258.0,298.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:46:30.295000,2021-07-31 13:31:31.970,1,,False,,False,True,76.879,76.87899999999999
43,0 days 00:59:09.467000,VER,33,,8.0,2.0,,0 days 00:49:35.560000,,,,,,,,,,272.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:47:47.174000,2021-07-31 13:32:48.849,125,,False,,False,False,,
44,0 days 01:01:12.356000,VER,33,,9.0,3.0,0 days 00:59:09.387000,,,49.688,35.677,,0 days 01:00:36.735000,0 days 01:01:12.380000,212.0,128.0,262.0,272.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:59:09.387000,2021-07-31 13:44:11.062,1,,False,,False,False,,
45,0 days 01:02:28.006000,VER,33,0 days 00:01:15.650000,10.0,3.0,,,27.43,26.825,21.395,0 days 01:01:39.786000,0 days 01:02:06.611000,0 days 01:02:28.006000,280.0,253.0,260.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:01:12.356000,2021-07-31 13:46:14.031,1,,False,,False,True,75.65,75.64999999999999
46,0 days 01:04:11.440000,VER,33,0 days 00:01:43.434000,11.0,3.0,,0 days 01:04:09.668000,37.812,35.753,29.869,0 days 01:03:05.818000,0 days 01:03:41.571000,0 days 01:04:11.440000,197.0,199.0,,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:02:28.006000,2021-07-31 13:47:29.681,1,,False,,False,False,103.434,103.434
47,0 days 01:14:39.605000,VER,33,,12.0,4.0,0 days 01:12:36.959000,,,48.226,34.237,,0 days 01:14:05.368000,0 days 01:14:39.644000,202.0,104.0,262.0,210.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:04:11.440000,2021-07-31 13:49:13.115,1,,False,,False,False,,
48,0 days 01:15:55.589000,VER,33,0 days 00:01:15.984000,13.0,4.0,,,27.441,27.057,21.486,0 days 01:15:07.046000,0 days 01:15:34.103000,0 days 01:15:55.589000,281.0,253.0,261.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:39.605000,2021-07-31 13:59:41.280,1,,False,,False,True,75.984,75.984
49,0 days 01:17:31.079000,VER,33,0 days 00:01:35.490000,14.0,4.0,,0 days 01:17:29.296000,32.582,34.04,28.868,0 days 01:16:28.171000,0 days 01:17:02.211000,0 days 01:17:31.079000,224.0,212.0,,275.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:55.589000,2021-07-31 14:00:57.264,1,,False,,False,False,95.49,95.49
50,0 days 01:22:56.861000,VER,33,,15.0,5.0,0 days 01:20:45.416000,,,47.514,41.658,,0 days 01:22:15.238000,0 days 01:22:56.886000,231.0,132.0,260.0,275.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:17:31.079000,2021-07-31 14:02:32.754,1,,False,,False,False,,
51,0 days 01:24:12.701000,VER,33,0 days 00:01:15.840000,16.0,5.0,,,27.505,26.953,21.382,0 days 01:23:24.366000,0 days 01:23:51.319000,0 days 01:24:12.701000,282.0,256.0,260.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:22:56.861000,2021-07-31 14:07:58.536,1,,False,,False,True,75.84,75.84
52,0 days 01:26:06.844000,VER,33,,17.0,5.0,,0 days 01:26:06.844000,35.841,33.982,,0 days 01:24:48.526000,0 days 01:25:22.561000,,234.0,183.0,,215.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:24:12.701000,2021-07-31 14:09:14.376,1,,False,,False,False,,
53,0 days 00:23:00.836000,PER,11,,1.0,1.0,0 days 00:21:11.925000,,,39.973,27.934,,0 days 00:22:32.902000,0 days 00:23:01.115000,88.0,232.0,258.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:21:11.925000,2021-07-31 13:06:13.600,1,,False,,False,False,,
54,0 days 00:24:18.136000,PER,11,0 days 00:01:17.300000,2.0,1.0,,,27.908,27.688,21.704,0 days 00:23:28.744000,0 days 00:23:56.432000,0 days 00:24:18.136000,281.0,251.0,260.0,296.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:23:00.836000,2021-07-31 13:08:02.511,1,,False,,False,True,77.3,77.30000000000001
55,0 days 00:26:38.754000,PER,11,0 days 00:02:20.618000,3.0,1.0,,,46.792,55.455,38.371,0 days 00:25:04.928000,0 days 00:26:00.383000,0 days 00:26:38.754000,91.0,106.0,258.0,242.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:24:18.136000,2021-07-31 13:09:19.811,1,,False,,False,True,140.618,140.618
56,0 days 00:27:55.987000,PER,11,0 days 00:01:17.233000,4.0,1.0,,,27.774,27.533,21.926,0 days 00:27:06.528000,0 days 00:27:34.061000,0 days 00:27:55.987000,278.0,250.0,256.0,298.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:26:38.754000,2021-07-31 13:11:40.429,1,,False,,False,True,77.233,77.233
57,0 days 00:29:29.945000,PER,11,0 days 00:01:33.958000,5.0,1.0,,0 days 00:29:28.183000,33.059,31.746,29.153,0 days 00:28:29.046000,0 days 00:29:00.792000,0 days 00:29:29.945000,236.0,230.0,,277.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:27:55.987000,2021-07-31 13:12:57.662,1,,False,,False,False,93.958,93.958
58,0 days 00:43:20.001000,PER,11,,6.0,2.0,0 days 00:41:31.234000,,,46.158,27.408,,0 days 00:42:52.667000,0 days 00:43:20.001000,254.0,170.0,260.0,277.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:29:29.945000,2021-07-31 13:14:31.620,1,,False,,False,False,,
59,0 days 00:44:37.204000,PER,11,0 days 00:01:17.203000,7.0,2.0,,,28.051,27.544,21.608,0 days 00:43:48.052000,0 days 00:44:15.596000,0 days 00:44:37.204000,280.0,250.0,260.0,300.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:43:20.001000,2021-07-31 13:28:21.676,1,,False,,False,True,77.203,77.203
60,0 days 00:46:19.572000,PER,11,0 days 00:01:42.368000,8.0,2.0,,0 days 00:46:17.771000,38.364,35.415,28.589,0 days 00:45:15.568000,0 days 00:45:50.983000,0 days 00:46:19.572000,163.0,219.0,,270.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:44:37.204000,2021-07-31 13:29:38.879,1,,False,,False,False,102.368,102.368
61,0 days 01:02:00.191000,PER,11,,9.0,3.0,0 days 00:59:36.507000,,,55.496,46.328,,0 days 01:01:13.954000,0 days 01:02:00.223000,137.0,162.0,262.0,270.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:59:36.507000,2021-07-31 13:44:38.182,1,,False,,False,False,,
62,0 days 01:03:16.634000,PER,11,0 days 00:01:16.443000,10.0,3.0,,,27.654,27.29,21.499,0 days 01:02:27.845000,0 days 01:02:55.135000,0 days 01:03:16.634000,281.0,252.0,258.0,306.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:02:00.191000,2021-07-31 13:47:01.866,1,,False,,False,True,76.443,76.443
63,0 days 01:04:58.239000,PER,11,0 days 00:01:41.605000,11.0,3.0,,0 days 01:04:56.450000,36.532,33.563,31.51,0 days 01:03:53.166000,0 days 01:04:26.729000,0 days 01:04:58.239000,190.0,184.0,,252.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:03:16.634000,2021-07-31 13:48:18.309,1,,False,,False,False,101.605,101.605
64,0 days 01:15:03.131000,PER,11,,12.0,4.0,0 days 01:12:45.779000,,,45.052,42.262,,0 days 01:14:20.938000,0 days 01:15:03.144000,156.0,166.0,261.0,252.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:04:58.239000,2021-07-31 13:49:59.914,1,,False,,False,False,,
65,0 days 01:16:19.552000,PER,11,0 days 00:01:16.421000,13.0,4.0,,,27.604,27.361,21.456,0 days 01:15:30.735000,0 days 01:15:58.096000,0 days 01:16:19.552000,281.0,251.0,259.0,301.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:15:03.131000,2021-07-31 14:00:04.806,1,,False,,False,True,76.421,76.421
66,0 days 01:17:57.458000,PER,11,0 days 00:01:37.906000,14.0,4.0,,0 days 01:17:55.647000,32.794,36.298,28.814,0 days 01:16:52.346000,0 days 01:17:28.644000,0 days 01:17:57.458000,240.0,216.0,,268.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:16:19.552000,2021-07-31 14:01:21.227,1,,False,,False,False,97.906,97.906
67,0 days 01:23:01.097000,PER,11,,15.0,5.0,0 days 01:20:51.523000,,,39.834,42.163,,0 days 01:22:18.968000,0 days 01:23:01.097000,159.0,205.0,262.0,268.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:17:57.458000,2021-07-31 14:02:59.133,1,,False,,False,False,,
68,0 days 01:24:41.550000,PER,11,,16.0,5.0,,0 days 01:24:41.550000,32.521,38.043,,0 days 01:23:33.587000,0 days 01:24:11.605000,,211.0,177.0,,304.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:23:01.097000,2021-07-31 14:08:02.772,1,,False,,False,False,,
69,0 days 00:21:35.815000,GAS,10,,1.0,1.0,0 days 00:19:50.726000,,,42.483,28.166,,0 days 00:21:07.697000,0 days 00:21:36.064000,258.0,192.0,260.0,,False,SOFT,1.0,True,AlphaTauri,0 days 00:19:50.726000,2021-07-31 13:04:52.401,1,,False,,False,False,,
70,0 days 00:22:52.689000,GAS,10,0 days 00:01:16.874000,2.0,1.0,,,27.883,27.203,21.788,0 days 00:22:03.698000,0 days 00:22:30.901000,0 days 00:22:52.689000,277.0,252.0,256.0,298.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:21:35.815000,2021-07-31 13:06:37.490,1,,False,,False,True,76.874,76.874
71,0 days 00:24:38.652000,GAS,10,0 days 00:01:45.963000,3.0,1.0,,0 days 00:24:36.957000,36.884,36.872,32.207,0 days 00:23:29.573000,0 days 00:24:06.445000,0 days 00:24:38.652000,136.0,211.0,,283.0,False,SOFT,3.0,True,AlphaTauri,0 days 00:22:52.689000,2021-07-31 13:07:54.364,1,,False,,False,False,105.963,105.963
72,0 days 00:44:19.164000,GAS,10,,4.0,2.0,0 days 00:42:33.218000,,,40.051,31.15,,0 days 00:43:48.415000,0 days 00:44:19.194000,264.0,214.0,261.0,283.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:24:38.652000,2021-07-31 13:09:40.327,1,,False,,False,False,,
73,0 days 00:45:36.197000,GAS,10,0 days 00:01:17.033000,5.0,2.0,,,28.002,27.412,21.619,0 days 00:44:47.166000,0 days 00:45:14.578000,0 days 00:45:36.197000,280.0,252.0,259.0,299.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:44:19.164000,2021-07-31 13:29:20.839,1,,False,,False,True,77.033,77.033
74,0 days 00:47:20.051000,GAS,10,0 days 00:01:43.854000,6.0,2.0,,0 days 00:47:18.288000,35.416,37.253,31.185,0 days 00:46:11.613000,0 days 00:46:48.866000,0 days 00:47:20.051000,229.0,202.0,,285.0,False,SOFT,3.0,True,AlphaTauri,0 days 00:45:36.197000,2021-07-31 13:30:37.872,1,,False,,False,False,103.854,103.854
75,0 days 01:01:05.794000,GAS,10,,7.0,3.0,0 days 00:59:06.974000,,,46.775,34.822,,0 days 01:00:30.972000,0 days 01:01:05.837000,152.0,218.0,260.0,285.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:59:06.974000,2021-07-31 13:44:08.649,1,,False,,False,False,,
76,0 days 01:02:22.188000,GAS,10,0 days 00:01:16.394000,8.0,3.0,,,27.681,27.07,21.643,0 days 01:01:33.475000,0 days 01:02:00.545000,0 days 01:02:22.188000,278.0,252.0,261.0,300.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:01:05.794000,2021-07-31 13:46:07.469,1,,False,,False,True,76.394,76.394
77,0 days 01:04:08.110000,GAS,10,0 days 00:01:45.922000,9.0,3.0,,0 days 01:04:06.331000,37.324,36.479,32.119,0 days 01:02:59.512000,0 days 01:03:35.991000,0 days 01:04:08.110000,221.0,207.0,,291.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:02:22.188000,2021-07-31 13:47:23.863,1,,False,,False,False,105.922,105.922
78,0 days 01:13:56.323000,GAS,10,,10.0,4.0,0 days 01:12:06.062000,,,42.962,26.471,,0 days 01:13:29.865000,0 days 01:13:56.356000,230.0,202.0,260.0,291.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:04:08.110000,2021-07-31 13:49:09.785,1,,False,,False,False,,
79,0 days 01:15:13.022000,GAS,10,0 days 00:01:16.699000,11.0,4.0,,,27.886,27.18,21.633,0 days 01:14:24.209000,0 days 01:14:51.389000,0 days 01:15:13.022000,277.0,252.0,259.0,298.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:13:56.323000,2021-07-31 13:58:57.998,1,,False,,False,True,76.699,76.699
