,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:45:46.906000,VER,1,,1.0,1.0,,0 days 00:45:39.966000,,34.705,50.505,,0 days 00:44:56.483000,0 days 00:45:46.952000,216.0,188.0,,158.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,1.0,False,,False,False,,
1,0 days 00:48:19.287000,VER,1,,2.0,2.0,0 days 00:45:59.491000,0 days 00:48:13.160000,59.927,49.321,43.053,0 days 00:46:46.959000,0 days 00:47:36.324000,0 days 00:48:19.591000,179.0,152.0,,142.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:46.906000,2024-05-04 16:05:38.982,4,1.0,False,,False,False,,152.301
2,0 days 00:51:01.653000,VER,1,,3.0,3.0,0 days 00:48:30.775000,,56.413,49.708,56.31,0 days 00:49:15.769000,0 days 00:50:05.444000,0 days 00:51:01.904000,180.0,157.0,276.0,62.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:48:19.287000,2024-05-04 16:08:11.363,41,1.0,False,,False,False,,162.43099999999998
3,0 days 00:52:32.068000,VER,1,0 days 00:01:30.415000,4.0,3.0,,,30.295,34.452,25.668,0 days 00:51:31.994000,0 days 00:52:06.446000,0 days 00:52:32.114000,218.0,188.0,275.0,310.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:01.653000,2024-05-04 16:10:53.729,1,1.0,False,,False,True,90.415,90.41499999999999
4,0 days 00:54:02.824000,VER,1,0 days 00:01:30.756000,5.0,3.0,,,30.402,34.565,25.789,0 days 00:53:02.516000,0 days 00:53:37.081000,0 days 00:54:02.870000,218.0,187.0,277.0,308.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:32.068000,2024-05-04 16:12:24.144,1,1.0,False,,False,True,90.756,90.756
5,0 days 00:55:33.966000,VER,1,0 days 00:01:31.142000,6.0,3.0,,,30.587,34.856,25.699,0 days 00:54:33.457000,0 days 00:55:08.313000,0 days 00:55:34.012000,215.0,188.0,276.0,310.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:02.824000,2024-05-04 16:13:54.900,1,1.0,False,,False,True,91.142,91.142
6,0 days 00:57:05.001000,VER,1,0 days 00:01:31.035000,7.0,3.0,,,30.617,34.681,25.737,0 days 00:56:04.629000,0 days 00:56:39.310000,0 days 00:57:05.047000,216.0,187.0,276.0,309.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:33.966000,2024-05-04 16:15:26.042,1,1.0,False,,False,True,91.035,91.035
7,0 days 00:58:36.059000,VER,1,0 days 00:01:31.058000,8.0,3.0,,,30.646,34.675,25.737,0 days 00:57:35.693000,0 days 00:58:10.368000,0 days 00:58:36.105000,216.0,187.0,276.0,310.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:05.001000,2024-05-04 16:16:57.077,1,1.0,False,,False,True,91.058,91.05799999999999
8,0 days 01:00:07.569000,VER,1,0 days 00:01:31.510000,9.0,3.0,,,30.761,35.001,25.748,0 days 00:59:06.866000,0 days 00:59:41.867000,0 days 01:00:07.615000,216.0,187.0,276.0,309.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:58:36.059000,2024-05-04 16:18:28.135,1,1.0,False,,False,True,91.51,91.51
9,0 days 01:01:39.390000,VER,1,0 days 00:01:31.821000,10.0,3.0,,,30.812,35.045,25.964,0 days 01:00:38.427000,0 days 01:01:13.472000,0 days 01:01:39.436000,212.0,187.0,276.0,310.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:07.569000,2024-05-04 16:19:59.645,1,1.0,False,,False,True,91.821,91.821
10,0 days 01:03:10.745000,VER,1,0 days 00:01:31.355000,11.0,3.0,,,30.618,34.958,25.779,0 days 01:02:10.054000,0 days 01:02:45.012000,0 days 01:03:10.791000,214.0,187.0,277.0,308.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:01:39.390000,2024-05-04 16:21:31.466,1,1.0,False,,False,True,91.355,91.35499999999999
11,0 days 01:04:42.319000,VER,1,0 days 00:01:31.574000,12.0,3.0,,,30.771,34.997,25.806,0 days 01:03:41.562000,0 days 01:04:16.559000,0 days 01:04:42.365000,215.0,187.0,276.0,310.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:03:10.745000,2024-05-04 16:23:02.821,1,1.0,False,,False,True,91.574,91.574
12,0 days 01:06:13.759000,VER,1,0 days 00:01:31.440000,13.0,3.0,,,30.832,34.856,25.752,0 days 01:05:13.197000,0 days 01:05:48.053000,0 days 01:06:13.805000,215.0,188.0,277.0,308.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:04:42.319000,2024-05-04 16:24:34.395,1,1.0,False,,False,True,91.44,91.44
13,0 days 01:07:44.789000,VER,1,0 days 00:01:31.030000,14.0,3.0,,,30.567,34.822,25.641,0 days 01:06:44.372000,0 days 01:07:19.194000,0 days 01:07:44.835000,216.0,188.0,278.0,310.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:06:13.759000,2024-05-04 16:26:05.835,1,1.0,False,,False,True,91.03,91.03
14,0 days 01:09:16.010000,VER,1,0 days 00:01:31.221000,15.0,3.0,,,30.551,34.98,25.69,0 days 01:08:15.386000,0 days 01:08:50.366000,0 days 01:09:16.056000,216.0,188.0,278.0,309.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:07:44.789000,2024-05-04 16:27:36.865,1,1.0,False,,False,True,91.221,91.22099999999999
15,0 days 01:10:46.972000,VER,1,0 days 00:01:30.962000,16.0,3.0,,,30.441,34.758,25.763,0 days 01:09:46.497000,0 days 01:10:21.255000,0 days 01:10:47.018000,216.0,188.0,279.0,307.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:09:16.010000,2024-05-04 16:29:08.086,1,1.0,False,,False,True,90.962,90.962
16,0 days 01:12:18.043000,VER,1,0 days 00:01:31.071000,17.0,3.0,,,30.515,34.845,25.711,0 days 01:11:17.533000,0 days 01:11:52.378000,0 days 01:12:18.089000,213.0,188.0,278.0,309.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:10:46.972000,2024-05-04 16:30:39.048,1,1.0,False,,False,True,91.071,91.071
17,0 days 01:13:48.892000,VER,1,0 days 00:01:30.849000,18.0,3.0,,,30.39,34.773,25.686,0 days 01:12:48.479000,0 days 01:13:23.252000,0 days 01:13:48.938000,217.0,188.0,277.0,309.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:12:18.043000,2024-05-04 16:32:10.119,1,1.0,False,,False,True,90.849,90.84900000000002
18,0 days 01:15:19.577000,VER,1,0 days 00:01:30.685000,19.0,3.0,,,30.318,34.687,25.68,0 days 01:14:19.256000,0 days 01:14:53.943000,0 days 01:15:19.623000,216.0,189.0,279.0,309.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:13:48.892000,2024-05-04 16:33:40.968,1,1.0,False,,False,True,90.685,90.685
19,0 days 00:45:49.632000,LEC,16,,1.0,1.0,,0 days 00:45:42.436000,,35.149,52.266,,0 days 00:44:57.420000,0 days 00:45:49.898000,218.0,190.0,,152.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,2.0,False,,False,False,,
20,0 days 00:48:21.030000,LEC,16,,2.0,2.0,0 days 00:46:01.424000,0 days 00:48:14.899000,58.739,49.193,43.478,0 days 00:46:48.438000,0 days 00:47:37.606000,0 days 00:48:21.098000,175.0,143.0,,167.0,False,MEDIUM,2.0,False,Ferrari,0 days 00:45:49.632000,2024-05-04 16:05:41.708,4,2.0,False,,False,False,,151.41
21,0 days 00:51:02.358000,LEC,16,,3.0,3.0,0 days 00:48:32.999000,,56.498,49.655,55.227,0 days 00:49:17.592000,0 days 00:50:07.207000,0 days 00:51:02.504000,159.0,155.0,276.0,62.0,False,MEDIUM,3.0,False,Ferrari,0 days 00:48:21.030000,2024-05-04 16:08:13.106,41,2.0,False,,False,False,,161.38
22,0 days 00:52:33.165000,LEC,16,0 days 00:01:30.807000,4.0,3.0,,,30.426,34.722,25.659,0 days 00:51:32.838000,0 days 00:52:07.560000,0 days 00:52:33.219000,218.0,188.0,275.0,317.0,True,MEDIUM,4.0,False,Ferrari,0 days 00:51:02.358000,2024-05-04 16:10:54.434,1,2.0,False,,False,True,90.807,90.80699999999999
23,0 days 00:54:04.169000,LEC,16,0 days 00:01:31.004000,5.0,3.0,,,30.395,34.813,25.796,0 days 00:53:03.614000,0 days 00:53:38.427000,0 days 00:54:04.223000,214.0,185.0,276.0,313.0,False,MEDIUM,5.0,False,Ferrari,0 days 00:52:33.165000,2024-05-04 16:12:25.241,1,2.0,False,,False,True,91.004,91.00399999999999
24,0 days 00:55:35.366000,LEC,16,0 days 00:01:31.197000,6.0,3.0,,,30.563,34.949,25.685,0 days 00:54:34.786000,0 days 00:55:09.735000,0 days 00:55:35.420000,216.0,185.0,276.0,312.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:54:04.169000,2024-05-04 16:13:56.245,1,2.0,False,,False,True,91.197,91.197
25,0 days 00:57:06.434000,LEC,16,0 days 00:01:31.068000,7.0,3.0,,,30.543,34.78,25.745,0 days 00:56:05.963000,0 days 00:56:40.743000,0 days 00:57:06.488000,216.0,187.0,275.0,313.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:55:35.366000,2024-05-04 16:15:27.442,1,2.0,False,,False,True,91.068,91.06800000000001
26,0 days 00:58:37.810000,LEC,16,0 days 00:01:31.376000,8.0,3.0,,,30.626,34.967,25.783,0 days 00:57:37.114000,0 days 00:58:12.081000,0 days 00:58:37.864000,215.0,185.0,275.0,314.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:57:06.434000,2024-05-04 16:16:58.510,1,2.0,False,,False,True,91.376,91.376
27,0 days 01:00:09.847000,LEC,16,0 days 00:01:32.037000,9.0,3.0,,,30.751,35.44,25.846,0 days 00:59:08.615000,0 days 00:59:44.055000,0 days 01:00:09.901000,216.0,183.0,275.0,312.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:58:37.810000,2024-05-04 16:18:29.886,1,2.0,False,,False,True,92.037,92.037
28,0 days 01:01:41.336000,LEC,16,0 days 00:01:31.489000,10.0,3.0,,,30.725,35.032,25.732,0 days 01:00:40.626000,0 days 01:01:15.658000,0 days 01:01:41.390000,215.0,185.0,275.0,313.0,False,MEDIUM,10.0,False,Ferrari,0 days 01:00:09.847000,2024-05-04 16:20:01.923,1,2.0,False,,False,True,91.489,91.489
29,0 days 01:03:12.929000,LEC,16,0 days 00:01:31.593000,11.0,3.0,,,30.784,35.057,25.752,0 days 01:02:12.174000,0 days 01:02:47.231000,0 days 01:03:12.983000,215.0,186.0,276.0,312.0,False,MEDIUM,11.0,False,Ferrari,0 days 01:01:41.336000,2024-05-04 16:21:33.412,1,2.0,False,,False,True,91.593,91.593
30,0 days 01:04:44.429000,LEC,16,0 days 00:01:31.500000,12.0,3.0,,,30.729,35.034,25.737,0 days 01:03:43.712000,0 days 01:04:18.746000,0 days 01:04:44.483000,215.0,185.0,276.0,314.0,False,MEDIUM,12.0,False,Ferrari,0 days 01:03:12.929000,2024-05-04 16:23:05.005,1,2.0,False,,False,True,91.5,91.5
31,0 days 01:06:15.600000,LEC,16,0 days 00:01:31.171000,13.0,3.0,,,30.498,34.949,25.724,0 days 01:05:14.981000,0 days 01:05:49.930000,0 days 01:06:15.654000,215.0,185.0,276.0,312.0,False,MEDIUM,13.0,False,Ferrari,0 days 01:04:44.429000,2024-05-04 16:24:36.505,1,2.0,False,,False,True,91.171,91.171
32,0 days 01:07:46.973000,LEC,16,0 days 00:01:31.373000,14.0,3.0,,,30.591,35.089,25.693,0 days 01:06:46.245000,0 days 01:07:21.334000,0 days 01:07:47.027000,212.0,186.0,277.0,314.0,False,MEDIUM,14.0,False,Ferrari,0 days 01:06:15.600000,2024-05-04 16:26:07.676,1,2.0,False,,False,True,91.373,91.373
33,0 days 01:09:18.109000,LEC,16,0 days 00:01:31.136000,15.0,3.0,,,30.462,34.987,25.687,0 days 01:08:17.489000,0 days 01:08:52.476000,0 days 01:09:18.163000,214.0,186.0,278.0,313.0,False,MEDIUM,15.0,False,Ferrari,0 days 01:07:46.973000,2024-05-04 16:27:39.049,1,2.0,False,,False,True,91.136,91.136
34,0 days 01:10:49.414000,LEC,16,0 days 00:01:31.305000,16.0,3.0,,,30.316,35.252,25.737,0 days 01:09:48.479000,0 days 01:10:23.731000,0 days 01:10:49.468000,215.0,186.0,278.0,312.0,False,MEDIUM,16.0,False,Ferrari,0 days 01:09:18.109000,2024-05-04 16:29:10.185,1,2.0,False,,False,True,91.305,91.30499999999999
35,0 days 01:12:20.632000,LEC,16,0 days 00:01:31.218000,17.0,3.0,,,30.45,35.061,25.707,0 days 01:11:19.918000,0 days 01:11:54.979000,0 days 01:12:20.686000,212.0,187.0,277.0,317.0,False,MEDIUM,17.0,False,Ferrari,0 days 01:10:49.414000,2024-05-04 16:30:41.490,1,2.0,False,,False,True,91.218,91.21799999999999
36,0 days 01:13:51.654000,LEC,16,0 days 00:01:31.022000,18.0,3.0,,,30.352,34.983,25.687,0 days 01:12:51.038000,0 days 01:13:26.021000,0 days 01:13:51.708000,214.0,185.0,278.0,316.0,False,MEDIUM,18.0,False,Ferrari,0 days 01:12:20.632000,2024-05-04 16:32:12.708,1,2.0,False,,False,True,91.022,91.02199999999999
37,0 days 01:15:22.948000,LEC,16,0 days 00:01:31.294000,19.0,3.0,,,30.521,35.129,25.644,0 days 01:14:22.229000,0 days 01:14:57.358000,0 days 01:15:23.002000,215.0,186.0,277.0,316.0,False,MEDIUM,19.0,False,Ferrari,0 days 01:13:51.654000,2024-05-04 16:33:43.730,1,2.0,False,,False,True,91.294,91.29400000000001
38,0 days 00:45:54.122000,PER,11,,1.0,1.0,,0 days 00:45:46.437000,,35.253,55.332,,0 days 00:44:59.002000,0 days 00:45:54.171000,215.0,189.0,,158.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:43:47.919000,2024-05-04 16:03:39.995,124,4.0,False,,False,False,,
39,0 days 00:48:25.084000,PER,11,,2.0,2.0,0 days 00:46:07.604000,0 days 00:48:18.629000,56.464,49.804,44.694,0 days 00:46:50.636000,0 days 00:47:40.439000,0 days 00:48:25.195000,147.0,133.0,,170.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:54.122000,2024-05-04 16:05:46.198,4,4.0,False,,False,False,,150.962
40,0 days 00:51:03.294000,PER,11,,3.0,3.0,0 days 00:48:38.354000,,54.689,50.323,53.24,0 days 00:49:19.877000,0 days 00:50:10.229000,0 days 00:51:03.533000,138.0,125.0,280.0,61.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:48:25.084000,2024-05-04 16:08:17.160,41,4.0,False,,False,False,,158.252
41,0 days 00:52:35.041000,PER,11,0 days 00:01:31.747000,4.0,3.0,,,31.105,34.797,25.845,0 days 00:51:34.448000,0 days 00:52:09.245000,0 days 00:52:35.090000,216.0,188.0,278.0,297.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:03.294000,2024-05-04 16:10:55.370,1,4.0,False,,False,True,91.747,91.747
42,0 days 00:54:06.512000,PER,11,0 days 00:01:31.471000,5.0,3.0,,,30.858,34.753,25.86,0 days 00:53:05.948000,0 days 00:53:40.701000,0 days 00:54:06.561000,216.0,187.0,278.0,303.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:35.041000,2024-05-04 16:12:27.117,1,3.0,False,,False,True,91.471,91.471
43,0 days 00:55:38.246000,PER,11,0 days 00:01:31.734000,6.0,3.0,,,31.131,35.012,25.591,0 days 00:54:37.692000,0 days 00:55:12.704000,0 days 00:55:38.295000,212.0,187.0,278.0,314.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:06.512000,2024-05-04 16:13:58.588,1,3.0,False,,False,True,91.734,91.73400000000001
44,0 days 00:57:09.749000,PER,11,0 days 00:01:31.503000,7.0,3.0,,,30.987,34.904,25.612,0 days 00:56:09.282000,0 days 00:56:44.186000,0 days 00:57:09.798000,215.0,187.0,277.0,309.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:38.246000,2024-05-04 16:15:30.322,1,3.0,False,,False,True,91.503,91.503
45,0 days 00:58:41.089000,PER,11,0 days 00:01:31.340000,8.0,3.0,,,30.891,34.8,25.649,0 days 00:57:40.689000,0 days 00:58:15.489000,0 days 00:58:41.138000,216.0,187.0,277.0,315.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:09.749000,2024-05-04 16:17:01.825,1,3.0,False,,False,True,91.34,91.34
46,0 days 01:00:12.458000,PER,11,0 days 00:01:31.369000,9.0,3.0,,,30.749,34.985,25.635,0 days 00:59:11.887000,0 days 00:59:46.872000,0 days 01:00:12.507000,215.0,186.0,277.0,316.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:58:41.089000,2024-05-04 16:18:33.165,1,3.0,False,,False,True,91.369,91.369
47,0 days 01:01:44.065000,PER,11,0 days 00:01:31.607000,10.0,3.0,,,30.928,35.078,25.601,0 days 01:00:43.435000,0 days 01:01:18.513000,0 days 01:01:44.114000,213.0,187.0,278.0,316.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:12.458000,2024-05-04 16:20:04.534,1,3.0,False,,False,True,91.607,91.607
48,0 days 01:03:15.535000,PER,11,0 days 00:01:31.470000,11.0,3.0,,,30.706,35.147,25.617,0 days 01:02:14.820000,0 days 01:02:49.967000,0 days 01:03:15.584000,208.0,186.0,279.0,316.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:01:44.065000,2024-05-04 16:21:36.141,1,3.0,False,,False,True,91.47,91.47
49,0 days 01:04:46.926000,PER,11,0 days 00:01:31.391000,12.0,3.0,,,30.893,34.911,25.587,0 days 01:03:46.477000,0 days 01:04:21.388000,0 days 01:04:46.975000,213.0,186.0,278.0,318.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:03:15.535000,2024-05-04 16:23:07.611,1,3.0,False,,False,True,91.391,91.391
50,0 days 01:06:18.026000,PER,11,0 days 00:01:31.100000,13.0,3.0,,,30.656,34.902,25.542,0 days 01:05:17.631000,0 days 01:05:52.533000,0 days 01:06:18.075000,213.0,187.0,279.0,316.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 01:04:46.926000,2024-05-04 16:24:39.002,1,3.0,False,,False,True,91.1,91.1
51,0 days 01:07:49.093000,PER,11,0 days 00:01:31.067000,14.0,3.0,,,30.606,34.943,25.518,0 days 01:06:48.681000,0 days 01:07:23.624000,0 days 01:07:49.142000,211.0,188.0,280.0,317.0,True,MEDIUM,17.0,False,Red Bull Racing,0 days 01:06:18.026000,2024-05-04 16:26:10.102,1,3.0,False,,False,True,91.067,91.06700000000001
52,0 days 01:09:20.023000,PER,11,0 days 00:01:30.930000,15.0,3.0,,,30.532,34.888,25.51,0 days 01:08:19.674000,0 days 01:08:54.562000,0 days 01:09:20.072000,214.0,186.0,281.0,319.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:07:49.093000,2024-05-04 16:27:41.169,1,3.0,False,,False,True,90.93,90.93
53,0 days 01:10:51.163000,PER,11,0 days 00:01:31.140000,16.0,3.0,,,30.617,34.895,25.628,0 days 01:09:50.689000,0 days 01:10:25.584000,0 days 01:10:51.212000,211.0,186.0,281.0,319.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:09:20.023000,2024-05-04 16:29:12.099,1,3.0,False,,False,True,91.14,91.14
54,0 days 01:12:22.356000,PER,11,0 days 00:01:31.193000,17.0,3.0,,,30.604,34.973,25.616,0 days 01:11:21.816000,0 days 01:11:56.789000,0 days 01:12:22.405000,215.0,186.0,281.0,318.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:10:51.163000,2024-05-04 16:30:43.239,1,3.0,False,,False,True,91.193,91.193
