,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:15:15.861000,VER,1,,1.0,1.0,0 days 00:13:30.429000,,,29.848,39.926,,0 days 00:14:35.975000,0 days 00:15:16.037000,259.0,252.0,289.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:13:30.429000,2023-08-26 13:01:36.917,1,,False,,False,False,,
1,0 days 00:17:04.386000,VER,1,0 days 00:01:48.525000,2.0,1.0,,,40.874,38.386,29.265,0 days 00:15:56.735000,0 days 00:16:35.121000,0 days 00:17:04.386000,256.0,253.0,270.0,271.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:15:15.861000,2023-08-26 13:03:22.349,1,,True,TRACK LIMITS AT TURN 1 LAP 3 ,False,True,108.525,108.525
2,0 days 00:18:37.178000,VER,1,0 days 00:01:32.792000,3.0,1.0,,,32.117,29.443,31.232,0 days 00:17:36.503000,0 days 00:18:05.946000,0 days 00:18:37.178000,275.0,259.0,294.0,191.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:17:04.386000,2023-08-26 13:05:10.874,1,,False,,False,True,92.792,92.792
3,0 days 00:19:59.964000,VER,1,0 days 00:01:22.786000,4.0,1.0,,,29.131,28.094,25.561,0 days 00:19:06.309000,0 days 00:19:34.403000,0 days 00:19:59.964000,280.0,266.0,294.0,261.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:18:37.178000,2023-08-26 13:06:43.666,1,,False,,False,True,82.786,82.786
4,0 days 00:21:22.571000,VER,1,0 days 00:01:22.607000,5.0,1.0,,,28.753,28.069,25.785,0 days 00:20:28.717000,0 days 00:20:56.786000,0 days 00:21:22.571000,280.0,264.0,297.0,278.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:19:59.964000,2023-08-26 13:08:06.452,1,,False,,False,True,82.607,82.607
5,0 days 00:23:00.613000,VER,1,0 days 00:01:38.042000,6.0,1.0,,,30.801,37.388,29.853,0 days 00:21:53.372000,0 days 00:22:30.760000,0 days 00:23:00.613000,244.0,215.0,297.0,246.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:21:22.571000,2023-08-26 13:09:29.059,1,,False,,False,True,98.042,98.042
6,0 days 00:24:21.843000,VER,1,0 days 00:01:21.230000,7.0,1.0,,,28.02,27.804,25.406,0 days 00:23:28.633000,0 days 00:23:56.437000,0 days 00:24:21.843000,285.0,265.0,295.0,289.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:23:00.613000,2023-08-26 13:11:07.101,1,,False,,False,True,81.23,81.22999999999999
7,0 days 00:25:53.656000,VER,1,0 days 00:01:31.813000,8.0,1.0,,,31.324,30.901,29.588,0 days 00:24:53.167000,0 days 00:25:24.068000,0 days 00:25:53.656000,254.0,228.0,295.0,281.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 00:24:21.843000,2023-08-26 13:12:28.331,1,,False,,False,True,91.813,91.813
8,0 days 00:27:14.621000,VER,1,0 days 00:01:20.965000,9.0,1.0,,,28.088,27.654,25.223,0 days 00:26:21.744000,0 days 00:26:49.398000,0 days 00:27:14.621000,284.0,268.0,300.0,279.0,True,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 00:25:53.656000,2023-08-26 13:14:00.144,1,,False,,False,True,80.965,80.965
9,0 days 00:28:48.018000,VER,1,0 days 00:01:33.397000,10.0,1.0,,,31.238,35.467,26.692,0 days 00:27:45.859000,0 days 00:28:21.326000,0 days 00:28:48.018000,230.0,246.0,296.0,279.0,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 00:27:14.621000,2023-08-26 13:15:21.109,1,,False,,False,True,93.397,93.39699999999999
10,0 days 00:30:08.993000,VER,1,0 days 00:01:20.975000,11.0,1.0,,,28.075,27.645,25.255,0 days 00:29:16.093000,0 days 00:29:43.738000,0 days 00:30:08.993000,283.0,268.0,296.0,287.0,False,INTERMEDIATE,11.0,True,Red Bull Racing,0 days 00:28:48.018000,2023-08-26 13:16:54.506,1,,False,,False,True,80.975,80.975
11,0 days 00:31:54.622000,VER,1,0 days 00:01:45.629000,12.0,1.0,,0 days 00:31:52.994000,32.565,35.862,37.202,0 days 00:30:41.558000,0 days 00:31:17.420000,0 days 00:31:54.622000,216.0,207.0,,225.0,False,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 00:30:08.993000,2023-08-26 13:18:15.481,1,,False,,False,False,105.629,105.62899999999999
12,0 days 00:38:50.915000,VER,1,,13.0,2.0,0 days 00:37:05.538000,,,29.649,34.939,,0 days 00:38:16.021000,0 days 00:38:51.068000,265.0,252.0,291.0,225.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:31:54.622000,2023-08-26 13:20:01.110,1,,False,,False,False,,
13,0 days 00:40:12.836000,VER,1,0 days 00:01:21.921000,14.0,2.0,,,29.071,27.515,25.335,0 days 00:39:19.986000,0 days 00:39:47.501000,0 days 00:40:12.836000,280.0,265.0,292.0,262.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:38:50.915000,2023-08-26 13:26:57.403,1,,False,,False,True,81.921,81.92099999999999
14,0 days 00:41:33.526000,VER,1,0 days 00:01:20.690000,15.0,2.0,,,28.141,27.333,25.216,0 days 00:40:40.977000,0 days 00:41:08.310000,0 days 00:41:33.526000,284.0,267.0,294.0,283.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:40:12.836000,2023-08-26 13:28:19.324,1,,False,,False,True,80.69,80.69
15,0 days 00:43:07.008000,VER,1,0 days 00:01:33.482000,16.0,2.0,,,31.03,34.95,27.502,0 days 00:42:04.556000,0 days 00:42:39.506000,0 days 00:43:07.008000,237.0,249.0,294.0,255.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:41:33.526000,2023-08-26 13:29:40.014,1,,False,,False,True,93.482,93.482
16,0 days 00:44:27.290000,VER,1,0 days 00:01:20.282000,17.0,2.0,,,27.975,27.199,25.108,0 days 00:43:34.983000,0 days 00:44:02.182000,0 days 00:44:27.290000,285.0,267.0,294.0,283.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:43:07.008000,2023-08-26 13:31:13.496,1,,False,,False,True,80.282,80.28200000000001
17,0 days 00:46:21.727000,VER,1,0 days 00:01:54.437000,18.0,2.0,,,36.301,47.099,31.037,0 days 00:45:03.591000,0 days 00:45:50.690000,0 days 00:46:21.727000,167.0,215.0,293.0,227.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:44:27.290000,2023-08-26 13:32:33.778,1,,False,,False,True,114.437,114.43700000000001
18,0 days 00:47:41.379000,VER,1,0 days 00:01:19.652000,19.0,2.0,,,27.58,27.193,24.879,0 days 00:46:49.307000,0 days 00:47:16.500000,0 days 00:47:41.379000,283.0,266.0,292.0,296.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:46:21.727000,2023-08-26 13:34:28.215,1,,False,,False,True,79.652,79.652
19,0 days 00:49:25.639000,VER,1,0 days 00:01:44.260000,20.0,2.0,,0 days 00:49:24.029000,36.485,36.933,30.842,0 days 00:48:17.864000,0 days 00:48:54.797000,0 days 00:49:25.639000,174.0,226.0,,217.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 00:47:41.379000,2023-08-26 13:35:47.867,1,,False,,False,False,104.26,104.26
20,0 days 00:51:20.698000,VER,1,0 days 00:01:55.059000,21.0,3.0,0 days 00:49:43.701000,,49.296,28.45,37.313,0 days 00:50:14.935000,0 days 00:50:43.385000,0 days 00:51:20.698000,273.0,253.0,295.0,217.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:49:25.639000,2023-08-26 13:37:32.127,1,,True,TRACK LIMITS AT TURN 3 LAP 22 ,False,False,115.059,115.059
21,0 days 00:52:39.554000,VER,1,0 days 00:01:18.856000,22.0,3.0,,,27.112,27.092,24.652,0 days 00:51:47.810000,0 days 00:52:14.902000,0 days 00:52:39.554000,287.0,269.0,296.0,296.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:51:20.698000,2023-08-26 13:39:27.186,1,,False,,False,True,78.856,78.856
22,0 days 00:54:18.175000,VER,1,0 days 00:01:38.621000,23.0,3.0,,0 days 00:54:16.557000,33.707,32.461,32.453,0 days 00:53:13.261000,0 days 00:53:45.722000,0 days 00:54:18.175000,216.0,201.0,,225.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:52:39.554000,2023-08-26 13:40:46.042,1,,False,,False,False,98.621,98.62100000000001
23,0 days 01:02:53.351000,VER,1,,24.0,4.0,0 days 01:01:25.912000,0 days 01:02:51.692000,,28.668,28.752,,0 days 01:02:24.599000,0 days 01:02:53.567000,258.0,256.0,,225.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 00:54:18.175000,2023-08-26 13:42:24.663,1,,False,,False,False,,
24,0 days 01:23:46.334000,VER,1,,25.0,5.0,0 days 01:03:11.083000,0 days 01:05:01.894000,,,,,,,,,,,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:53.351000,2023-08-26 13:50:59.839,125,,False,,False,False,,
25,0 days 01:25:13.693000,VER,1,,26.0,6.0,0 days 01:23:46.334000,,,26.394,28.366,,0 days 01:24:45.364000,0 days 01:25:13.864000,280.0,242.0,317.0,225.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:23:46.334000,2023-08-26 14:11:52.822,1,,False,,False,False,,
26,0 days 01:26:26.082000,VER,1,0 days 00:01:12.389000,27.0,6.0,,,25.085,24.846,22.458,0 days 01:25:38.778000,0 days 01:26:03.624000,0 days 01:26:26.082000,287.0,280.0,317.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:25:13.693000,2023-08-26 14:13:20.181,1,,False,,False,True,72.389,72.389
27,0 days 01:34:29.139000,VER,1,,28.0,6.0,,0 days 01:28:08.643000,24.829,,,0 days 01:26:50.941000,,,288.0,,,327.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:26:26.082000,2023-08-26 14:14:32.570,125,,False,,False,False,,
28,0 days 01:35:50.746000,VER,1,,29.0,7.0,0 days 01:34:29.139000,,,26.961,23.277,,0 days 01:35:27.482000,0 days 01:35:50.888000,281.0,243.0,317.0,327.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:34:29.139000,2023-08-26 14:22:35.627,1,,False,,False,False,,
29,0 days 01:37:01.313000,VER,1,0 days 00:01:10.567000,30.0,7.0,,,24.324,24.504,21.739,0 days 01:36:15.070000,0 days 01:36:39.574000,0 days 01:37:01.313000,287.0,280.0,315.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:35:50.746000,2023-08-26 14:23:57.234,1,,False,,False,True,70.567,70.56700000000001
30,0 days 01:38:40.020000,VER,1,0 days 00:01:38.707000,31.0,7.0,,0 days 01:38:36.996000,32.246,29.331,37.13,0 days 01:37:33.559000,0 days 01:38:02.890000,0 days 01:38:40.020000,253.0,232.0,,265.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:37:01.313000,2023-08-26 14:25:07.801,1,,False,,False,False,98.707,98.707
31,0 days 00:14:26.694000,NOR,4,,1.0,1.0,0 days 00:12:31.117000,,,34.437,31.568,,0 days 00:13:55.179000,0 days 00:14:26.694000,204.0,241.0,284.0,,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:12:31.117000,2023-08-26 13:00:37.605,1,,False,,False,False,,
32,0 days 00:15:55.600000,NOR,4,0 days 00:01:28.906000,2.0,1.0,,,30.92,29.205,28.781,0 days 00:14:57.614000,0 days 00:15:26.819000,0 days 00:15:55.600000,274.0,259.0,288.0,239.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:14:26.694000,2023-08-26 13:02:33.182,1,,False,,False,True,88.906,88.906
33,0 days 00:17:18.860000,NOR,4,0 days 00:01:23.260000,3.0,1.0,,,29.453,27.851,25.956,0 days 00:16:25.053000,0 days 00:16:52.904000,0 days 00:17:18.860000,276.0,265.0,292.0,259.0,True,INTERMEDIATE,3.0,True,McLaren,0 days 00:15:55.600000,2023-08-26 13:04:02.088,1,,False,,False,True,83.26,83.26
34,0 days 00:18:49.698000,NOR,4,0 days 00:01:30.838000,4.0,1.0,,,30.855,31.663,28.32,0 days 00:17:49.715000,0 days 00:18:21.378000,0 days 00:18:49.698000,265.0,262.0,293.0,262.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:17:18.860000,2023-08-26 13:05:25.348,1,,False,,False,True,90.838,90.838
35,0 days 00:20:12.090000,NOR,4,0 days 00:01:22.392000,5.0,1.0,,,28.808,27.849,25.735,0 days 00:19:18.506000,0 days 00:19:46.355000,0 days 00:20:12.090000,280.0,266.0,297.0,276.0,True,INTERMEDIATE,5.0,True,McLaren,0 days 00:18:49.698000,2023-08-26 13:06:56.186,1,,False,,False,True,82.392,82.392
36,0 days 00:21:40.543000,NOR,4,0 days 00:01:28.453000,6.0,1.0,,,30.576,31.335,26.542,0 days 00:20:42.666000,0 days 00:21:14.001000,0 days 00:21:40.543000,262.0,245.0,292.0,247.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 00:20:12.090000,2023-08-26 13:08:18.578,1,,False,,False,True,88.453,88.453
37,0 days 00:23:01.977000,NOR,4,0 days 00:01:21.434000,7.0,1.0,,,28.327,27.685,25.422,0 days 00:22:08.870000,0 days 00:22:36.555000,0 days 00:23:01.977000,282.0,265.0,295.0,282.0,True,INTERMEDIATE,7.0,True,McLaren,0 days 00:21:40.543000,2023-08-26 13:09:47.031,1,,False,,False,True,81.434,81.434
38,0 days 00:24:38.559000,NOR,4,0 days 00:01:36.582000,8.0,1.0,,0 days 00:24:36.984000,31.258,32.641,32.683,0 days 00:23:33.235000,0 days 00:24:05.876000,0 days 00:24:38.559000,258.0,238.0,,252.0,False,INTERMEDIATE,8.0,True,McLaren,0 days 00:23:01.977000,2023-08-26 13:11:08.465,1,,False,,False,False,96.582,96.582
39,0 days 00:26:30.132000,NOR,4,0 days 00:01:51.573000,9.0,2.0,0 days 00:24:59.577000,,53.723,30.371,27.479,0 days 00:25:32.282000,0 days 00:26:02.653000,0 days 00:26:30.132000,263.0,247.0,292.0,252.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:24:38.559000,2023-08-26 13:12:45.047,1,,False,,False,False,111.573,111.573
40,0 days 00:27:51.408000,NOR,4,0 days 00:01:21.276000,10.0,2.0,,,28.183,27.431,25.662,0 days 00:26:58.315000,0 days 00:27:25.746000,0 days 00:27:51.408000,281.0,267.0,291.0,281.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:26:30.132000,2023-08-26 13:14:36.620,1,,False,,False,True,81.276,81.27600000000001
41,0 days 00:29:20.357000,NOR,4,0 days 00:01:28.949000,11.0,2.0,,,28.153,32.618,28.178,0 days 00:28:19.561000,0 days 00:28:52.179000,0 days 00:29:20.357000,281.0,239.0,293.0,288.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 00:27:51.408000,2023-08-26 13:15:57.896,1,,False,,False,True,88.949,88.949
42,0 days 00:30:50.241000,NOR,4,0 days 00:01:29.884000,12.0,2.0,,0 days 00:30:48.620000,28.367,29.06,32.457,0 days 00:29:48.724000,0 days 00:30:17.784000,0 days 00:30:50.241000,281.0,241.0,,284.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:29:20.357000,2023-08-26 13:17:26.845,1,,False,,False,False,89.884,89.884
43,0 days 00:39:40.255000,NOR,4,,13.0,3.0,0 days 00:37:47.115000,,,31.903,35.448,,0 days 00:39:04.849000,0 days 00:39:40.255000,260.0,243.0,285.0,284.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:30:50.241000,2023-08-26 13:18:56.729,1,,False,,False,False,,
44,0 days 00:41:04.650000,NOR,4,0 days 00:01:24.395000,14.0,3.0,,,30.169,28.51,25.716,0 days 00:40:10.424000,0 days 00:40:38.934000,0 days 00:41:04.650000,277.0,266.0,290.0,262.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:39:40.255000,2023-08-26 13:27:46.743,1,,False,,False,True,84.395,84.39500000000001
45,0 days 00:42:28.707000,NOR,4,0 days 00:01:24.057000,15.0,3.0,,,28.541,29.325,26.191,0 days 00:41:33.191000,0 days 00:42:02.516000,0 days 00:42:28.707000,281.0,261.0,291.0,282.0,True,INTERMEDIATE,3.0,True,McLaren,0 days 00:41:04.650000,2023-08-26 13:29:11.138,1,,False,,False,True,84.057,84.057
46,0 days 00:43:49.336000,NOR,4,0 days 00:01:20.629000,16.0,3.0,,,28.218,27.3,25.111,0 days 00:42:56.925000,0 days 00:43:24.225000,0 days 00:43:49.336000,282.0,263.0,289.0,289.0,True,INTERMEDIATE,4.0,True,McLaren,0 days 00:42:28.707000,2023-08-26 13:30:35.195,1,,False,,False,True,80.629,80.629
47,0 days 00:45:19.897000,NOR,4,0 days 00:01:30.561000,17.0,3.0,,,31.737,32.474,26.35,0 days 00:44:21.073000,0 days 00:44:53.547000,0 days 00:45:19.897000,250.0,235.0,290.0,243.0,False,INTERMEDIATE,5.0,True,McLaren,0 days 00:43:49.336000,2023-08-26 13:31:55.824,1,,False,,False,True,90.561,90.561
48,0 days 00:46:49.700000,NOR,4,0 days 00:01:29.803000,18.0,3.0,,,30.076,31.645,28.082,0 days 00:45:49.973000,0 days 00:46:21.618000,0 days 00:46:49.700000,258.0,247.0,268.0,283.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 00:45:19.897000,2023-08-26 13:33:26.385,1,,False,,False,True,89.803,89.803
49,0 days 00:48:28.523000,NOR,4,0 days 00:01:38.823000,19.0,3.0,,,31.6,31.441,35.782,0 days 00:47:21.300000,0 days 00:47:52.741000,0 days 00:48:28.523000,236.0,250.0,290.0,249.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 00:46:49.700000,2023-08-26 13:34:56.188,1,,False,,False,True,98.823,98.823
50,0 days 00:49:49.721000,NOR,4,0 days 00:01:21.198000,20.0,3.0,,,28.007,27.64,25.551,0 days 00:48:56.530000,0 days 00:49:24.170000,0 days 00:49:49.721000,284.0,268.0,286.0,292.0,False,INTERMEDIATE,8.0,True,McLaren,0 days 00:48:28.523000,2023-08-26 13:36:35.011,1,,False,,False,True,81.198,81.19800000000001
51,0 days 00:51:39.473000,NOR,4,0 days 00:01:49.752000,21.0,3.0,,,33.918,37.652,38.182,0 days 00:50:23.639000,0 days 00:51:01.291000,0 days 00:51:39.473000,239.0,238.0,289.0,247.0,False,INTERMEDIATE,9.0,True,McLaren,0 days 00:49:49.721000,2023-08-26 13:37:56.209,1,,False,,False,True,109.752,109.752
52,0 days 00:52:59.242000,NOR,4,0 days 00:01:19.769000,22.0,3.0,,,27.502,27.542,24.725,0 days 00:52:06.975000,0 days 00:52:34.517000,0 days 00:52:59.242000,282.0,269.0,291.0,294.0,True,INTERMEDIATE,10.0,True,McLaren,0 days 00:51:39.473000,2023-08-26 13:39:45.961,1,,False,,False,True,79.769,79.769
53,0 days 00:54:42.986000,NOR,4,0 days 00:01:43.744000,23.0,3.0,,0 days 00:54:40.151000,32.975,33.363,37.406,0 days 00:53:32.217000,0 days 00:54:05.580000,0 days 00:54:42.986000,209.0,232.0,,244.0,False,INTERMEDIATE,11.0,True,McLaren,0 days 00:52:59.242000,2023-08-26 13:41:05.730,1,,False,,False,False,103.744,103.744
54,0 days 01:23:19.225000,NOR,4,,24.0,4.0,0 days 01:02:30.286000,0 days 01:04:16.660000,,30.829,,,0 days 01:03:38.145000,,120.0,255.0,,,False,SOFT,1.0,True,McLaren,0 days 00:54:42.986000,2023-08-26 13:42:49.474,125,,False,,False,False,,
55,0 days 01:24:56.307000,NOR,4,,25.0,5.0,0 days 01:23:19.225000,,,27.651,27.103,,0 days 01:24:29.224000,0 days 01:24:56.317000,264.0,250.0,311.0,244.0,False,SOFT,1.0,True,McLaren,0 days 01:23:19.225000,2023-08-26 14:11:25.713,1,,False,,False,False,,
56,0 days 01:26:08.356000,NOR,4,0 days 00:01:12.049000,26.0,5.0,,,25.088,24.818,22.143,0 days 01:25:21.395000,0 days 01:25:46.213000,0 days 01:26:08.356000,286.0,277.0,309.0,318.0,True,SOFT,2.0,True,McLaren,0 days 01:24:56.307000,2023-08-26 14:13:02.795,1,,False,,False,True,72.049,72.049
57,0 days 01:34:37.451000,NOR,4,,27.0,5.0,,0 days 01:27:50.987000,29.879,,,0 days 01:26:38.254000,,,221.0,,,261.0,False,SOFT,3.0,True,McLaren,0 days 01:26:08.356000,2023-08-26 14:14:14.844,125,,False,,False,False,,
58,0 days 01:36:02.883000,NOR,4,,28.0,6.0,0 days 01:34:37.451000,,,27.9,25.005,,0 days 01:35:37.888000,0 days 01:36:03.044000,268.0,249.0,312.0,261.0,False,SOFT,1.0,True,McLaren,0 days 01:34:37.451000,2023-08-26 14:22:43.939,1,,False,,False,False,,
59,0 days 01:37:13.987000,NOR,4,0 days 00:01:11.104000,29.0,6.0,,,24.287,24.874,21.943,0 days 01:36:27.170000,0 days 01:36:52.044000,0 days 01:37:13.987000,286.0,279.0,313.0,319.0,True,SOFT,2.0,True,McLaren,0 days 01:36:02.883000,2023-08-26 14:24:09.371,1,,False,,False,True,71.104,71.104
60,0 days 01:38:52.773000,NOR,4,0 days 00:01:38.786000,30.0,6.0,,0 days 01:38:49.167000,31.77,30.706,36.31,0 days 01:37:45.757000,0 days 01:38:16.463000,0 days 01:38:52.773000,254.0,227.0,,277.0,False,SOFT,3.0,True,McLaren,0 days 01:37:13.987000,2023-08-26 14:25:20.475,1,,False,,False,False,98.786,98.786
61,0 days 00:13:56.773000,RUS,63,,1.0,1.0,0 days 00:12:05.180000,,,31.984,32.531,,0 days 00:13:24.288000,0 days 00:13:56.804000,255.0,237.0,284.0,,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:12:05.180000,2023-08-26 13:00:11.668,1,,False,,False,False,,
62,0 days 00:15:27.099000,RUS,63,0 days 00:01:30.326000,2.0,1.0,,,30.545,29.478,30.303,0 days 00:14:27.318000,0 days 00:14:56.796000,0 days 00:15:27.099000,273.0,260.0,285.0,235.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:13:56.773000,2023-08-26 13:02:03.261,1,,False,,False,True,90.326,90.32600000000001
63,0 days 00:16:58.591000,RUS,63,0 days 00:01:31.492000,3.0,1.0,,,30.181,29.494,31.817,0 days 00:15:57.280000,0 days 00:16:26.774000,0 days 00:16:58.591000,270.0,263.0,286.0,253.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 00:15:27.099000,2023-08-26 13:03:33.587,1,,False,,False,True,91.492,91.49199999999999
64,0 days 00:18:22.408000,RUS,63,0 days 00:01:23.817000,4.0,1.0,,,29.461,28.414,25.942,0 days 00:17:28.052000,0 days 00:17:56.466000,0 days 00:18:22.408000,276.0,262.0,289.0,253.0,True,INTERMEDIATE,4.0,True,Mercedes,0 days 00:16:58.591000,2023-08-26 13:05:05.079,1,,False,,False,True,83.817,83.81700000000001
65,0 days 00:19:45.377000,RUS,63,0 days 00:01:22.969000,5.0,1.0,,,28.843,28.129,25.997,0 days 00:18:51.251000,0 days 00:19:19.380000,0 days 00:19:45.377000,275.0,262.0,292.0,281.0,True,INTERMEDIATE,5.0,True,Mercedes,0 days 00:18:22.408000,2023-08-26 13:06:28.896,1,,False,,False,True,82.969,82.969
66,0 days 00:21:21.147000,RUS,63,0 days 00:01:35.770000,6.0,1.0,,,31.07,33.809,30.891,0 days 00:20:16.447000,0 days 00:20:50.256000,0 days 00:21:21.147000,253.0,244.0,290.0,267.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 00:19:45.377000,2023-08-26 13:07:51.865,1,,False,,False,True,95.77,95.76999999999998
67,0 days 00:22:43.199000,RUS,63,0 days 00:01:22.052000,7.0,1.0,,,28.386,28.095,25.571,0 days 00:21:49.533000,0 days 00:22:17.628000,0 days 00:22:43.199000,278.0,262.0,290.0,276.0,True,INTERMEDIATE,7.0,True,Mercedes,0 days 00:21:21.147000,2023-08-26 13:09:27.635,1,,False,,False,True,82.052,82.05199999999999
68,0 days 00:24:04.769000,RUS,63,0 days 00:01:21.570000,8.0,1.0,,,28.281,27.857,25.432,0 days 00:23:11.480000,0 days 00:23:39.337000,0 days 00:24:04.769000,277.0,261.0,290.0,288.0,True,INTERMEDIATE,8.0,True,Mercedes,0 days 00:22:43.199000,2023-08-26 13:10:49.687,1,,False,,False,True,81.57,81.57
69,0 days 00:25:45.167000,RUS,63,0 days 00:01:40.398000,9.0,1.0,,,35.788,34.898,29.712,0 days 00:24:40.557000,0 days 00:25:15.455000,0 days 00:25:45.167000,172.0,245.0,290.0,244.0,False,INTERMEDIATE,9.0,True,Mercedes,0 days 00:24:04.769000,2023-08-26 13:12:11.257,1,,False,,False,True,100.398,100.39800000000001
70,0 days 00:27:06.512000,RUS,63,0 days 00:01:21.345000,10.0,1.0,,,27.941,27.739,25.665,0 days 00:26:13.108000,0 days 00:26:40.847000,0 days 00:27:06.512000,276.0,263.0,290.0,294.0,True,INTERMEDIATE,10.0,True,Mercedes,0 days 00:25:45.167000,2023-08-26 13:13:51.655,1,,False,,False,True,81.345,81.345
71,0 days 00:28:40.413000,RUS,63,0 days 00:01:33.901000,11.0,1.0,,,28.212,34.977,30.712,0 days 00:27:34.724000,0 days 00:28:09.701000,0 days 00:28:40.413000,239.0,93.0,291.0,294.0,False,INTERMEDIATE,11.0,True,Mercedes,0 days 00:27:06.512000,2023-08-26 13:15:13.000,1,,False,,False,True,93.901,93.901
72,0 days 00:30:18.736000,RUS,63,0 days 00:01:38.323000,12.0,1.0,,0 days 00:30:17.183000,28.37,35.32,34.633,0 days 00:29:08.783000,0 days 00:29:44.103000,0 days 00:30:18.736000,267.0,120.0,,291.0,False,INTERMEDIATE,12.0,True,Mercedes,0 days 00:28:40.413000,2023-08-26 13:16:46.901,1,,False,,False,False,98.323,98.32300000000001
73,0 days 00:39:03.927000,RUS,63,,13.0,2.0,0 days 00:37:17.975000,,,30.989,29.65,,0 days 00:38:34.302000,0 days 00:39:03.927000,260.0,245.0,288.0,291.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:30:18.736000,2023-08-26 13:18:25.224,1,,False,,False,False,,
74,0 days 00:40:26.581000,RUS,63,0 days 00:01:22.654000,14.0,2.0,,,29.275,27.722,25.657,0 days 00:39:33.202000,0 days 00:40:00.924000,0 days 00:40:26.581000,276.0,263.0,288.0,277.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:39:03.927000,2023-08-26 13:27:10.415,1,,False,,False,True,82.654,82.654
75,0 days 00:41:48.657000,RUS,63,0 days 00:01:22.076000,15.0,2.0,,,28.68,27.756,25.64,0 days 00:40:55.261000,0 days 00:41:23.017000,0 days 00:41:48.657000,278.0,264.0,290.0,285.0,True,INTERMEDIATE,3.0,True,Mercedes,0 days 00:40:26.581000,2023-08-26 13:28:33.069,1,,False,,False,True,82.076,82.076
76,0 days 00:43:21.704000,RUS,63,0 days 00:01:33.047000,16.0,2.0,,,31.237,31.699,30.111,0 days 00:42:19.894000,0 days 00:42:51.593000,0 days 00:43:21.704000,265.0,241.0,288.0,245.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 00:41:48.657000,2023-08-26 13:29:55.145,1,,False,,False,True,93.047,93.047
