,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:01.116000,LEC,16,,1.0,1.0,0 days 00:17:24.583000,,,59.874,56.621,,0 days 00:19:04.537000,0 days 00:20:01.116000,239.0,215.0,235.0,,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:17:24.583000,2022-10-01 13:02:24.591,1,,False,,False,False,,
1,0 days 00:21:56.170000,LEC,16,0 days 00:01:55.054000,2.0,1.0,,,30.697,44.878,39.479,0 days 00:20:31.813000,0 days 00:21:16.691000,0 days 00:21:56.170000,288.0,263.0,246.0,277.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:20:01.116000,2022-10-01 13:05:01.124,12,,False,,False,True,115.054,115.054
2,0 days 00:24:29.065000,LEC,16,,3.0,1.0,,,30.423,61.698,60.766,0 days 00:22:26.639000,0 days 00:23:28.366000,0 days 00:24:29.215000,285.0,228.0,238.0,281.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:21:56.170000,2022-10-01 13:06:56.178,21,,False,,False,False,,152.887
3,0 days 00:26:23.287000,LEC,16,0 days 00:01:54.222000,4.0,1.0,,,30.461,44.358,39.403,0 days 00:24:59.526000,0 days 00:25:43.884000,0 days 00:26:23.287000,290.0,262.0,244.0,279.0,True,INTERMEDIATE,4.0,True,Ferrari,0 days 00:24:29.065000,2022-10-01 13:09:29.073,12,,False,,False,True,114.222,114.22199999999998
4,0 days 00:29:02.261000,LEC,16,,5.0,1.0,,,45.937,67.346,45.679,0 days 00:27:09.236000,0 days 00:28:16.585000,0 days 00:29:02.406000,106.0,233.0,242.0,281.0,False,INTERMEDIATE,5.0,True,Ferrari,0 days 00:26:23.287000,2022-10-01 13:11:23.295,1,,False,,False,False,,158.962
5,0 days 00:30:56.390000,LEC,16,0 days 00:01:54.129000,6.0,1.0,,,30.387,44.322,39.42,0 days 00:29:32.648000,0 days 00:30:16.970000,0 days 00:30:56.390000,288.0,264.0,246.0,279.0,True,INTERMEDIATE,6.0,True,Ferrari,0 days 00:29:02.261000,2022-10-01 13:14:02.269,1,,False,,False,True,114.129,114.129
6,0 days 00:33:28.380000,LEC,16,0 days 00:02:31.990000,7.0,1.0,,0 days 00:33:20.481000,31.447,57.482,63.061,0 days 00:31:27.837000,0 days 00:32:25.319000,0 days 00:33:28.380000,251.0,129.0,,282.0,False,INTERMEDIATE,7.0,True,Ferrari,0 days 00:30:56.390000,2022-10-01 13:15:56.398,12,,False,,False,False,151.99,151.99
7,0 days 00:42:58.697000,LEC,16,,8.0,2.0,0 days 00:40:31.736000,,,51.94,44.342,,0 days 00:42:14.365000,0 days 00:42:58.703000,263.0,247.0,242.0,282.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:33:28.380000,2022-10-01 13:18:28.388,21,,False,,False,False,,
8,0 days 00:44:51.040000,LEC,16,0 days 00:01:52.343000,9.0,2.0,,,29.895,43.573,38.875,0 days 00:43:28.592000,0 days 00:44:12.165000,0 days 00:44:51.040000,289.0,264.0,246.0,278.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:42:58.697000,2022-10-01 13:27:58.705,1,,False,,False,True,112.343,112.343
9,0 days 00:47:18.770000,LEC,16,0 days 00:02:27.730000,10.0,2.0,,,33.354,63.793,50.583,0 days 00:45:24.394000,0 days 00:46:28.187000,0 days 00:47:18.770000,165.0,204.0,243.0,282.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:44:51.040000,2022-10-01 13:29:51.048,1,,False,,False,True,147.73,147.73
10,0 days 00:49:29.902000,LEC,16,0 days 00:02:11.132000,11.0,2.0,,0 days 00:49:22.041000,30.131,47.025,53.976,0 days 00:47:48.901000,0 days 00:48:35.926000,0 days 00:49:29.902000,290.0,241.0,,280.0,False,INTERMEDIATE,4.0,True,Ferrari,0 days 00:47:18.770000,2022-10-01 13:32:18.778,1,,False,,False,False,131.132,131.132
11,0 days 00:52:05.727000,LEC,16,,12.0,3.0,0 days 00:49:55.369000,,60.249,51.08,44.467,0 days 00:50:30.180000,0 days 00:51:21.264000,0 days 00:52:05.858000,257.0,240.0,244.0,280.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:49:29.902000,2022-10-01 13:34:29.910,1,,False,,False,False,,155.796
12,0 days 00:54:03.579000,LEC,16,0 days 00:01:57.852000,13.0,3.0,,,29.785,43.738,44.329,0 days 00:52:35.512000,0 days 00:53:19.250000,0 days 00:54:03.579000,291.0,264.0,242.0,278.0,False,INTERMEDIATE,2.0,True,Ferrari,0 days 00:52:05.727000,2022-10-01 13:37:05.735,1,,False,,False,True,117.852,117.852
13,0 days 00:56:12.328000,LEC,16,0 days 00:02:08.749000,14.0,3.0,,0 days 00:56:04.421000,29.971,44.013,54.765,0 days 00:54:33.550000,0 days 00:55:17.563000,0 days 00:56:12.328000,290.0,228.0,,280.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:54:03.579000,2022-10-01 13:39:03.587,1,,False,,False,False,128.749,128.749
14,0 days 01:06:01.787000,LEC,16,,15.0,4.0,0 days 01:03:50.094000,,,50.088,44.596,,0 days 01:05:17.266000,0 days 01:06:01.787000,253.0,242.0,234.0,280.0,False,SOFT,1.0,True,Ferrari,0 days 00:56:12.328000,2022-10-01 13:41:12.336,1,,False,,False,False,,
15,0 days 01:07:57.415000,LEC,16,0 days 00:01:55.628000,16.0,4.0,,,30.819,44.024,40.785,0 days 01:06:32.606000,0 days 01:07:16.630000,0 days 01:07:57.415000,288.0,264.0,247.0,277.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:01.787000,2022-10-01 13:51:01.795,1,,False,,False,True,115.628,115.628
16,0 days 01:09:49.296000,LEC,16,0 days 00:01:51.881000,17.0,4.0,,,29.628,42.742,39.511,0 days 01:08:27.043000,0 days 01:09:09.785000,0 days 01:09:49.296000,290.0,265.0,248.0,283.0,True,SOFT,3.0,True,Ferrari,0 days 01:07:57.415000,2022-10-01 13:52:57.423,1,,False,,False,True,111.881,111.881
17,0 days 01:12:03.961000,LEC,16,0 days 00:02:14.665000,18.0,4.0,,,29.534,52.927,52.204,0 days 01:10:18.830000,0 days 01:11:11.757000,0 days 01:12:03.961000,279.0,148.0,247.0,275.0,False,SOFT,4.0,True,Ferrari,0 days 01:09:49.296000,2022-10-01 13:54:49.304,12,,False,,False,True,134.665,134.665
18,0 days 01:13:53.373000,LEC,16,0 days 00:01:49.412000,19.0,4.0,,,29.391,41.602,38.419,0 days 01:12:33.352000,0 days 01:13:14.954000,0 days 01:13:53.373000,291.0,266.0,252.0,283.0,True,SOFT,5.0,True,Ferrari,0 days 01:12:03.961000,2022-10-01 13:57:03.969,1,,False,,False,True,109.412,109.41199999999999
19,0 days 01:15:59.190000,LEC,16,0 days 00:02:05.817000,20.0,4.0,,0 days 01:15:51.320000,29.095,41.554,55.168,0 days 01:14:22.468000,0 days 01:15:04.022000,0 days 01:15:59.190000,281.0,261.0,,285.0,False,SOFT,6.0,True,Ferrari,0 days 01:13:53.373000,2022-10-01 13:58:53.381,1,,False,,False,False,125.817,125.81700000000001
20,0 days 00:20:40.573000,PER,11,,1.0,1.0,0 days 00:18:34.326000,,,46.942,47.526,,0 days 00:19:53.074000,0 days 00:20:40.573000,284.0,262.0,245.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:18:34.326000,2022-10-01 13:03:34.334,1,,False,,False,False,,
21,0 days 00:22:36.634000,PER,11,0 days 00:01:56.061000,2.0,1.0,,,30.231,45.107,40.723,0 days 00:21:10.804000,0 days 00:21:55.911000,0 days 00:22:36.634000,292.0,264.0,244.0,283.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:20:40.573000,2022-10-01 13:05:40.581,12,,False,,False,True,116.061,116.06099999999999
22,0 days 00:25:10.123000,PER,11,,3.0,1.0,,,40.949,61.619,50.91,0 days 00:23:17.622000,0 days 00:24:19.248000,0 days 00:25:10.285000,168.0,240.0,244.0,249.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:22:36.634000,2022-10-01 13:07:36.642,12,,False,,False,False,,153.478
23,0 days 00:27:04.527000,PER,11,0 days 00:01:54.404000,4.0,1.0,,,30.261,44.612,39.531,0 days 00:25:40.384000,0 days 00:26:24.996000,0 days 00:27:04.527000,292.0,266.0,244.0,283.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:25:10.123000,2022-10-01 13:10:10.131,12,,False,,False,True,114.404,114.404
24,0 days 00:29:38.677000,PER,11,,5.0,1.0,,,41.459,57.458,55.229,0 days 00:27:46.033000,0 days 00:28:43.461000,0 days 00:29:38.880000,189.0,205.0,245.0,218.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:27:04.527000,2022-10-01 13:12:04.535,1,,False,,False,False,,154.14600000000002
25,0 days 00:31:34.345000,PER,11,0 days 00:01:55.668000,6.0,1.0,,,30.405,44.806,40.457,0 days 00:30:09.082000,0 days 00:30:53.888000,0 days 00:31:34.345000,294.0,266.0,243.0,284.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:29:38.677000,2022-10-01 13:14:38.685,1,,False,,False,True,115.668,115.668
26,0 days 00:34:04.296000,PER,11,0 days 00:02:29.951000,7.0,1.0,,0 days 00:33:56.318000,37.795,55.872,56.284,0 days 00:32:12.140000,0 days 00:33:08.012000,0 days 00:34:04.296000,251.0,167.0,,284.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:31:34.345000,2022-10-01 13:16:34.353,12,,False,,False,False,149.951,149.951
27,0 days 00:43:50.174000,PER,11,,8.0,2.0,0 days 00:41:27.152000,,,50.199,59.97,,0 days 00:42:50.220000,0 days 00:43:50.199000,285.0,252.0,244.0,284.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:34:04.296000,2022-10-01 13:19:04.304,1,,False,,False,False,,
28,0 days 00:45:42.992000,PER,11,0 days 00:01:52.818000,9.0,2.0,,,29.97,43.652,39.196,0 days 00:44:20.144000,0 days 00:45:03.796000,0 days 00:45:42.992000,292.0,266.0,247.0,283.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:43:50.174000,2022-10-01 13:28:50.182,1,,False,,False,True,112.818,112.818
29,0 days 00:48:25.616000,PER,11,,10.0,2.0,,,39.224,63.939,59.481,0 days 00:46:22.264000,0 days 00:47:26.135000,0 days 00:48:25.811000,212.0,170.0,246.0,204.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:45:42.992000,2022-10-01 13:30:43.000,1,,False,,False,False,,162.644
30,0 days 00:50:32.038000,PER,11,0 days 00:02:06.422000,11.0,2.0,,0 days 00:50:24.257000,30.108,44.229,52.085,0 days 00:48:55.724000,0 days 00:49:39.953000,0 days 00:50:32.038000,292.0,266.0,,283.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:48:25.616000,2022-10-01 13:33:25.624,1,,False,,False,False,126.422,126.422
31,0 days 00:55:04.073000,PER,11,,12.0,3.0,0 days 00:52:24.677000,0 days 00:54:56.117000,,56.356,60.637,,0 days 00:54:03.436000,0 days 00:55:04.246000,138.0,187.0,,283.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:50:32.038000,2022-10-01 13:35:32.046,1,,False,,False,False,,
32,0 days 01:05:38.333000,PER,11,,13.0,4.0,0 days 01:03:26.328000,,,50.453,45.681,,0 days 01:04:52.652000,0 days 01:05:38.334000,281.0,249.0,244.0,283.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:55:04.073000,2022-10-01 13:40:04.081,1,,False,,False,False,,
33,0 days 01:07:41.213000,PER,11,0 days 00:02:02.880000,14.0,4.0,,,31.188,44.802,46.89,0 days 01:06:09.521000,0 days 01:06:54.323000,0 days 01:07:41.213000,293.0,264.0,247.0,282.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:38.333000,2022-10-01 13:50:38.341,1,,False,,False,True,122.88,122.88
34,0 days 01:09:34.968000,PER,11,0 days 00:01:53.755000,15.0,4.0,,,30.09,42.725,40.94,0 days 01:08:11.303000,0 days 01:08:54.028000,0 days 01:09:34.968000,292.0,265.0,249.0,285.0,True,SOFT,3.0,True,Red Bull Racing,0 days 01:07:41.213000,2022-10-01 13:52:41.221,1,,False,,False,True,113.755,113.755
35,0 days 01:11:26.715000,PER,11,0 days 00:01:51.747000,16.0,4.0,,,29.385,42.08,40.282,0 days 01:10:04.353000,0 days 01:10:46.433000,0 days 01:11:26.715000,293.0,265.0,250.0,285.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:09:34.968000,2022-10-01 13:54:34.976,12,,False,,False,True,111.747,111.747
36,0 days 01:13:25.542000,PER,11,0 days 00:01:58.827000,17.0,4.0,,,31.243,45.237,42.347,0 days 01:11:57.958000,0 days 01:12:43.195000,0 days 01:13:25.542000,280.0,254.0,251.0,286.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:11:26.715000,2022-10-01 13:56:26.723,1,,False,,False,True,118.827,118.827
37,0 days 01:15:14.976000,PER,11,0 days 00:01:49.434000,18.0,4.0,,,28.94,41.455,39.039,0 days 01:13:54.482000,0 days 01:14:35.937000,0 days 01:15:14.976000,293.0,266.0,253.0,287.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:13:25.542000,2022-10-01 13:58:25.550,1,,False,,False,True,109.434,109.434
38,0 days 01:17:41.541000,PER,11,0 days 00:02:26.565000,19.0,4.0,,,38.387,52.703,55.475,0 days 01:15:53.363000,0 days 01:16:46.066000,0 days 01:17:41.541000,216.0,193.0,61.0,283.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:15:14.976000,2022-10-01 14:00:14.984,1,,False,,False,True,146.565,146.565
39,0 days 01:19:11.298000,PER,11,,20.0,4.0,,0 days 01:19:11.298000,38.387,,,0 days 01:19:11.298000,,,216.0,193.0,,283.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:17:41.541000,2022-10-01 14:02:41.549,1,,False,,False,False,,
40,0 days 00:17:16.045000,HAM,44,,1.0,1.0,0 days 00:15:05.372000,,,51.004,44.847,,0 days 00:16:31.198000,0 days 00:17:16.082000,246.0,227.0,241.0,,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:15:05.372000,2022-10-01 13:00:05.380,1,,False,,False,False,,
41,0 days 00:19:12.982000,HAM,44,0 days 00:01:56.937000,2.0,1.0,,,30.956,45.7,40.281,0 days 00:17:47.001000,0 days 00:18:32.701000,0 days 00:19:12.982000,290.0,264.0,245.0,278.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:17:16.045000,2022-10-01 13:02:16.053,1,,False,,False,True,116.937,116.93700000000001
42,0 days 00:21:30.938000,HAM,44,0 days 00:02:17.956000,3.0,1.0,,,33.466,59.642,44.848,0 days 00:19:46.448000,0 days 00:20:46.090000,0 days 00:21:30.938000,241.0,205.0,244.0,280.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 00:19:12.982000,2022-10-01 13:04:12.990,12,,False,,False,True,137.956,137.95600000000002
43,0 days 00:23:25.627000,HAM,44,0 days 00:01:54.689000,4.0,1.0,,,30.45,44.602,39.637,0 days 00:22:01.388000,0 days 00:22:45.990000,0 days 00:23:25.627000,288.0,263.0,243.0,281.0,True,INTERMEDIATE,4.0,True,Mercedes,0 days 00:21:30.938000,2022-10-01 13:06:30.946,12,,False,,False,True,114.689,114.689
44,0 days 00:25:44.775000,HAM,44,0 days 00:02:19.148000,5.0,1.0,,,36.414,56.473,46.261,0 days 00:24:02.041000,0 days 00:24:58.514000,0 days 00:25:44.775000,255.0,217.0,246.0,278.0,False,INTERMEDIATE,5.0,True,Mercedes,0 days 00:23:25.627000,2022-10-01 13:08:25.635,12,,False,,False,True,139.148,139.148
45,0 days 00:27:51.562000,HAM,44,0 days 00:02:06.787000,6.0,1.0,,0 days 00:27:43.668000,30.698,44.44,51.649,0 days 00:26:15.473000,0 days 00:26:59.913000,0 days 00:27:51.562000,288.0,262.0,,282.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 00:25:44.775000,2022-10-01 13:10:44.783,21,,False,,False,False,126.787,126.787
46,0 days 00:30:25.990000,HAM,44,,7.0,2.0,0 days 00:28:15.071000,,57.469,51.272,45.683,0 days 00:28:49.087000,0 days 00:29:40.307000,0 days 00:30:26.167000,188.0,228.0,244.0,282.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:27:51.562000,2022-10-01 13:12:51.570,1,,False,,False,False,,154.424
47,0 days 00:32:19.151000,HAM,44,0 days 00:01:53.161000,8.0,2.0,,,30.268,43.664,39.229,0 days 00:30:56.258000,0 days 00:31:39.922000,0 days 00:32:19.151000,289.0,265.0,245.0,281.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:30:25.990000,2022-10-01 13:15:25.998,1,,False,,False,True,113.161,113.161
48,0 days 00:34:43.206000,HAM,44,0 days 00:02:24.055000,9.0,2.0,,0 days 00:34:35.045000,35.111,56.98,51.964,0 days 00:32:54.262000,0 days 00:33:51.242000,0 days 00:34:43.206000,250.0,205.0,,267.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 00:32:19.151000,2022-10-01 13:17:19.159,12,,False,,False,False,144.055,144.055
49,0 days 00:43:08.955000,HAM,44,,10.0,3.0,0 days 00:40:55.096000,,,48.512,51.686,,0 days 00:42:17.269000,0 days 00:43:08.985000,240.0,229.0,245.0,267.0,False,INTERMEDIATE,4.0,False,Mercedes,0 days 00:34:43.206000,2022-10-01 13:19:43.214,1,,False,,False,False,,
50,0 days 00:45:02.855000,HAM,44,0 days 00:01:53.900000,11.0,3.0,,,30.19,43.995,39.715,0 days 00:43:39.145000,0 days 00:44:23.140000,0 days 00:45:02.855000,291.0,265.0,246.0,280.0,True,INTERMEDIATE,5.0,False,Mercedes,0 days 00:43:08.955000,2022-10-01 13:28:08.963,1,,False,,False,True,113.9,113.9
51,0 days 00:47:13.761000,HAM,44,0 days 00:02:10.906000,12.0,3.0,,0 days 00:47:05.901000,32.631,47.466,50.809,0 days 00:45:35.486000,0 days 00:46:22.952000,0 days 00:47:13.761000,263.0,238.0,,272.0,False,INTERMEDIATE,6.0,False,Mercedes,0 days 00:45:02.855000,2022-10-01 13:30:02.863,1,,False,,False,False,130.906,130.906
52,0 days 00:49:42.058000,HAM,44,0 days 00:02:28.297000,13.0,4.0,0 days 00:47:37.847000,,59.285,47.039,41.973,0 days 00:48:13.046000,0 days 00:49:00.085000,0 days 00:49:42.058000,263.0,241.0,246.0,272.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:47:13.761000,2022-10-01 13:32:13.769,1,,False,,False,False,148.297,148.297
53,0 days 00:51:34.749000,HAM,44,0 days 00:01:52.691000,14.0,4.0,,,29.913,43.546,39.232,0 days 00:50:11.971000,0 days 00:50:55.517000,0 days 00:51:34.749000,289.0,265.0,245.0,280.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:49:42.058000,2022-10-01 13:34:42.066,1,,False,,False,True,112.691,112.691
54,0 days 00:53:43.541000,HAM,44,0 days 00:02:08.792000,15.0,4.0,,,34.915,49.433,44.444,0 days 00:52:09.664000,0 days 00:52:59.097000,0 days 00:53:43.541000,259.0,238.0,246.0,264.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 00:51:34.749000,2022-10-01 13:36:34.757,1,,False,,False,True,128.792,128.792
55,0 days 00:55:47.704000,HAM,44,0 days 00:02:04.163000,16.0,4.0,,0 days 00:55:39.893000,30.058,44.328,49.777,0 days 00:54:13.599000,0 days 00:54:57.927000,0 days 00:55:47.704000,289.0,235.0,,280.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 00:53:43.541000,2022-10-01 13:38:43.549,1,,False,,False,False,124.163,124.163
56,0 days 01:06:08.213000,HAM,44,,17.0,5.0,0 days 01:03:55.086000,,,48.324,48.386,,0 days 01:05:19.850000,0 days 01:06:08.213000,261.0,240.0,242.0,280.0,False,SOFT,1.0,True,Mercedes,0 days 00:55:47.704000,2022-10-01 13:40:47.712,1,,False,,False,False,,
