,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:26.863000,NOR,1,,1.0,1.0,0 days 00:15:06.027000,0 days 00:17:25.417000,,47.991,28.662,,0 days 00:16:58.462000,0 days 00:17:26.863000,255.0,264.0,,140.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:06.027000,2026-03-27 02:30:30.412,671,,False,,False,False,,
1,0 days 00:38:21.611000,NOR,1,,2.0,2.0,0 days 00:36:18.187000,,,45.227,21.57,,0 days 00:38:00.255000,0 days 00:38:21.709000,269.0,255.0,268.0,254.0,False,MEDIUM,2.0,False,McLaren,0 days 00:17:26.863000,2026-03-27 02:32:51.248,1,,False,,False,False,,
2,0 days 00:39:56.206000,NOR,1,0 days 00:01:34.595000,3.0,2.0,,,33.696,42.133,18.766,0 days 00:38:55.307000,0 days 00:39:37.440000,0 days 00:39:56.206000,267.0,312.0,254.0,273.0,False,MEDIUM,3.0,False,McLaren,0 days 00:38:21.611000,2026-03-27 02:53:45.996,1,,True,TRACK LIMITS AT TURN 14 LAP 4 ,False,True,94.595,94.595
3,0 days 00:42:00.827000,NOR,1,0 days 00:02:04.621000,4.0,2.0,,,43.813,56.858,23.95,0 days 00:40:40.019000,0 days 00:41:36.877000,0 days 00:42:00.827000,173.0,270.0,269.0,174.0,True,MEDIUM,4.0,False,McLaren,0 days 00:39:56.206000,2026-03-27 02:55:20.591,1,,False,,False,True,124.621,124.621
4,0 days 00:43:33.978000,NOR,1,0 days 00:01:33.151000,5.0,2.0,,,33.658,41.167,18.326,0 days 00:42:34.485000,0 days 00:43:15.652000,0 days 00:43:33.978000,264.0,312.0,253.0,273.0,True,MEDIUM,5.0,False,McLaren,0 days 00:42:00.827000,2026-03-27 02:57:25.212,1,,False,,False,True,93.151,93.15100000000001
5,0 days 00:45:56.113000,NOR,1,0 days 00:02:22.135000,6.0,2.0,,,47.169,60.13,34.836,0 days 00:44:21.147000,0 days 00:45:21.277000,0 days 00:45:56.113000,204.0,234.0,270.0,155.0,False,MEDIUM,6.0,False,McLaren,0 days 00:43:33.978000,2026-03-27 02:58:58.363,1,,False,,False,True,142.135,142.135
6,0 days 00:47:40.563000,NOR,1,0 days 00:01:44.450000,7.0,2.0,,,33.783,50.633,20.034,0 days 00:46:29.896000,0 days 00:47:20.529000,0 days 00:47:40.563000,270.0,272.0,277.0,259.0,False,MEDIUM,7.0,False,McLaren,0 days 00:45:56.113000,2026-03-27 03:01:20.498,1,,False,,False,True,104.45,104.44999999999999
7,0 days 00:49:13.080000,NOR,1,0 days 00:01:32.517000,8.0,2.0,,,33.186,41.156,18.175,0 days 00:48:13.749000,0 days 00:48:54.905000,0 days 00:49:13.080000,266.0,311.0,255.0,272.0,True,MEDIUM,8.0,False,McLaren,0 days 00:47:40.563000,2026-03-27 03:03:04.948,1,,False,,False,True,92.517,92.517
8,0 days 00:51:16.412000,NOR,1,0 days 00:02:03.332000,9.0,2.0,,,43.66,59.129,20.543,0 days 00:49:56.740000,0 days 00:50:55.869000,0 days 00:51:16.412000,206.0,266.0,267.0,256.0,False,MEDIUM,9.0,False,McLaren,0 days 00:49:13.080000,2026-03-27 03:04:37.465,1,,False,,False,True,123.332,123.332
9,0 days 00:52:48.688000,NOR,1,0 days 00:01:32.276000,10.0,2.0,,,33.237,40.939,18.1,0 days 00:51:49.649000,0 days 00:52:30.588000,0 days 00:52:48.688000,270.0,316.0,257.0,273.0,True,MEDIUM,10.0,False,McLaren,0 days 00:51:16.412000,2026-03-27 03:06:40.797,1,,False,,False,True,92.276,92.27600000000001
