,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:48:26.298000,VER,1,,1.0,1.0,0 days 00:46:35.210000,,,48.499,20.801,,0 days 00:48:05.652000,0 days 00:48:26.394000,261.0,290.0,247.0,261.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:46:35.210000,2022-10-07 03:31:35.223,12,,False,,False,False,,
1,0 days 00:50:10.357000,VER,1,0 days 00:01:44.059000,2.0,1.0,,,37.623,46.336,20.1,0 days 00:49:03.921000,0 days 00:49:50.257000,0 days 00:50:10.357000,269.0,293.0,249.0,276.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:48:26.298000,2022-10-07 03:33:26.311,21,,False,,False,True,104.059,104.059
2,0 days 00:51:53.719000,VER,1,0 days 00:01:43.362000,3.0,1.0,,,37.078,46.213,20.071,0 days 00:50:47.435000,0 days 00:51:33.648000,0 days 00:51:53.719000,270.0,292.0,251.0,278.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:50:10.357000,2022-10-07 03:35:10.370,1,,False,,False,True,103.362,103.362
3,0 days 00:53:52.674000,VER,1,0 days 00:01:58.955000,4.0,1.0,,0 days 00:53:51.261000,41.3,52.811,24.844,0 days 00:52:35.019000,0 days 00:53:27.830000,0 days 00:53:52.674000,248.0,187.0,,245.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:51:53.719000,2022-10-07 03:36:53.732,1,,False,,False,False,118.955,118.95499999999998
4,0 days 00:39:37.828000,RIC,3,,1.0,1.0,0 days 00:37:39.506000,,,50.983,22.019,,0 days 00:39:15.961000,0 days 00:39:37.886000,245.0,281.0,244.0,239.0,False,WET,1.0,True,McLaren,0 days 00:37:39.506000,2022-10-07 03:22:39.519,1,,False,,False,False,,
5,0 days 00:41:26.410000,RIC,3,0 days 00:01:48.582000,2.0,1.0,,,39.249,48.316,21.017,0 days 00:40:17.077000,0 days 00:41:05.393000,0 days 00:41:26.410000,264.0,283.0,246.0,256.0,True,WET,2.0,True,McLaren,0 days 00:39:37.828000,2022-10-07 03:24:37.841,1,,False,,False,True,108.582,108.582
6,0 days 00:43:22.629000,RIC,3,0 days 00:01:56.219000,3.0,1.0,,0 days 00:43:21.224000,39.033,50.781,26.405,0 days 00:42:05.443000,0 days 00:42:56.224000,0 days 00:43:22.629000,255.0,261.0,,245.0,False,WET,3.0,True,McLaren,0 days 00:41:26.410000,2022-10-07 03:26:26.423,1,,False,,False,False,116.219,116.219
7,0 days 00:55:11.933000,RIC,3,,4.0,2.0,0 days 00:53:18.003000,,,52.932,21.236,,0 days 00:54:50.873000,0 days 00:55:12,255.0,285.0,247.0,248.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:43:22.629000,2022-10-07 03:28:22.642,12,,False,,False,False,,
8,0 days 00:56:56.548000,RIC,3,0 days 00:01:44.615000,5.0,2.0,,,37.418,46.995,20.202,0 days 00:55:49.351000,0 days 00:56:36.346000,0 days 00:56:56.548000,260.0,286.0,247.0,267.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:55:11.933000,2022-10-07 03:40:11.946,1,,False,,False,True,104.615,104.615
9,0 days 00:58:41.034000,RIC,3,0 days 00:01:44.486000,6.0,2.0,,,36.909,46.71,20.867,0 days 00:57:33.457000,0 days 00:58:20.167000,0 days 00:58:41.034000,258.0,286.0,246.0,269.0,True,INTERMEDIATE,3.0,True,McLaren,0 days 00:56:56.548000,2022-10-07 03:41:56.561,1,,False,,False,True,104.486,104.486
10,0 days 01:00:43.111000,RIC,3,0 days 00:02:02.077000,7.0,2.0,,,44.152,55.328,22.597,0 days 00:59:25.186000,0 days 01:00:20.514000,0 days 01:00:43.111000,245.0,271.0,244.0,224.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:58:41.034000,2022-10-07 03:43:41.047,1,,False,,False,True,122.077,122.077
11,0 days 01:02:43.451000,RIC,3,0 days 00:02:00.340000,8.0,2.0,,0 days 01:02:42.042000,36.942,56.676,26.722,0 days 01:01:20.053000,0 days 01:02:16.729000,0 days 01:02:43.451000,263.0,266.0,,204.0,False,INTERMEDIATE,5.0,True,McLaren,0 days 01:00:43.111000,2022-10-07 03:45:43.124,1,,False,,False,False,120.34,120.34
12,0 days 00:35:21.144000,NOR,4,,1.0,1.0,0 days 00:33:06.283000,,,52.028,24.888,,0 days 00:34:56.465000,0 days 00:35:21.230000,234.0,251.0,238.0,210.0,False,WET,1.0,True,McLaren,0 days 00:33:06.283000,2022-10-07 03:18:06.296,1,,False,,False,False,,
13,0 days 00:37:12.354000,NOR,4,0 days 00:01:51.210000,2.0,1.0,,,39.436,49.56,22.214,0 days 00:36:00.580000,0 days 00:36:50.140000,0 days 00:37:12.354000,257.0,275.0,238.0,234.0,True,WET,2.0,True,McLaren,0 days 00:35:21.144000,2022-10-07 03:20:21.157,1,,False,,False,True,111.21,111.21000000000001
14,0 days 00:39:01.776000,NOR,4,0 days 00:01:49.422000,3.0,1.0,,,39.088,48.946,21.388,0 days 00:37:51.442000,0 days 00:38:40.388000,0 days 00:39:01.776000,253.0,277.0,241.0,250.0,True,WET,3.0,True,McLaren,0 days 00:37:12.354000,2022-10-07 03:22:12.367,1,,False,,False,True,109.422,109.422
15,0 days 00:41:04.747000,NOR,4,0 days 00:02:02.971000,4.0,1.0,,0 days 00:41:03.346000,43.52,52.703,26.748,0 days 00:39:45.296000,0 days 00:40:37.999000,0 days 00:41:04.747000,206.0,270.0,,227.0,False,WET,4.0,True,McLaren,0 days 00:39:01.776000,2022-10-07 03:24:01.789,1,,False,,False,False,122.971,122.97100000000002
16,0 days 00:53:45.903000,NOR,4,,5.0,2.0,0 days 00:51:33.415000,,,52.802,26.122,,0 days 00:53:19.984000,0 days 00:53:45.982000,255.0,287.0,244.0,256.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:41:04.747000,2022-10-07 03:26:04.760,12,,False,,False,False,,
17,0 days 00:55:29.792000,NOR,4,0 days 00:01:43.889000,6.0,2.0,,,36.815,46.761,20.313,0 days 00:54:22.718000,0 days 00:55:09.479000,0 days 00:55:29.792000,263.0,287.0,246.0,268.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:53:45.903000,2022-10-07 03:38:45.916,1,,False,,False,True,103.889,103.889
18,0 days 00:57:20.061000,NOR,4,0 days 00:01:50.269000,7.0,2.0,,0 days 00:57:18.675000,36.84,48.299,25.13,0 days 00:56:06.632000,0 days 00:56:54.931000,0 days 00:57:20.061000,264.0,267.0,,246.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 00:55:29.792000,2022-10-07 03:40:29.805,1,,False,,False,False,110.269,110.269
19,0 days 00:31:01.959000,VET,5,,1.0,1.0,0 days 00:28:31.380000,,,54.739,24.65,,0 days 00:30:37.472000,0 days 00:31:02.004000,222.0,260.0,236.0,214.0,False,WET,1.0,True,Aston Martin,0 days 00:28:31.380000,2022-10-07 03:13:31.393,1,,False,,False,False,,
20,0 days 00:33:05.340000,VET,5,0 days 00:02:03.381000,2.0,1.0,,0 days 00:33:03.888000,42.539,51.22,29.622,0 days 00:31:44.498000,0 days 00:32:35.718000,0 days 00:33:05.340000,213.0,275.0,,189.0,False,WET,2.0,True,Aston Martin,0 days 00:31:01.959000,2022-10-07 03:16:01.972,1,,False,,False,False,123.381,123.381
21,0 days 00:56:13.178000,VET,5,,3.0,2.0,0 days 00:54:18.963000,,,50.547,22.195,,0 days 00:55:51.184000,0 days 00:56:13.276000,236.0,271.0,242.0,241.0,False,INTERMEDIATE,1.0,True,Aston Martin,0 days 00:33:05.340000,2022-10-07 03:18:05.353,12,,False,,False,False,,
22,0 days 00:58:01.268000,VET,5,0 days 00:01:48.090000,4.0,2.0,,,39.05,47.912,21.128,0 days 00:56:52.228000,0 days 00:57:40.140000,0 days 00:58:01.268000,263.0,284.0,245.0,260.0,True,INTERMEDIATE,2.0,True,Aston Martin,0 days 00:56:13.178000,2022-10-07 03:41:13.191,1,,False,,False,True,108.09,108.08999999999999
23,0 days 01:00:03.179000,VET,5,0 days 00:02:01.911000,5.0,2.0,,0 days 01:00:01.762000,41.327,52.97,27.614,0 days 00:58:42.595000,0 days 00:59:35.565000,0 days 01:00:03.179000,255.0,282.0,,247.0,False,INTERMEDIATE,3.0,True,Aston Martin,0 days 00:58:01.268000,2022-10-07 03:43:01.281,1,,False,,False,False,121.911,121.911
24,0 days 01:15:49.688000,VET,5,,6.0,3.0,0 days 01:13:45.621000,,,52.9,28.463,,0 days 01:15:21.372000,0 days 01:15:49.739000,216.0,256.0,237.0,183.0,False,WET,3.0,False,Aston Martin,0 days 01:00:03.179000,2022-10-07 03:45:03.192,1,,False,,False,False,,
25,0 days 01:17:47.958000,VET,5,0 days 00:01:58.270000,7.0,3.0,,,40.923,49.625,27.722,0 days 01:16:30.611000,0 days 01:17:20.236000,0 days 01:17:47.958000,241.0,275.0,151.0,234.0,False,WET,4.0,False,Aston Martin,0 days 01:15:49.688000,2022-10-07 04:00:49.701,1,,False,,False,True,118.27,118.27000000000001
26,0 days 01:20:28.758000,VET,5,,8.0,3.0,,0 days 01:20:27.298000,86.069,49.438,25.313,0 days 01:19:14.149000,0 days 01:20:03.602000,0 days 01:20:28.758000,243.0,275.0,,242.0,False,WET,5.0,False,Aston Martin,0 days 01:17:47.958000,2022-10-07 04:02:47.971,12,,False,,False,False,,160.82
27,0 days 00:28:03.448000,LAT,6,,1.0,1.0,0 days 00:25:45.286000,0 days 00:28:02.091000,,59.802,30.891,,0 days 00:27:32.667000,0 days 00:28:03.448000,205.0,217.0,,205.0,False,WET,1.0,True,Williams,0 days 00:25:45.286000,2022-10-07 03:10:45.299,1,,False,,False,False,,
28,0 days 00:43:33.135000,LAT,6,,2.0,2.0,0 days 00:41:17.931000,,,55.674,25.909,,0 days 00:43:07.389000,0 days 00:43:33.224000,247.0,268.0,235.0,211.0,False,WET,2.0,False,Williams,0 days 00:28:03.448000,2022-10-07 03:13:03.461,1,,False,,False,False,,
29,0 days 00:45:25.581000,LAT,6,0 days 00:01:52.446000,3.0,2.0,,,41.0,50.02,21.426,0 days 00:44:14.135000,0 days 00:45:04.155000,0 days 00:45:25.581000,260.0,287.0,241.0,238.0,True,WET,3.0,False,Williams,0 days 00:43:33.135000,2022-10-07 03:28:33.148,1,,False,,False,True,112.446,112.44600000000001
30,0 days 00:47:15.995000,LAT,6,0 days 00:01:50.414000,4.0,2.0,,,39.967,48.999,21.448,0 days 00:46:05.548000,0 days 00:46:54.547000,0 days 00:47:15.995000,260.0,285.0,241.0,246.0,True,WET,4.0,False,Williams,0 days 00:45:25.581000,2022-10-07 03:30:25.594,1,,False,,False,True,110.414,110.41400000000002
31,0 days 00:49:36.352000,LAT,6,0 days 00:02:20.357000,5.0,2.0,,,39.977,76.205,24.175,0 days 00:47:55.972000,0 days 00:49:12.177000,0 days 00:49:36.352000,261.0,270.0,242.0,208.0,False,WET,5.0,False,Williams,0 days 00:47:15.995000,2022-10-07 03:32:16.008,12,,False,,False,True,140.357,140.357
32,0 days 00:51:34.707000,LAT,6,0 days 00:01:58.355000,6.0,2.0,,0 days 00:51:33.331000,39.66,49.389,29.306,0 days 00:50:16.012000,0 days 00:51:05.401000,0 days 00:51:34.707000,264.0,286.0,,222.0,False,WET,6.0,False,Williams,0 days 00:49:36.352000,2022-10-07 03:34:36.365,1,,False,,False,False,118.355,118.355
33,0 days 00:54:02.914000,LAT,6,0 days 00:02:28.207000,7.0,3.0,0 days 00:52:00.153000,,71.991,52.569,23.647,0 days 00:52:46.698000,0 days 00:53:39.267000,0 days 00:54:02.914000,247.0,289.0,241.0,218.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:51:34.707000,2022-10-07 03:36:34.720,1,,False,,False,False,148.207,148.207
34,0 days 00:55:50.319000,LAT,6,0 days 00:01:47.405000,8.0,3.0,,,38.992,47.58,20.833,0 days 00:54:41.906000,0 days 00:55:29.486000,0 days 00:55:50.319000,271.0,293.0,246.0,249.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:54:02.914000,2022-10-07 03:39:02.927,1,,False,,False,True,107.405,107.405
35,0 days 00:58:00.254000,LAT,6,0 days 00:02:09.935000,9.0,3.0,,,55.008,51.259,23.668,0 days 00:56:45.327000,0 days 00:57:36.586000,0 days 00:58:00.254000,171.0,280.0,248.0,239.0,False,INTERMEDIATE,3.0,True,Williams,0 days 00:55:50.319000,2022-10-07 03:40:50.332,1,,False,,False,True,129.935,129.935
36,0 days 00:59:45.678000,LAT,6,0 days 00:01:45.424000,10.0,3.0,,,37.752,47.089,20.583,0 days 00:58:38.006000,0 days 00:59:25.095000,0 days 00:59:45.678000,269.0,291.0,248.0,252.0,True,INTERMEDIATE,4.0,True,Williams,0 days 00:58:00.254000,2022-10-07 03:43:00.267,1,,False,,False,True,105.424,105.424
37,0 days 01:02:08.765000,LAT,6,0 days 00:02:23.087000,11.0,3.0,,0 days 01:02:07.349000,51.293,62.746,29.048,0 days 01:00:36.971000,0 days 01:01:39.717000,0 days 01:02:08.765000,192.0,238.0,,210.0,False,INTERMEDIATE,5.0,True,Williams,0 days 00:59:45.678000,2022-10-07 03:44:45.691,1,,False,,False,False,143.087,143.087
38,0 days 00:39:57.758000,GAS,10,,1.0,1.0,0 days 00:38:01.465000,,,51.272,23.476,,0 days 00:39:34.491000,0 days 00:39:57.893000,252.0,281.0,239.0,244.0,False,WET,1.0,True,AlphaTauri,0 days 00:38:01.465000,2022-10-07 03:23:01.478,1,,False,,False,False,,
39,0 days 00:41:48.123000,GAS,10,0 days 00:01:50.365000,2.0,1.0,,,39.51,49.344,21.511,0 days 00:40:37.268000,0 days 00:41:26.612000,0 days 00:41:48.123000,262.0,284.0,240.0,258.0,True,WET,2.0,True,AlphaTauri,0 days 00:39:57.758000,2022-10-07 03:24:57.771,1,,False,,False,True,110.365,110.365
40,0 days 00:43:57.629000,GAS,10,0 days 00:02:09.506000,3.0,1.0,,,39.869,65.855,23.782,0 days 00:42:27.992000,0 days 00:43:33.847000,0 days 00:43:57.629000,211.0,255.0,243.0,211.0,False,WET,3.0,True,AlphaTauri,0 days 00:41:48.123000,2022-10-07 03:26:48.136,1,,False,,False,True,129.506,129.506
41,0 days 00:45:46.905000,GAS,10,0 days 00:01:49.276000,4.0,1.0,,,39.043,49.038,21.195,0 days 00:44:36.672000,0 days 00:45:25.710000,0 days 00:45:46.905000,262.0,284.0,240.0,267.0,True,WET,4.0,True,AlphaTauri,0 days 00:43:57.629000,2022-10-07 03:28:57.642,1,,False,,False,True,109.276,109.27599999999998
42,0 days 00:48:13.256000,GAS,10,0 days 00:02:26.351000,5.0,1.0,,0 days 00:48:11.877000,57.796,59.48,29.075,0 days 00:46:44.701000,0 days 00:47:44.181000,0 days 00:48:13.256000,143.0,261.0,,238.0,False,WET,5.0,True,AlphaTauri,0 days 00:45:46.905000,2022-10-07 03:30:46.918,1,,False,,False,False,146.351,146.351
43,0 days 00:55:59.747000,GAS,10,,6.0,2.0,0 days 00:54:06.516000,,,51.669,22.462,,0 days 00:55:37.489000,0 days 00:55:59.832000,261.0,287.0,245.0,247.0,False,INTERMEDIATE,1.0,True,AlphaTauri,0 days 00:48:13.256000,2022-10-07 03:33:13.269,12,,False,,False,False,,
44,0 days 00:57:44.625000,GAS,10,0 days 00:01:44.878000,7.0,2.0,,,37.475,47.063,20.34,0 days 00:56:37.222000,0 days 00:57:24.285000,0 days 00:57:44.625000,268.0,287.0,250.0,273.0,True,INTERMEDIATE,2.0,True,AlphaTauri,0 days 00:55:59.747000,2022-10-07 03:40:59.760,1,,False,,False,True,104.878,104.87800000000001
45,0 days 00:59:35.742000,GAS,10,0 days 00:01:51.117000,8.0,2.0,,,37.383,47.843,25.891,0 days 00:58:22.008000,0 days 00:59:09.851000,0 days 00:59:35.742000,268.0,288.0,249.0,176.0,False,INTERMEDIATE,3.0,True,AlphaTauri,0 days 00:57:44.625000,2022-10-07 03:42:44.638,1,,False,,False,True,111.117,111.11699999999999
46,0 days 01:01:34.766000,GAS,10,0 days 00:01:59.024000,9.0,2.0,,0 days 01:01:33.359000,37.935,53.279,27.81,0 days 01:00:13.677000,0 days 01:01:06.956000,0 days 01:01:34.766000,267.0,261.0,,207.0,False,INTERMEDIATE,4.0,True,AlphaTauri,0 days 00:59:35.742000,2022-10-07 03:44:35.755,1,,False,,False,False,119.024,119.024
47,0 days 01:15:41.838000,GAS,10,,10.0,3.0,0 days 01:13:26.596000,,,54.379,23.235,,0 days 01:15:18.745000,0 days 01:15:41.897000,212.0,277.0,230.0,217.0,False,WET,6.0,False,AlphaTauri,0 days 01:01:34.766000,2022-10-07 03:46:34.779,1,,False,,False,False,,
48,0 days 01:17:42.115000,GAS,10,0 days 00:02:00.277000,11.0,3.0,,,42.435,52.347,25.495,0 days 01:16:24.273000,0 days 01:17:16.620000,0 days 01:17:42.115000,219.0,280.0,132.0,227.0,False,WET,7.0,False,AlphaTauri,0 days 01:15:41.838000,2022-10-07 04:00:41.851,1,,False,,False,True,120.277,120.27700000000002
49,0 days 01:20:10.947000,GAS,10,0 days 00:02:28.832000,12.0,3.0,,0 days 01:20:09.524000,71.866,50.704,26.262,0 days 01:18:53.981000,0 days 01:19:44.685000,0 days 01:20:10.947000,234.0,280.0,,234.0,False,WET,8.0,False,AlphaTauri,0 days 01:17:42.115000,2022-10-07 04:02:42.128,12,,False,,False,False,148.832,148.832
50,0 days 00:50:17.355000,PER,11,,1.0,1.0,0 days 00:48:17.989000,,,53.902,23.688,,0 days 00:49:53.814000,0 days 00:50:17.415000,251.0,291.0,244.0,248.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:48:17.989000,2022-10-07 03:33:18.002,12,,False,,False,False,,
51,0 days 00:52:03.603000,PER,11,0 days 00:01:46.248000,2.0,1.0,,,38.81,47.107,20.331,0 days 00:50:56.165000,0 days 00:51:43.272000,0 days 00:52:03.603000,266.0,291.0,247.0,270.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:50:17.355000,2022-10-07 03:35:17.368,1,,False,,False,True,106.248,106.248
52,0 days 00:53:47.837000,PER,11,0 days 00:01:44.234000,3.0,1.0,,,37.619,46.516,20.099,0 days 00:52:41.222000,0 days 00:53:27.738000,0 days 00:53:47.837000,268.0,293.0,249.0,275.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:52:03.603000,2022-10-07 03:37:03.616,1,,False,,False,True,104.234,104.234
53,0 days 00:55:49.420000,PER,11,0 days 00:02:01.583000,4.0,1.0,,0 days 00:55:47.564000,42.342,53.02,26.221,0 days 00:54:30.179000,0 days 00:55:23.199000,0 days 00:55:49.420000,254.0,268.0,,250.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:53:47.837000,2022-10-07 03:38:47.850,1,,False,,False,False,121.583,121.583
54,0 days 00:41:38.325000,ALO,14,,1.0,1.0,0 days 00:39:19.168000,,,52.344,22.952,,0 days 00:41:15.571000,0 days 00:41:38.415000,236.0,260.0,242.0,229.0,False,WET,1.0,True,Alpine,0 days 00:39:19.168000,2022-10-07 03:24:19.181,1,,False,,False,False,,
55,0 days 00:43:27.289000,ALO,14,0 days 00:01:48.964000,2.0,1.0,,,39.326,48.531,21.107,0 days 00:42:17.651000,0 days 00:43:06.182000,0 days 00:43:27.289000,262.0,282.0,245.0,260.0,True,WET,2.0,True,Alpine,0 days 00:41:38.325000,2022-10-07 03:26:38.338,1,,False,,False,True,108.964,108.964
56,0 days 00:45:25.275000,ALO,14,0 days 00:01:57.986000,3.0,1.0,,0 days 00:45:23.861000,38.987,50.744,28.255,0 days 00:44:06.276000,0 days 00:44:57.020000,0 days 00:45:25.275000,256.0,258.0,,216.0,False,WET,3.0,True,Alpine,0 days 00:43:27.289000,2022-10-07 03:28:27.302,1,,False,,False,False,117.986,117.98599999999999
57,0 days 00:48:08.732000,ALO,14,,4.0,2.0,0 days 00:46:08.509000,0 days 00:48:07.271000,84.786,51.286,27.318,0 days 00:46:50.262000,0 days 00:47:41.577000,0 days 00:48:08.732000,252.0,281.0,,259.0,False,WET,4.0,False,Alpine,0 days 00:45:25.275000,2022-10-07 03:30:25.288,1,,False,,False,False,,163.39000000000001
58,0 days 00:54:44.801000,ALO,14,,5.0,3.0,0 days 00:52:45.113000,,,50.839,24.874,,0 days 00:54:20.101000,0 days 00:54:44.865000,242.0,266.0,247.0,256.0,False,INTERMEDIATE,1.0,True,Alpine,0 days 00:48:08.732000,2022-10-07 03:33:08.745,12,,False,,False,False,,
59,0 days 00:56:27.049000,ALO,14,0 days 00:01:42.248000,6.0,3.0,,,36.165,45.983,20.1,0 days 00:55:20.966000,0 days 00:56:06.949000,0 days 00:56:27.049000,269.0,287.0,249.0,282.0,True,INTERMEDIATE,2.0,True,Alpine,0 days 00:54:44.801000,2022-10-07 03:39:44.814,1,,False,,False,True,102.248,102.24799999999999
60,0 days 00:58:34.451000,ALO,14,0 days 00:02:07.402000,7.0,3.0,,0 days 00:58:32.989000,46.784,53.826,26.792,0 days 00:57:13.833000,0 days 00:58:07.659000,0 days 00:58:34.451000,224.0,263.0,,235.0,False,INTERMEDIATE,3.0,True,Alpine,0 days 00:56:27.049000,2022-10-07 03:41:27.062,1,,False,,False,False,127.402,127.402
61,0 days 00:31:26.460000,LEC,16,,1.0,1.0,0 days 00:29:26.276000,,,51.839,23.626,,0 days 00:31:03.037000,0 days 00:31:26.585000,222.0,258.0,237.0,225.0,False,WET,1.0,True,Ferrari,0 days 00:29:26.276000,2022-10-07 03:14:26.289,1,,False,,False,False,,
62,0 days 00:33:15.563000,LEC,16,0 days 00:01:49.103000,2.0,1.0,,,39.415,48.71,20.978,0 days 00:32:05.875000,0 days 00:32:54.585000,0 days 00:33:15.563000,258.0,275.0,239.0,253.0,True,WET,2.0,True,Ferrari,0 days 00:31:26.460000,2022-10-07 03:16:26.473,1,,False,,False,True,109.103,109.10300000000001
63,0 days 00:35:03.667000,LEC,16,0 days 00:01:48.104000,3.0,1.0,,,38.94,48.514,20.65,0 days 00:33:54.503000,0 days 00:34:43.017000,0 days 00:35:03.667000,255.0,275.0,240.0,265.0,True,WET,3.0,True,Ferrari,0 days 00:33:15.563000,2022-10-07 03:18:15.576,1,,False,,False,True,108.104,108.10400000000001
64,0 days 00:37:10.959000,LEC,16,0 days 00:02:07.292000,4.0,1.0,,0 days 00:37:09.462000,46.847,53.335,27.11,0 days 00:35:50.514000,0 days 00:36:43.849000,0 days 00:37:10.959000,194.0,261.0,,234.0,False,WET,4.0,True,Ferrari,0 days 00:35:03.667000,2022-10-07 03:20:03.680,1,,False,,False,False,127.292,127.292
65,0 days 00:39:52.263000,LEC,16,,5.0,2.0,0 days 00:37:33.817000,,87.218,51.019,22.989,0 days 00:38:38.388000,0 days 00:39:29.408000,0 days 00:39:52.282000,234.0,254.0,243.0,205.0,False,WET,5.0,False,Ferrari,0 days 00:37:10.959000,2022-10-07 03:22:10.972,1,,False,,False,False,,161.226
66,0 days 00:41:40.598000,LEC,16,0 days 00:01:48.335000,6.0,2.0,,,38.329,48.535,21.471,0 days 00:40:30.592000,0 days 00:41:19.127000,0 days 00:41:40.598000,259.0,280.0,241.0,273.0,False,WET,6.0,False,Ferrari,0 days 00:39:52.263000,2022-10-07 03:24:52.276,1,,False,,False,True,108.335,108.33500000000001
67,0 days 00:43:39.208000,LEC,16,0 days 00:01:58.610000,7.0,2.0,,0 days 00:43:37.741000,40.076,52.495,26.039,0 days 00:42:20.674000,0 days 00:43:13.169000,0 days 00:43:39.208000,243.0,265.0,,258.0,False,WET,7.0,False,Ferrari,0 days 00:41:40.598000,2022-10-07 03:26:40.611,1,,False,,False,False,118.61,118.61
68,0 days 00:53:24.750000,LEC,16,,8.0,3.0,0 days 00:51:39.138000,,,47.065,21.487,,0 days 00:53:03.429000,0 days 00:53:24.785000,251.0,266.0,245.0,266.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:43:39.208000,2022-10-07 03:28:39.221,12,,False,,False,False,,
69,0 days 00:55:07.384000,LEC,16,0 days 00:01:42.634000,9.0,3.0,,,36.454,46.32,19.86,0 days 00:54:01.204000,0 days 00:54:47.524000,0 days 00:55:07.384000,264.0,281.0,246.0,280.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:53:24.750000,2022-10-07 03:38:24.763,1,,False,,False,True,102.634,102.634
70,0 days 00:57:06.065000,LEC,16,0 days 00:01:58.681000,10.0,3.0,,,36.707,56.571,25.403,0 days 00:55:44.091000,0 days 00:56:40.662000,0 days 00:57:06.065000,261.0,265.0,243.0,220.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:55:07.384000,2022-10-07 03:40:07.397,1,,False,,False,True,118.681,118.68099999999998
71,0 days 00:58:54.500000,LEC,16,0 days 00:01:48.435000,11.0,3.0,,,36.619,48.645,23.171,0 days 00:57:42.684000,0 days 00:58:31.329000,0 days 00:58:54.500000,264.0,261.0,246.0,233.0,False,INTERMEDIATE,4.0,True,Ferrari,0 days 00:57:06.065000,2022-10-07 03:42:06.078,1,,False,,False,True,108.435,108.435
72,0 days 01:01:03.841000,LEC,16,0 days 00:02:09.341000,12.0,3.0,,0 days 01:01:02.364000,36.86,65.042,27.439,0 days 00:59:31.360000,0 days 01:00:36.402000,0 days 01:01:03.841000,263.0,254.0,,204.0,False,INTERMEDIATE,5.0,True,Ferrari,0 days 00:58:54.500000,2022-10-07 03:43:54.513,1,,False,,False,False,129.341,129.341
73,0 days 01:03:26.275000,LEC,16,0 days 00:02:22.434000,13.0,4.0,0 days 01:01:27.801000,0 days 01:03:24.789000,63.415,52.188,26.831,0 days 01:02:07.256000,0 days 01:02:59.444000,0 days 01:03:26.275000,240.0,258.0,,222.0,False,WET,8.0,False,Ferrari,0 days 01:01:03.841000,2022-10-07 03:46:03.854,1,,False,,False,False,142.434,142.434
74,0 days 01:16:22.147000,LEC,16,,14.0,5.0,0 days 01:14:25.085000,,,52.292,23.25,,0 days 01:15:59.020000,0 days 01:16:22.161000,219.0,259.0,230.0,229.0,False,WET,9.0,False,Ferrari,0 days 01:03:26.275000,2022-10-07 03:48:26.288,1,,False,,False,False,,
75,0 days 01:18:36.720000,LEC,16,0 days 00:02:14.573000,15.0,5.0,,,43.364,54.368,36.841,0 days 01:17:05.511000,0 days 01:17:59.879000,0 days 01:18:36.720000,195.0,251.0,58.0,181.0,False,WET,10.0,False,Ferrari,0 days 01:16:22.147000,2022-10-07 04:01:22.160,1,,False,,False,True,134.573,134.573
76,0 days 01:21:19.541000,LEC,16,,16.0,5.0,,0 days 01:21:18.069000,80.557,54.878,27.374,0 days 01:19:57.393000,0 days 01:20:52.300000,0 days 01:21:19.541000,163.0,256.0,,203.0,False,WET,11.0,False,Ferrari,0 days 01:18:36.720000,2022-10-07 04:03:36.733,12,,False,,False,False,,162.809
77,0 days 00:29:36.176000,STR,18,,1.0,1.0,0 days 00:27:26.898000,,,56.342,24.808,,0 days 00:29:11.486000,0 days 00:29:36.184000,212.0,259.0,224.0,198.0,False,WET,1.0,True,Aston Martin,0 days 00:27:26.898000,2022-10-07 03:12:26.911,1,,False,,False,False,,
