,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:08:03.720000,GAS,10,0 days 00:01:20.158000,1.0,,,,,34.389,23.283,,0 days 00:07:40.460000,0 days 00:08:03.822000,304.0,215.0,272.0,297.0,False,nan,,True,Toro Rosso,0 days 00:06:43.395000,2018-07-01 13:12:43.611,,15.0,False,,False,False,80.158,
1,0 days 00:09:16.779000,GAS,10,0 days 00:01:13.059000,2.0,1.0,,,17.521,33.053,22.485,0 days 00:08:21.241000,0 days 00:08:54.294000,0 days 00:09:16.779000,306.0,214.0,271.0,290.0,True,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:08:03.720000,2018-07-01 13:14:03.936,21,14.0,False,,False,True,73.059,73.059
2,0 days 00:10:28.223000,GAS,10,0 days 00:01:11.444000,3.0,1.0,,,17.443,31.545,22.456,0 days 00:09:34.222000,0 days 00:10:05.767000,0 days 00:10:28.223000,314.0,224.0,278.0,308.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:09:16.779000,2018-07-01 13:15:16.995,1,14.0,False,,False,True,71.444,71.444
3,0 days 00:11:39.388000,GAS,10,0 days 00:01:11.165000,4.0,1.0,,,17.161,31.737,22.267,0 days 00:10:45.384000,0 days 00:11:17.121000,0 days 00:11:39.388000,316.0,227.0,279.0,309.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:10:28.223000,2018-07-01 13:16:28.439,1,14.0,False,,False,True,71.165,71.16499999999999
4,0 days 00:12:51.796000,GAS,10,0 days 00:01:12.408000,5.0,1.0,,,17.333,31.559,23.516,0 days 00:11:56.721000,0 days 00:12:28.280000,0 days 00:12:51.796000,310.0,228.0,256.0,303.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:11:39.388000,2018-07-01 13:17:39.604,1,15.0,False,,False,True,72.408,72.40799999999999
5,0 days 00:14:04.137000,GAS,10,0 days 00:01:12.341000,6.0,1.0,,,18.014,32.137,22.19,0 days 00:13:09.810000,0 days 00:13:41.947000,0 days 00:14:04.137000,311.0,227.0,276.0,306.0,False,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:12:51.796000,2018-07-01 13:18:52.012,1,15.0,False,,False,True,72.341,72.341
6,0 days 00:15:15.151000,GAS,10,0 days 00:01:11.014000,7.0,1.0,,,17.401,31.543,22.07,0 days 00:14:21.538000,0 days 00:14:53.081000,0 days 00:15:15.151000,311.0,229.0,277.0,306.0,True,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:14:04.137000,2018-07-01 13:20:04.353,1,15.0,False,,False,True,71.014,71.01400000000001
7,0 days 00:16:26.441000,GAS,10,0 days 00:01:11.290000,8.0,1.0,,,17.577,31.645,22.068,0 days 00:15:32.728000,0 days 00:16:04.373000,0 days 00:16:26.441000,309.0,228.0,279.0,307.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:15:15.151000,2018-07-01 13:21:15.367,1,15.0,False,,False,True,71.29,71.29
8,0 days 00:17:38.177000,GAS,10,0 days 00:01:11.736000,9.0,1.0,,,17.548,32.14,22.048,0 days 00:16:43.989000,0 days 00:17:16.129000,0 days 00:17:38.177000,323.0,225.0,277.0,301.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:16:26.441000,2018-07-01 13:22:26.657,1,15.0,False,,False,True,71.736,71.736
9,0 days 00:18:49.346000,GAS,10,0 days 00:01:11.169000,10.0,1.0,,,17.453,31.695,22.021,0 days 00:17:55.630000,0 days 00:18:27.325000,0 days 00:18:49.346000,315.0,223.0,278.0,302.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:17:38.177000,2018-07-01 13:23:38.393,1,15.0,False,,False,True,71.169,71.169
10,0 days 00:20:00.248000,GAS,10,0 days 00:01:10.902000,11.0,1.0,,,17.472,31.442,21.988,0 days 00:19:06.818000,0 days 00:19:38.260000,0 days 00:20:00.248000,306.0,227.0,279.0,302.0,True,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:18:49.346000,2018-07-01 13:24:49.562,1,15.0,False,,False,True,70.902,70.902
11,0 days 00:21:11.606000,GAS,10,0 days 00:01:11.358000,12.0,1.0,,,18.045,31.437,21.876,0 days 00:20:18.293000,0 days 00:20:49.730000,0 days 00:21:11.606000,320.0,223.0,272.0,310.0,False,SUPERSOFT,11.0,True,Toro Rosso,0 days 00:20:00.248000,2018-07-01 13:26:00.464,12,13.0,False,,False,True,71.358,71.358
12,0 days 00:22:22.433000,GAS,10,0 days 00:01:10.827000,13.0,1.0,,,17.695,31.347,21.785,0 days 00:21:29.301000,0 days 00:22:00.648000,0 days 00:22:22.433000,292.0,222.0,270.0,286.0,True,SUPERSOFT,12.0,True,Toro Rosso,0 days 00:21:11.606000,2018-07-01 13:27:11.822,1,13.0,False,,False,True,70.827,70.827
13,0 days 00:23:37.583000,GAS,10,0 days 00:01:15.150000,14.0,1.0,,,17.679,31.094,26.377,0 days 00:22:40.112000,0 days 00:23:11.206000,0 days 00:23:37.583000,290.0,228.0,215.0,287.0,False,SUPERSOFT,13.0,True,Toro Rosso,0 days 00:22:22.433000,2018-07-01 13:28:22.649,126,12.0,False,,False,False,75.15,75.14999999999999
14,0 days 00:25:12.555000,GAS,10,0 days 00:01:34.972000,15.0,1.0,,0 days 00:25:09.232000,24.099,40.553,30.32,0 days 00:24:01.682000,0 days 00:24:42.235000,0 days 00:25:12.555000,238.0,168.0,,189.0,False,SUPERSOFT,14.0,True,Toro Rosso,0 days 00:23:37.583000,2018-07-01 13:29:37.799,6,12.0,False,,False,False,94.972,94.97200000000001
15,0 days 00:26:40.345000,GAS,10,0 days 00:01:27.790000,16.0,2.0,0 days 00:25:31.240000,,35.473,30.879,21.438,0 days 00:25:48.028000,0 days 00:26:18.907000,0 days 00:26:40.345000,284.0,229.0,272.0,287.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:25:12.555000,2018-07-01 13:31:12.771,671,15.0,False,,False,False,87.79,87.79
16,0 days 00:27:49.709000,GAS,10,0 days 00:01:09.364000,17.0,2.0,,,17.526,30.432,21.406,0 days 00:26:57.871000,0 days 00:27:28.303000,0 days 00:27:49.709000,295.0,233.0,270.0,291.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:26:40.345000,2018-07-01 13:32:40.561,1,15.0,False,,False,True,69.364,69.364
17,0 days 00:28:59.581000,GAS,10,0 days 00:01:09.872000,18.0,2.0,,,17.599,30.793,21.48,0 days 00:28:07.308000,0 days 00:28:38.101000,0 days 00:28:59.581000,296.0,226.0,273.0,286.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:27:49.709000,2018-07-01 13:33:49.925,1,15.0,False,,False,True,69.872,69.872
18,0 days 00:30:09.594000,GAS,10,0 days 00:01:10.013000,19.0,2.0,,,17.608,31.009,21.396,0 days 00:29:17.189000,0 days 00:29:48.198000,0 days 00:30:09.594000,295.0,231.0,272.0,285.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:28:59.581000,2018-07-01 13:34:59.797,1,15.0,False,,False,True,70.013,70.013
19,0 days 00:31:19.404000,GAS,10,0 days 00:01:09.810000,20.0,2.0,,,17.655,30.795,21.36,0 days 00:30:27.249000,0 days 00:30:58.044000,0 days 00:31:19.404000,295.0,233.0,272.0,291.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:30:09.594000,2018-07-01 13:36:09.810,1,15.0,False,,False,True,69.81,69.81
20,0 days 00:32:28.985000,GAS,10,0 days 00:01:09.581000,21.0,2.0,,,17.507,30.656,21.418,0 days 00:31:36.911000,0 days 00:32:07.567000,0 days 00:32:28.985000,299.0,232.0,273.0,293.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:31:19.404000,2018-07-01 13:37:19.620,1,15.0,False,,False,True,69.581,69.58099999999999
21,0 days 00:33:38.927000,GAS,10,0 days 00:01:09.942000,22.0,2.0,,,17.538,30.955,21.449,0 days 00:32:46.523000,0 days 00:33:17.478000,0 days 00:33:38.927000,299.0,231.0,272.0,295.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:32:28.985000,2018-07-01 13:38:29.201,1,15.0,False,,False,True,69.942,69.942
22,0 days 00:34:48.819000,GAS,10,0 days 00:01:09.892000,23.0,2.0,,,17.6,30.768,21.524,0 days 00:33:56.527000,0 days 00:34:27.295000,0 days 00:34:48.819000,297.0,234.0,275.0,295.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:33:38.927000,2018-07-01 13:39:39.143,1,15.0,False,,False,True,69.892,69.892
23,0 days 00:35:58.753000,GAS,10,0 days 00:01:09.934000,24.0,2.0,,,17.397,30.85,21.687,0 days 00:35:06.216000,0 days 00:35:37.066000,0 days 00:35:58.753000,300.0,234.0,280.0,300.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:34:48.819000,2018-07-01 13:40:49.035,1,15.0,False,,False,True,69.934,69.934
24,0 days 00:37:08.748000,GAS,10,0 days 00:01:09.995000,25.0,2.0,,,17.078,31.228,21.689,0 days 00:36:15.831000,0 days 00:36:47.059000,0 days 00:37:08.748000,325.0,230.0,273.0,324.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:35:58.753000,2018-07-01 13:41:58.969,1,13.0,False,,False,True,69.995,69.995
25,0 days 00:38:18.658000,GAS,10,0 days 00:01:09.910000,26.0,2.0,,,17.539,30.886,21.485,0 days 00:37:26.287000,0 days 00:37:57.173000,0 days 00:38:18.658000,297.0,233.0,274.0,296.0,False,SOFT,11.0,True,Toro Rosso,0 days 00:37:08.748000,2018-07-01 13:43:08.964,1,13.0,False,,False,True,69.91,69.91
26,0 days 00:39:28.194000,GAS,10,0 days 00:01:09.536000,27.0,2.0,,,17.435,30.828,21.273,0 days 00:38:36.093000,0 days 00:39:06.921000,0 days 00:39:28.194000,295.0,233.0,273.0,290.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:38:18.658000,2018-07-01 13:44:18.874,1,12.0,False,,False,True,69.536,69.536
27,0 days 00:40:37.975000,GAS,10,0 days 00:01:09.781000,28.0,2.0,,,17.639,30.912,21.23,0 days 00:39:45.833000,0 days 00:40:16.745000,0 days 00:40:37.975000,295.0,234.0,274.0,294.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:39:28.194000,2018-07-01 13:45:28.410,1,12.0,False,,False,True,69.781,69.781
28,0 days 00:41:47.712000,GAS,10,0 days 00:01:09.737000,29.0,2.0,,,17.535,30.845,21.357,0 days 00:40:55.510000,0 days 00:41:26.355000,0 days 00:41:47.712000,299.0,230.0,274.0,288.0,False,SOFT,14.0,True,Toro Rosso,0 days 00:40:37.975000,2018-07-01 13:46:38.191,1,12.0,False,,False,True,69.737,69.737
29,0 days 00:42:57.419000,GAS,10,0 days 00:01:09.707000,30.0,2.0,,,17.48,30.859,21.368,0 days 00:42:05.192000,0 days 00:42:36.051000,0 days 00:42:57.419000,294.0,231.0,274.0,292.0,False,SOFT,15.0,True,Toro Rosso,0 days 00:41:47.712000,2018-07-01 13:47:47.928,1,12.0,False,,False,True,69.707,69.707
30,0 days 00:44:07.187000,GAS,10,0 days 00:01:09.768000,31.0,2.0,,,17.47,30.924,21.374,0 days 00:43:14.889000,0 days 00:43:45.813000,0 days 00:44:07.187000,293.0,231.0,273.0,288.0,False,SOFT,16.0,True,Toro Rosso,0 days 00:42:57.419000,2018-07-01 13:48:57.635,1,12.0,False,,False,True,69.768,69.768
31,0 days 00:45:17.070000,GAS,10,0 days 00:01:09.883000,32.0,2.0,,,17.531,30.978,21.374,0 days 00:44:24.718000,0 days 00:44:55.696000,0 days 00:45:17.070000,293.0,229.0,272.0,289.0,False,SOFT,17.0,True,Toro Rosso,0 days 00:44:07.187000,2018-07-01 13:50:07.403,1,12.0,False,,False,True,69.883,69.883
32,0 days 00:46:26.913000,GAS,10,0 days 00:01:09.843000,33.0,2.0,,,17.607,30.959,21.277,0 days 00:45:34.677000,0 days 00:46:05.636000,0 days 00:46:26.913000,290.0,227.0,273.0,290.0,False,SOFT,18.0,True,Toro Rosso,0 days 00:45:17.070000,2018-07-01 13:51:17.286,1,12.0,False,,False,True,69.843,69.843
33,0 days 00:47:37.192000,GAS,10,0 days 00:01:10.279000,34.0,2.0,,,17.496,30.989,21.794,0 days 00:46:44.409000,0 days 00:47:15.398000,0 days 00:47:37.192000,296.0,231.0,275.0,291.0,False,SOFT,19.0,True,Toro Rosso,0 days 00:46:26.913000,2018-07-01 13:52:27.129,1,11.0,False,,False,True,70.279,70.279
34,0 days 00:48:47.213000,GAS,10,0 days 00:01:10.021000,35.0,2.0,,,17.429,31.128,21.464,0 days 00:47:54.621000,0 days 00:48:25.749000,0 days 00:48:47.213000,302.0,227.0,271.0,293.0,False,SOFT,20.0,True,Toro Rosso,0 days 00:47:37.192000,2018-07-01 13:53:37.408,1,11.0,False,,False,True,70.021,70.021
35,0 days 00:49:56.948000,GAS,10,0 days 00:01:09.735000,36.0,2.0,,,17.525,30.829,21.381,0 days 00:49:04.738000,0 days 00:49:35.567000,0 days 00:49:56.948000,296.0,231.0,273.0,293.0,False,SOFT,21.0,True,Toro Rosso,0 days 00:48:47.213000,2018-07-01 13:54:47.429,1,11.0,False,,False,True,69.735,69.735
36,0 days 00:51:06.480000,GAS,10,0 days 00:01:09.532000,37.0,2.0,,,17.492,30.844,21.196,0 days 00:50:14.440000,0 days 00:50:45.284000,0 days 00:51:06.480000,296.0,233.0,275.0,293.0,False,SOFT,22.0,True,Toro Rosso,0 days 00:49:56.948000,2018-07-01 13:55:57.164,1,11.0,False,,False,True,69.532,69.532
37,0 days 00:52:15.775000,GAS,10,0 days 00:01:09.295000,38.0,2.0,,,17.414,30.69,21.191,0 days 00:51:23.894000,0 days 00:51:54.584000,0 days 00:52:15.775000,290.0,232.0,275.0,292.0,True,SOFT,23.0,True,Toro Rosso,0 days 00:51:06.480000,2018-07-01 13:57:06.696,1,11.0,False,,False,True,69.295,69.295
38,0 days 00:53:25.357000,GAS,10,0 days 00:01:09.582000,39.0,2.0,,,17.466,30.76,21.356,0 days 00:52:33.241000,0 days 00:53:04.001000,0 days 00:53:25.357000,293.0,225.0,273.0,294.0,False,SOFT,24.0,True,Toro Rosso,0 days 00:52:15.775000,2018-07-01 13:58:15.991,1,11.0,False,,False,True,69.582,69.582
39,0 days 00:54:34.816000,GAS,10,0 days 00:01:09.459000,40.0,2.0,,,17.407,30.776,21.276,0 days 00:53:42.764000,0 days 00:54:13.540000,0 days 00:54:34.816000,294.0,232.0,273.0,292.0,False,SOFT,25.0,True,Toro Rosso,0 days 00:53:25.357000,2018-07-01 13:59:25.573,1,11.0,False,,False,True,69.459,69.459
40,0 days 00:55:44.359000,GAS,10,0 days 00:01:09.543000,41.0,2.0,,,17.571,30.748,21.224,0 days 00:54:52.387000,0 days 00:55:23.135000,0 days 00:55:44.359000,297.0,233.0,274.0,291.0,False,SOFT,26.0,True,Toro Rosso,0 days 00:54:34.816000,2018-07-01 14:00:35.032,1,11.0,False,,False,True,69.543,69.543
41,0 days 00:56:53.885000,GAS,10,0 days 00:01:09.526000,42.0,2.0,,,17.475,30.768,21.283,0 days 00:56:01.834000,0 days 00:56:32.602000,0 days 00:56:53.885000,296.0,229.0,274.0,290.0,False,SOFT,27.0,True,Toro Rosso,0 days 00:55:44.359000,2018-07-01 14:01:44.575,1,11.0,False,,False,True,69.526,69.52600000000001
42,0 days 00:58:03.814000,GAS,10,0 days 00:01:09.929000,43.0,2.0,,,17.456,31.016,21.457,0 days 00:57:11.341000,0 days 00:57:42.357000,0 days 00:58:03.814000,296.0,233.0,251.0,286.0,False,SOFT,28.0,True,Toro Rosso,0 days 00:56:53.885000,2018-07-01 14:02:54.101,1,11.0,False,,False,True,69.929,69.929
43,0 days 00:59:14.603000,GAS,10,0 days 00:01:10.789000,44.0,2.0,,,18.256,31.022,21.511,0 days 00:58:22.070000,0 days 00:58:53.092000,0 days 00:59:14.603000,317.0,234.0,273.0,312.0,False,SOFT,29.0,True,Toro Rosso,0 days 00:58:03.814000,2018-07-01 14:04:04.030,1,11.0,False,,False,True,70.789,70.789
44,0 days 01:00:24.184000,GAS,10,0 days 00:01:09.581000,45.0,2.0,,,17.484,30.74,21.357,0 days 00:59:32.087000,0 days 01:00:02.827000,0 days 01:00:24.184000,297.0,232.0,272.0,294.0,False,SOFT,30.0,True,Toro Rosso,0 days 00:59:14.603000,2018-07-01 14:05:14.819,1,11.0,False,,False,True,69.581,69.581
45,0 days 01:01:33.607000,GAS,10,0 days 00:01:09.423000,46.0,2.0,,,17.434,30.695,21.294,0 days 01:00:41.618000,0 days 01:01:12.313000,0 days 01:01:33.607000,298.0,232.0,272.0,294.0,False,SOFT,31.0,True,Toro Rosso,0 days 01:00:24.184000,2018-07-01 14:06:24.400,1,10.0,False,,False,True,69.423,69.423
46,0 days 01:02:43.558000,GAS,10,0 days 00:01:09.951000,47.0,2.0,,,17.521,30.931,21.499,0 days 01:01:51.128000,0 days 01:02:22.059000,0 days 01:02:43.558000,293.0,233.0,272.0,289.0,False,SOFT,32.0,True,Toro Rosso,0 days 01:01:33.607000,2018-07-01 14:07:33.823,1,10.0,False,,False,True,69.951,69.951
47,0 days 01:03:55.339000,GAS,10,0 days 00:01:11.781000,48.0,2.0,,,17.739,31.584,22.458,0 days 01:03:01.297000,0 days 01:03:32.881000,0 days 01:03:55.339000,235.0,232.0,277.0,304.0,False,SOFT,33.0,True,Toro Rosso,0 days 01:02:43.558000,2018-07-01 14:08:43.774,1,10.0,False,,False,True,71.781,71.781
48,0 days 01:05:06.200000,GAS,10,0 days 00:01:10.861000,49.0,2.0,,,18.362,31.021,21.478,0 days 01:04:13.701000,0 days 01:04:44.722000,0 days 01:05:06.200000,304.0,234.0,273.0,308.0,False,SOFT,34.0,True,Toro Rosso,0 days 01:03:55.339000,2018-07-01 14:09:55.555,1,10.0,False,,False,True,70.861,70.86099999999999
49,0 days 01:06:16.042000,GAS,10,0 days 00:01:09.842000,50.0,2.0,,,17.52,30.98,21.342,0 days 01:05:23.720000,0 days 01:05:54.700000,0 days 01:06:16.042000,295.0,233.0,274.0,293.0,False,SOFT,35.0,True,Toro Rosso,0 days 01:05:06.200000,2018-07-01 14:11:06.416,1,10.0,False,,False,True,69.842,69.842
50,0 days 01:07:25.670000,GAS,10,0 days 00:01:09.628000,51.0,2.0,,,17.546,30.81,21.272,0 days 01:06:33.588000,0 days 01:07:04.398000,0 days 01:07:25.670000,293.0,232.0,274.0,295.0,False,SOFT,36.0,True,Toro Rosso,0 days 01:06:16.042000,2018-07-01 14:12:16.258,1,10.0,False,,False,True,69.628,69.62799999999999
51,0 days 01:08:35.323000,GAS,10,0 days 00:01:09.653000,52.0,2.0,,,17.437,30.863,21.353,0 days 01:07:43.107000,0 days 01:08:13.970000,0 days 01:08:35.323000,295.0,232.0,273.0,289.0,False,SOFT,37.0,True,Toro Rosso,0 days 01:07:25.670000,2018-07-01 14:13:25.886,1,10.0,False,,False,True,69.653,69.65299999999999
52,0 days 01:09:45.316000,GAS,10,0 days 00:01:09.993000,53.0,2.0,,,17.472,31.109,21.412,0 days 01:08:52.795000,0 days 01:09:23.904000,0 days 01:09:45.316000,292.0,233.0,275.0,287.0,False,SOFT,38.0,True,Toro Rosso,0 days 01:08:35.323000,2018-07-01 14:14:35.539,12,10.0,False,,False,True,69.993,69.993
53,0 days 01:10:55.246000,GAS,10,0 days 00:01:09.930000,54.0,2.0,,,17.659,30.957,21.314,0 days 01:10:02.975000,0 days 01:10:33.932000,0 days 01:10:55.246000,292.0,234.0,273.0,287.0,False,SOFT,39.0,True,Toro Rosso,0 days 01:09:45.316000,2018-07-01 14:15:45.532,21,9.0,False,,False,True,69.93,69.93
54,0 days 01:12:04.891000,GAS,10,0 days 00:01:09.645000,55.0,2.0,,,17.482,30.908,21.255,0 days 01:11:12.728000,0 days 01:11:43.636000,0 days 01:12:04.891000,295.0,232.0,275.0,288.0,False,SOFT,40.0,True,Toro Rosso,0 days 01:10:55.246000,2018-07-01 14:16:55.462,21,9.0,False,,False,True,69.645,69.645
55,0 days 01:13:14.619000,GAS,10,0 days 00:01:09.728000,56.0,2.0,,,17.438,30.975,21.315,0 days 01:12:22.329000,0 days 01:12:53.304000,0 days 01:13:14.619000,292.0,233.0,274.0,290.0,False,SOFT,41.0,True,Toro Rosso,0 days 01:12:04.891000,2018-07-01 14:18:05.107,21,9.0,False,,False,True,69.728,69.728
56,0 days 01:14:24.135000,GAS,10,0 days 00:01:09.516000,57.0,2.0,,,17.464,30.879,21.173,0 days 01:13:32.083000,0 days 01:14:02.962000,0 days 01:14:24.135000,298.0,234.0,274.0,289.0,False,SOFT,42.0,True,Toro Rosso,0 days 01:13:14.619000,2018-07-01 14:19:14.835,1,9.0,False,,False,True,69.516,69.516
57,0 days 01:15:33.719000,GAS,10,0 days 00:01:09.584000,58.0,2.0,,,17.464,30.864,21.256,,0 days 01:15:12.463000,0 days 01:15:33.719000,297.0,234.0,274.0,290.0,False,SOFT,43.0,True,Toro Rosso,0 days 01:14:24.135000,2018-07-01 14:20:24.351,1,9.0,False,,False,True,69.584,69.584
58,0 days 01:16:44.524000,GAS,10,0 days 00:01:10.805000,59.0,2.0,,,17.462,31.921,21.422,0 days 01:15:51.181000,0 days 01:16:23.102000,0 days 01:16:44.524000,297.0,233.0,274.0,307.0,False,SOFT,44.0,True,Toro Rosso,0 days 01:15:33.719000,2018-07-01 14:21:33.935,1,9.0,False,,False,True,70.805,70.80499999999999
59,0 days 01:17:54.174000,GAS,10,0 days 00:01:09.650000,60.0,2.0,,,17.487,30.918,21.245,0 days 01:17:02.011000,0 days 01:17:32.929000,0 days 01:17:54.174000,297.0,232.0,274.0,291.0,False,SOFT,45.0,True,Toro Rosso,0 days 01:16:44.524000,2018-07-01 14:22:44.740,1,9.0,False,,False,True,69.65,69.65
60,0 days 01:19:04.186000,GAS,10,0 days 00:01:10.012000,61.0,2.0,,,17.509,31.256,21.247,0 days 01:18:11.683000,0 days 01:18:42.939000,0 days 01:19:04.186000,297.0,234.0,274.0,295.0,False,SOFT,46.0,True,Toro Rosso,0 days 01:17:54.174000,2018-07-01 14:23:54.390,1,9.0,False,,False,True,70.012,70.012
61,0 days 01:20:14.770000,GAS,10,0 days 00:01:10.584000,62.0,2.0,,,17.474,31.594,21.516,0 days 01:19:21.660000,0 days 01:19:53.254000,0 days 01:20:14.770000,295.0,226.0,273.0,293.0,False,SOFT,47.0,True,Toro Rosso,0 days 01:19:04.186000,2018-07-01 14:25:04.402,12,9.0,False,,False,True,70.584,70.584
62,0 days 01:21:25.615000,GAS,10,0 days 00:01:10.845000,63.0,2.0,,,17.495,31.952,21.398,0 days 01:20:32.265000,0 days 01:21:04.217000,0 days 01:21:25.615000,298.0,224.0,273.0,294.0,False,SOFT,48.0,True,Toro Rosso,0 days 01:20:14.770000,2018-07-01 14:26:14.986,12,8.0,False,,False,True,70.845,70.845
63,0 days 01:22:36.632000,GAS,10,0 days 00:01:11.017000,64.0,2.0,,,17.496,32.0,21.521,0 days 01:21:43.111000,0 days 01:22:15.111000,0 days 01:22:36.632000,300.0,220.0,277.0,293.0,False,SOFT,49.0,True,Toro Rosso,0 days 01:21:25.615000,2018-07-01 14:27:25.831,1,9.0,False,,False,True,71.017,71.017
64,0 days 01:23:49.082000,GAS,10,0 days 00:01:12.450000,65.0,2.0,,,17.346,32.982,22.122,0 days 01:22:53.978000,0 days 01:23:26.960000,0 days 01:23:49.082000,304.0,221.0,275.0,293.0,False,SOFT,50.0,True,Toro Rosso,0 days 01:22:36.632000,2018-07-01 14:28:36.848,1,11.0,False,,False,True,72.45,72.45
65,0 days 01:24:59.526000,GAS,10,0 days 00:01:10.444000,66.0,2.0,,,17.545,31.312,21.587,0 days 01:24:06.627000,0 days 01:24:37.939000,0 days 01:24:59.526000,306.0,226.0,274.0,297.0,False,SOFT,51.0,True,Toro Rosso,0 days 01:23:49.082000,2018-07-01 14:29:49.298,1,11.0,False,,False,True,70.444,70.444
66,0 days 01:26:09.842000,GAS,10,0 days 00:01:10.316000,67.0,2.0,,,17.487,31.206,21.623,0 days 01:25:17.013000,0 days 01:25:48.219000,0 days 01:26:09.842000,297.0,233.0,273.0,292.0,False,SOFT,52.0,True,Toro Rosso,0 days 01:24:59.526000,2018-07-01 14:30:59.742,1,11.0,False,,False,True,70.316,70.316
67,0 days 01:27:20.048000,GAS,10,0 days 00:01:10.206000,68.0,2.0,,,17.548,31.037,21.621,0 days 01:26:27.390000,0 days 01:26:58.427000,0 days 01:27:20.048000,295.0,236.0,273.0,292.0,False,SOFT,53.0,True,Toro Rosso,0 days 01:26:09.842000,2018-07-01 14:32:10.058,1,11.0,False,,False,True,70.206,70.20599999999999
68,0 days 01:28:30.156000,GAS,10,0 days 00:01:10.108000,69.0,2.0,,,17.575,31.005,21.528,0 days 01:27:37.623000,0 days 01:28:08.628000,0 days 01:28:30.156000,296.0,231.0,273.0,293.0,False,SOFT,54.0,True,Toro Rosso,0 days 01:27:20.048000,2018-07-01 14:33:20.264,1,11.0,False,,False,True,70.108,70.108
69,0 days 01:29:40.882000,GAS,10,0 days 00:01:10.726000,70.0,2.0,,,17.571,31.353,21.802,0 days 01:28:47.727000,0 days 01:29:19.080000,0 days 01:29:40.882000,292.0,233.0,272.0,292.0,False,SOFT,55.0,True,Toro Rosso,0 days 01:28:30.156000,2018-07-01 14:34:30.372,1,11.0,False,,False,True,70.726,70.726
70,0 days 00:08:02.918000,PER,11,0 days 00:01:19.356000,1.0,,,,,33.578,23.028,,0 days 00:07:39.931000,0 days 00:08:03.056000,306.0,225.0,276.0,304.0,False,nan,,True,Force India,0 days 00:06:43.395000,2018-07-01 13:12:43.611,,13.0,False,,False,False,79.356,
71,0 days 00:09:15.980000,PER,11,0 days 00:01:13.062000,2.0,1.0,,,17.904,32.492,22.666,0 days 00:08:20.834000,0 days 00:08:53.326000,0 days 00:09:15.992000,312.0,226.0,276.0,312.0,True,SUPERSOFT,1.0,True,Force India,0 days 00:08:02.918000,2018-07-01 13:14:03.134,21,13.0,False,,False,True,73.062,73.062
72,0 days 00:10:27.695000,PER,11,0 days 00:01:11.715000,3.0,1.0,,,17.31,32.083,22.322,0 days 00:09:33.302000,0 days 00:10:05.385000,0 days 00:10:27.707000,327.0,218.0,284.0,316.0,True,SUPERSOFT,2.0,True,Force India,0 days 00:09:15.980000,2018-07-01 13:15:16.196,1,13.0,False,,False,True,71.715,71.715
73,0 days 00:11:38.818000,PER,11,0 days 00:01:11.123000,4.0,1.0,,,17.284,31.814,22.025,0 days 00:10:44.991000,0 days 00:11:16.805000,0 days 00:11:38.830000,321.0,220.0,283.0,314.0,True,SUPERSOFT,3.0,True,Force India,0 days 00:10:27.695000,2018-07-01 13:16:27.911,1,13.0,False,,False,True,71.123,71.12299999999999
74,0 days 00:12:49.989000,PER,11,0 days 00:01:11.171000,5.0,1.0,,,17.16,31.972,22.039,0 days 00:11:55.990000,0 days 00:12:27.962000,0 days 00:12:50.001000,332.0,224.0,283.0,318.0,False,SUPERSOFT,4.0,True,Force India,0 days 00:11:38.818000,2018-07-01 13:17:39.034,1,13.0,False,,False,True,71.171,71.171
