,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:47:44.369000,VER,1,,1.0,1.0,,,,39.197,32.649,,0 days 00:47:11.887000,0 days 00:47:44.495000,222.0,181.0,202.0,307.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:46:05.307000,2024-10-19 18:03:51.406,1,1.0,False,,False,False,,
1,0 days 00:49:23.057000,VER,1,0 days 00:01:38.688000,2.0,1.0,,,26.929,39.274,32.485,0 days 00:48:11.333000,0 days 00:48:50.607000,0 days 00:49:23.092000,217.0,180.0,201.0,305.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:47:44.369000,2024-10-19 18:05:30.468,1,1.0,False,,False,True,98.688,98.688
2,0 days 00:51:00.963000,VER,1,0 days 00:01:37.906000,3.0,1.0,,,26.506,39.092,32.308,0 days 00:49:49.598000,0 days 00:50:28.690000,0 days 00:51:00.998000,221.0,180.0,202.0,309.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:49:23.057000,2024-10-19 18:07:09.156,1,1.0,False,,False,True,97.906,97.906
3,0 days 00:52:39.113000,VER,1,0 days 00:01:38.150000,4.0,1.0,,,26.527,39.192,32.431,0 days 00:51:27.525000,0 days 00:52:06.717000,0 days 00:52:39.148000,222.0,180.0,202.0,305.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:00.963000,2024-10-19 18:08:47.062,1,1.0,False,,False,True,98.15,98.14999999999999
4,0 days 00:54:17.539000,VER,1,0 days 00:01:38.426000,5.0,1.0,,,26.642,39.102,32.682,0 days 00:53:05.790000,0 days 00:53:44.892000,0 days 00:54:17.574000,222.0,181.0,201.0,308.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:39.113000,2024-10-19 18:10:25.212,1,1.0,False,,False,True,98.426,98.426
5,0 days 00:55:55.826000,VER,1,0 days 00:01:38.287000,6.0,1.0,,,26.598,39.226,32.463,0 days 00:54:44.172000,0 days 00:55:23.398000,0 days 00:55:55.861000,221.0,181.0,201.0,309.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:17.539000,2024-10-19 18:12:03.638,1,1.0,False,,False,True,98.287,98.287
6,0 days 00:57:34.217000,VER,1,0 days 00:01:38.391000,7.0,1.0,,,26.6,39.235,32.556,0 days 00:56:22.461000,0 days 00:57:01.696000,0 days 00:57:34.252000,223.0,181.0,202.0,306.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:55.826000,2024-10-19 18:13:41.925,1,1.0,False,,False,True,98.391,98.391
7,0 days 00:59:12.929000,VER,1,0 days 00:01:38.712000,8.0,1.0,,,26.546,39.438,32.728,0 days 00:58:00.798000,0 days 00:58:40.236000,0 days 00:59:12.964000,222.0,180.0,202.0,304.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:34.217000,2024-10-19 18:15:20.316,1,1.0,False,,False,True,98.712,98.71200000000002
8,0 days 01:00:51.148000,VER,1,0 days 00:01:38.219000,9.0,1.0,,,26.489,39.283,32.447,0 days 00:59:39.453000,0 days 01:00:18.736000,0 days 01:00:51.183000,224.0,182.0,202.0,306.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:59:12.929000,2024-10-19 18:16:59.028,1,1.0,False,,False,True,98.219,98.21900000000001
9,0 days 01:02:29.337000,VER,1,0 days 00:01:38.189000,10.0,1.0,,,26.394,39.401,32.394,0 days 01:01:17.577000,0 days 01:01:56.978000,0 days 01:02:29.372000,226.0,181.0,203.0,305.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:51.148000,2024-10-19 18:18:37.247,1,1.0,False,,False,True,98.189,98.189
10,0 days 01:04:07.254000,VER,1,0 days 00:01:37.917000,11.0,1.0,,,26.287,39.292,32.338,0 days 01:02:55.659000,0 days 01:03:34.951000,0 days 01:04:07.289000,228.0,181.0,202.0,307.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:02:29.337000,2024-10-19 18:20:15.436,1,1.0,False,,False,True,97.917,97.917
11,0 days 01:05:45.297000,VER,1,0 days 00:01:38.043000,12.0,1.0,,,26.217,39.289,32.537,0 days 01:04:33.506000,0 days 01:05:12.795000,0 days 01:05:45.332000,226.0,180.0,202.0,307.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:04:07.254000,2024-10-19 18:21:53.353,1,1.0,False,,False,True,98.043,98.043
12,0 days 01:07:23.672000,VER,1,0 days 00:01:38.375000,13.0,1.0,,,26.289,39.393,32.693,0 days 01:06:11.621000,0 days 01:06:51.014000,0 days 01:07:23.707000,223.0,180.0,203.0,308.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:05:45.297000,2024-10-19 18:23:31.396,1,1.0,False,,False,True,98.375,98.375
13,0 days 01:09:02.029000,VER,1,0 days 00:01:38.357000,14.0,1.0,,,26.318,39.291,32.748,0 days 01:07:50.025000,0 days 01:08:29.316000,0 days 01:09:02.064000,224.0,178.0,202.0,307.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:07:23.672000,2024-10-19 18:25:09.771,1,1.0,False,,False,True,98.357,98.357
14,0 days 01:10:40.197000,VER,1,0 days 00:01:38.168000,15.0,1.0,,,26.274,39.392,32.502,0 days 01:09:28.338000,0 days 01:10:07.730000,0 days 01:10:40.232000,225.0,182.0,202.0,303.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:09:02.029000,2024-10-19 18:26:48.128,1,1.0,False,,False,True,98.168,98.168
15,0 days 01:12:18.364000,VER,1,0 days 00:01:38.167000,16.0,1.0,,,26.335,39.277,32.555,0 days 01:11:06.567000,0 days 01:11:45.844000,0 days 01:12:18.399000,225.0,181.0,203.0,305.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:10:40.197000,2024-10-19 18:28:26.296,1,1.0,False,,False,True,98.167,98.167
16,0 days 01:13:56.195000,VER,1,0 days 00:01:37.831000,17.0,1.0,,,26.217,39.178,32.436,0 days 01:12:44.616000,0 days 01:13:23.794000,0 days 01:13:56.230000,227.0,181.0,203.0,308.0,True,MEDIUM,20.0,False,Red Bull Racing,0 days 01:12:18.364000,2024-10-19 18:30:04.463,1,1.0,False,,False,True,97.831,97.83099999999999
17,0 days 01:15:34.243000,VER,1,0 days 00:01:38.048000,18.0,1.0,,,26.219,39.349,32.48,0 days 01:14:22.449000,0 days 01:15:01.798000,0 days 01:15:34.278000,227.0,180.0,202.0,309.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:13:56.195000,2024-10-19 18:31:42.294,1,1.0,False,,False,True,98.048,98.048
18,0 days 01:17:11.706000,VER,1,0 days 00:01:37.463000,19.0,1.0,,,25.999,39.127,32.337,0 days 01:16:00.277000,0 days 01:16:39.404000,0 days 01:17:11.741000,233.0,181.0,204.0,308.0,True,MEDIUM,22.0,False,Red Bull Racing,0 days 01:15:34.243000,2024-10-19 18:33:20.342,1,1.0,False,,False,True,97.463,97.46300000000001
19,0 days 00:47:47.344000,SAI,55,,1.0,1.0,,,,39.883,33.307,,0 days 00:47:14.131000,0 days 00:47:47.475000,211.0,183.0,206.0,309.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:46:05.307000,2024-10-19 18:03:51.406,1,5.0,False,,False,False,,
20,0 days 00:49:25.850000,SAI,55,0 days 00:01:38.506000,2.0,1.0,,,26.851,38.586,33.069,0 days 00:48:14.237000,0 days 00:48:52.823000,0 days 00:49:25.892000,205.0,189.0,208.0,333.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:47:47.344000,2024-10-19 18:05:33.443,1,5.0,False,,False,True,98.506,98.506
